,school,date,txt_file,matching_text,matching_links,positive,negative,neutral
505,UCF,2011-06-23,journal_data/txt/UCF/2011_06_23.txt,"['Presidential hopeful Governor Jon Huntsman has officially opened up his campaign headquarters in the heart of downtown Orlando, about 15 miles from the UCF campus.  The Governor opened up his brief remarks by saying that his campaign is making history by being the first campaign to, “have its headquarters in Florida.”  \nThe Governor turned Ambassador turned Presidential Candidate is vowing to campaign a clean campaign, telling his staff that “jobs and the economy are driving this campaign,” and that “civility means something.”  \nAs his campaign gets underway, having announced formally on Tuesday, he is courting the young people around the country to join his campaign.  He wants the young voters to understand that our main priority should be “debt and spending.” He pointed out that right now we are inheriting a $14.4 trillion debt, and it certain to continue to increase if we don’t get someone in the White House with his level of experience.\nThe Governor doesn’t only have experience as the head of the state, but also, as the former Ambassador to China.  After President Obama took office, he nominated Huntsman for the position due to his experience in the region, and the fact that he is also fluent in Mandarin Chinese.  \nAlthough Huntsman has mostly been touting his economic experiences as Governor of Utah, he clearly has experience in areas of foreign policy, which sets him apart from most of his other colleagues running for President.  He will be able to use his relationship and prior experience with China to bolster his case for President.  The Governor also served as Deputy Trade Representative under George W. Bush.\nWhen asked about how he plans to utilize the nation’s second largest University, he pointed out that they have a lot of young people already signed on to his campaign.  Analysts believe that Huntsman picked up a good portion of the young vote, when Governor Mitch Daniels of Indiana decided not to seek the Presidency.\nThe Governor has announced that he will skip the Ames Iowa Straw Poll in August, which means that he will be setting his sights on New Hampshire as the first in the nation primary.  He pointed out that his campaign will take him from the Granite State, on to South Carolina and then Florida.  He hopes those states will help propel to a head-to-head battle against his former boss, and current President.  He has a tough battle in front of him; however, the Governor, and his family, seem like they are up to the task.\nStay tuned to KnightNews.com for all news related to the 2012 Presidential Campaign. ']",['https://knightnews.com/2011/06/presidential-candidate-huntsman-opens-up-hq-in-orlando/'],0.6287367343902588,0.0723729282617569,0.020561952143907547
653,UCF,2012-02-07,journal_data/txt/UCF/2012_02_07.txt,"['KnightNews.com received the following pool report from the White House press office, filed by a pool reporter working for the Tallahassee Democrat: \nThe vice president left the FSU practice gym at 2:20 p.m. for the six-minute drive to the Challenger Learning Center. He passed the small “Occupy Tallahassee” encampment and three demonstrators stood on the sidewalk of Madison street, waving, as one made a cellphone video of the motorcade.\n   Gatekeepers at the Challenger Center, an IMAX theater and exhibit hall with a space theme, said 300 supporters attended the fund-raising event. One of them was Barry Richard, the attorney who argued President Bush’s case successfully in Bush v. Gore in 2000. Richard a former Democratic state representative from Miami, is an attorney practicing in Tallahassee and his wife, Allison, arranged the Challenger event.\n   “I think they’re going to get re-elected,” Richard said outside, before the vice president spoke. “He’s been an exceptional president, probably the best in my lifetime. I think people have a comfort level with the guy.”\n   Florida Democratic Party Chairman Rod Smith of Alachua revved up the crowd, introducing Vice President Biden.\n   “People are excited about 2012 and I’ll tell you why they’re exicted about 2012, because we’ve got an administration that’s proven it knows what it’s doing, they know how to do it and we’re going to re-elect this administration, this president and this vice president.\n   “I’m going to cut the evening very short for everybody. I promise you, if you watch Florida you’re going to know how the nation goes, very early, and Florida is going to vote Democratic in 2012.”\n   Smith summed up by repeating something he said Biden says, “The most important thing about this campaign: If you want to know in 2012 what we’ve got to say, it’s very simple – General Motors is hiring and Bin Laden is dead.”\n    The Vice President began by calling out for former US Rep. Allen Boyd, D-Monticello, who was defeated in 2010 after switching his vote and supporting national health care. Boyd was not there or did not respond in the tightly packed crowd. Biden also thanked Allison Richard and Rod Smith.\n   He repeated the stuff about unemployment when he and Obama took office. Citing Smith’s introduction, he said, “Osama Bin Laden is dead and General Motors is alive. It’s a metaphor, it’s a metaphor for our foreign policy and our domestic economic policy”\n   He said the American people don’t mind sacrifice to restore “the middle class promise” of a job, homeownership and sending kids to college.\n   “But I’ll tell you what Americans don’t like in my neighborhood, where I came from, and I suspect in yours, they don’t like being taken for suckers. They don’t like being taken for suckers,” he said, drawing laughter and applause. “They’ve been asked to give and give and give. They’ve been asked to keep their wages stagnant, they’ve been asked to cut back on a whole bunch of things and they’ve done it.\n  “They look around and they think there’s a big chunk of society out there that isn’t in on the game.”\n   Speaking of “simple basic fairness,” Biden said “I think the American people are tired of being tired.”\n   “They’re tired of diminished horizons,” he said, adding that he and Obama recently met with CEOs and other top execs from Seimen’s, DuPont, Ford, Masterlock, and other “major, major companies.”  He said the business trend is that “millions and millions of jobs will be coming back home from abroad.” Biden said American companies realize that “the safe bet” for protecting intellectual property and other business advantages is to manufacture in the US.\n   He said economic productivity had “been a race to the bottom” under Republican administrations, with companies trying to find cheap labor overseas. He said the chairman of Ford told him the automaker is investing over $16 billion in plant and equipment, creating over 12,000 jobs in the US. He said Masterlock moved to Mexico and China and is now returning to Milwaukee.\n   “Mitt Romney says the best way to deal with foreclosures is to let everything hit the bottom.” (The crowd muttered loudly) “No, no, no, no – by the way, from purely a dollars and cents standpoint, he could get ready to argue that, that’s right out of the business school manual. But guess what? We’re not reorganizing and purchasing companies, we’re trying to rebuild a country.”\n   He said the GOP candidates are showing true colors in debates and that the DNC ought to sponsor 19 more so the voters can see them.\n   “For the first time, the Republicans are not – as we say, to use a football metaphor – they’re not hiding the ball. They’re saying exactly what they believe. For real – no, it’s good – it’s good because for the first time we can have an honest debate. These guys aren’t out there saying, ‘We’re compassionate conservatives, we want to fight to protect Medicare and Medicaid …’ They’re just being straight up, saying what they believe.”\n  “Mitt Romney and Newt Gingrich, I think they’re slightly different, and I mean this sincerely. I think it’s more about obstructionism for them. For them, their actions say what they really believe.”\nPoor people have no habit of working\n  “These are the same guys who are calling the president a ‘food stamp president’ – a thinly veiled, I don’t know what it is, but it’s inappropriate. It’s inappropriate.”\n   He estimated that Super PACs will spend $200 million to $800 million “to go after Barack.” He said the Democrats can’t compete with money but need volunteers, “to put the best ground game in the history of presidential politics back on the ground. We can’t match their multi-millionairs writing $2, $5, $10, $20 million checks, but we can match every dollar they put out there with somebody on the ground.”\n   He concluded by quoting Florida Gov. Lawton Chiles, a friend from their U.S. Senate days, who was governor 1991-98 (he died in Dec. 12, 1998), “I didn’t come here to stay, I came here to make a difference.”\n   “Ladies and gentlemen, we got a long road ahead. But here’s what I know – with your help, we’re going to stay four more years and we are going to make a difference.”\n   As the crowd applauded, Biden shouted his thanks and called out, “God bless you all, and may God protect our troops. Keep the faith. We’re gonna do this.”']",['https://knightnews.com/2012/02/vp-joe-biden-visits-tallahassee-fsu/'],0.06250089406967163,0.08583352714776993,0.09689175337553024
665,UCF,2012-02-20,journal_data/txt/UCF/2012_02_20.txt,"['The University of Central Florida is looking into a new campus location in China, according to Central Florida News 13.\nFaculty members from UCF, led by\xa0Dr. Abe Pizam,\xa0dean of UCF’s Rosen College of Hospitality Management, are meeting in China this week to discuss details about opening a new campus on Hainan Island, China’s southernmost territory and only tropical island.\nThe campus would be set to host about 5,000 students with study topics focusing on the tourism industry and hospitality management.\nThe group is scheduled to return from China March 1st. Check back for further details regarding this proposed\xa0expansion!\n\xa0\n\xa0']",[],0.9649825692176819,0.057754311710596085,0.021458499133586884
757,UCF,2012-07-13,journal_data/txt/UCF/2012_07_13.txt,"['Ralph Lauren, an iconic American clothing brand and a popular choice of clothing at UCF, was responsible for making the blazers and pants for the US Olympic uniform later this month in London.\nHowever, the uniform which dons the colors of red, white, and blue, wasn’t made in the nation it is going to be worn in. The US Olympic uniforms, which are going to be worn on US Olympians, and made by an American company, were actually made in China, according to ABC World News.\nThis leaves many people unhappy. The textile has been economically stagnant recently, and shipping the jobs for the US uniforms overseas has not helped. \xa0Members of Congress have been furious about the decision of the United States Olympic Committee(USOC) to even accept uniforms that were made overseas.\nHarry Reid, a Senator(D-Nev.) expressed his anger in a Capitol Hill news conference.\n“I am so upset. I think the Olympic committee\xa0should be ashamed of themselves. I think they should be embarrassed. I think they should take all the uniforms, put them in a big pile and burn them and start all over again.”\nThe Ralph Lauren Company hasn’t made a comment yet, although the United States Olympic Committee released a statement saying,\xa0“Unlike most Olympic teams around the world, the U.S. Olympic Team is privately funded and we’re grateful for the support of our sponsors,” Spokesman Patrick Sandusky said.\n\xa0']",['https://knightnews.com/2012/07/us-olympic-uniforms-made-in-china-congress-unhappy/'],0.004251989535987377,0.8257930278778076,0.019877322018146515
767,UCF,2012-08-02,journal_data/txt/UCF/2012_08_02.txt,"['Michael Phelps beat Ryan Lochte in the men’s 200 meter individual medley en route to receiving his already record breaking 16h gold medal.\nThe medal was his first individual gold of the Olympics, adding to his 4×200 relay gold, two silvers, and a fourth place finish. \xa0His time of\xa01 minute, 54.27 seconds was not as fast as his previous winning time in Bejing, but still fast enough to win gold in London.\nLochte received the silver, while\xa0\xa0Hungary’s Laszlo Cseh took bronze.\nPhelps started off the Olympics slow, barely qualifying for his 400 meter individual medley, but has kicked into gear to make his London olympic campaign an impressive one.\nLochte, who called these Olympics “his time”, failed to receive gold in both his individual events today. However, he still has an impressive two golds in London.\nThe “one, two” finish by Phelps and Lochte helped propel the United States over China in the total medal count. The United States has 37 medals, while China has 34, in third place is France with 16.\n\xa0']",['https://knightnews.com/2012/08/michael-phelps-earns-gold-in-the-200im-adds-to-record-20th-medal/'],0.24472074210643768,0.24770578742027283,0.026563888415694237
778,UCF,2012-08-24,journal_data/txt/UCF/2012_08_24.txt,"['By: Evan D. Gregory\nThough the candidates of this election may not be the strongest nominees\nfor the oval office, the upcoming presidential election may be\none of the most important elections that our generation will ever have to partake\nin. Our young country is facing its second major economic breaking point in less\nthan one hundred years, but many are speculating that this time around will be a\nlot more devastating to the American people than the Depression of the 30’s. There\nare hundreds of speculations as to how we’ve gotten ourselves into this mess, but\nthe fact of the matter is if we don’t figure out a solution soon, it is the current college\ngeneration that is going to have to pay the price. However, there is a man with\na plan that could potentially get the economy back on track.\nPaul Ryan, the young gun, clean-cut, hard fought politician out of\nWisconsin’s first district who successfully got his “Path to Prosperity” through\ncongress back in March. He is coming into this campaign with an updated budget\nplan “The Path of Prosperity: A Blueprint for American Renewal” for 2013. Though\nthe budget plan is not perfect, the plan does call for a $5 trillion dollar cut compared\nto the current President’s proposed budget and will limit the government to only 20% of\nthe economy by 2015. Most importantly and controversial however, is the fact that\nit will repeal the unconstitutional health care laws that the American health care\nsystem is not ready to encompass.\nKeep in mind, this election, these names, may not mean anything to you in\nthe time being, but these gentleman in Washington are discussing the future of\ncollege students not only at the University of Central Florida, but of college students\nacross the country. In projections Paul Ryan presented to Congress in April of 2011,\nthe debt as a share of the economy is projected to be well above 900% nearing\nthe year 2080, a year that all of us have a great possibility of living to one day.\nThis isn’t even taking into account the very real possibility that China will come\nlooking for the money that is owed to them well before the year 2080. We’ve all\nseen how seemingly civilized people can delude into complete anarchy in the face of\ninsurmountable debt with the riots in Greece.\nThough we may not be on the verge of mutiny, the economic problems that\nwere set into motion by our parents are about to fall into our lap before we know it\nand taking the “Path of Prosperity”, even though it is by no means perfect, could be a\nstep in the relatively right direction for the first time in awhile.']",['https://knightnews.com/2012/08/opinion-paul-ryan-budget-plan-will-move-united-states-in-right-direction/'],0.2293296605348587,0.5011077523231506,0.07156369835138321
789,UCF,2012-09-07,journal_data/txt/UCF/2012_09_07.txt,"['This year’s RNC was, well, a political show.\xa0 It is difficult for these types of things not to be, however we at least got to see what the party is running on.\xa0 The issues brought to the front were free trade, energy independence, education (parent’s choices therein), reducing taxes on small businesses (thereby increasing job growth), and repealing Obama care.\nLets begin with former Democratic candidate for Alabama governor turned Republican Artur Davis.\xa0 He stated the increase of the size of government, the glorification of occupy wall street, and the minimizing of the “genius of men and women who make jobs out of nothing” as reasons for his change of party.\xa0 He also noted the fact that the president “rammed through a healthcare bill that took over one-sixth of the economy” without the approval of half of the country’s political representatives.\xa0 Clint Eastwood undermined his eloquence by having an empty chair onstage, which he referred to as “President Obama”.\xa0 However, he redeemed himself when he spoke of the employment rate being a “national disgrace” and when he said, “ I never thought it was a good idea for attorneys to be president anyway”.\nPaul Ryan’s speech gave actual facts and figures, which was refreshing.\xa0 He mentioned the stimulus, $831 billion (largest amount ever spent by the federal government), which failed.\xa0 He also mentioned the $716 billion funneled out of Medicare in favor of Obama care.\xa0 Condoleezza Rice’s speech was powerful as always.\xa0 She focused on foreign policy (not surprising since she was the former Secretary of Sate) and stated support for the military (“peace really does come through strength”).\xa0 Rice noted that the USA has ratified three free trade agreements (all negotiated during the Bush administration) and China has ratified fifteen with eighteen more under negotiation.\xa0 She also mentioned the train wreck that is our current education system, stating, “The crisis in K12 education is a threat to the very fabric of who we are” and “We need to give parents greater choice, particularly, particularly poor parents” and continued to note that this is the civil rights issue of our day.\nMarco Rubio, despite making the worst mistake he possibly could have immediately before bringing Romney onstage, gave a vibrant speech typical of his career.\xa0 He is noted for his defense of the middle class, and stated that those who want to make America more like the rest of the world actually divide it.\xa0 Whether or not this is true is up to personal interpretation.\xa0 Ann Romney began her speech with enthusiastic expressions of love and excitement.\xa0 Though the first few minutes left much to be desired, Ann minimized the rumors about their privileged beginnings.\xa0 Her grandfather was a Welsh coal miner; he immigrated to the United States, settled in Michigan, and eventually became mayor of their town.\xa0 Ann and Mitt got married young and lived in a basement apartment.\xa0 She stated that Mitt Romney “was not handed success, he built it” and “dreams fulfilled help others launch new dreams”.\xa0 This ideal is expressed in the John and Abigail Adam’s Scholarship in Massachusetts, in which the top 25% of students who graduate from High School get four years of college tuition free.\xa0 Couple that with the fact that Massachusetts has the best education system in the country, and it all sounds quite appealing.\nFinally, Mitt.\xa0 His speech was peppered with tired phrases like, “we are united by so much more than what divides us.”\xa0 However, the media has insisted on portraying the Romney’s as people who are out of touch with American society.\xa0 There are others more politically knowledgeable than I, but to me that insinuated a family like the Kennedy’s, who are practically American royalty.\xa0 However, his story was quite different.\xa0 His father never graduated from college, he instead apprenticed as a plaster carpenter.\xa0 He moved to Detroit, led an auto company, and became the governor of Michigan.\xa0 Mitt Romney started a business with a group of friends, and this helped to start Staples, Sports Authority, Bright Horizons (a child learning center), and Steel Dynamics (a steel mill).\xa0 I don’t know how many jobs these businesses have created, but I am sure it is around the same number as Romney plans for, 12 million.\xa0 Romney and Ryan have a five-step plan, which includes giving children’s parents a choice in what school they attend and to cut the deficit.\nAt the end of the day, it was the same political jargon we are all tired of hearing.\xa0 However, I appreciated the candid nature of the convention, clearly the numbers are not working against them.']",['https://knightnews.com/2012/09/republican-national-convention-recap-in-case-you-missed-it/'],0.7869607210159302,0.8182175159454346,0.7271475195884705
807,UCF,2012-09-27,journal_data/txt/UCF/2012_09_27.txt,"['The National Institutes of Health recently gave UCF researcher Ming Su the New Innovator award, which accompanies a $2 million grant, for creating safer ways to fight cancer with nano-particles radiation.\nSu has been working in the field of Nanoscience for ten years, and received his Ph.D. in Nanotechnology. He got his first college degree in China, yet was not exposed to much science, so he did not realize he liked the current field he is working in until he came to America. It wasn’t until about 2010 when Su started to think about using his expertise to fight cancer.\nHis third year working on the project, he uses the color of nanoparticles for his research, and his project is specially related to electrons and x-rays. Half of cancer patients will be treated with x-rays, and Su explains how using modern techniques will often damage good tissue around the cancerous area, so he is working to create less-damaging and more effective techniques.\n“It’s hard for you to differentiate a cancer cell with a normal cell,” Su said. “When you can kill a cancer cell, it will often cause damage to a normal cell, so it definitely is a challenge.”\nResults have been good and as expected so far, and he is quite motivated and honored by the award he received.\n“I’m really honored because the awards are usually for top-notch universities, like Harvard or Yale,” Su said. “The first time, I thought I should try it—the worst answer is they say no. And I still think we have a chance, because in this country, they are fair, as long as you have a good idea.”\nSu offers some personal advice to prospective nanoscience students, motivating them to push themselves to do their best.\n“I think for nanoscience students, they should definitely open their minds for opportunities,” Su said. “Whatever you can do depends on what you are dreaming, what you want to achieve. You should always feel encouraged to try new stuff, whether it’s a grant application or a job application—if you didn’t sign up, you will never get it.”\nThere currently are graduate students who will be and who are currently working on research similar to Su’s. Candace Alber and Fiona Zullo, both current UCF students getting their Ph.D.’s in Chemistry, find Su’s project to be important and fascinating. Alber desires to work on a similar cancer prevention project.\n“I’d love to know I made a real impact someday,” Alber said. “Cancer is becoming a real problem. Having a healthy lifestyle is important, but it’s also a lot about personal responsibility.”\nZullo realized she liked working on these types of medical projects after having experienced working with Malaria as an undergraduate. Like Su, she is currently working to find more effective cancer treatments.\n“I like medical chemistry, because I can help people, using my knowledge,” Zullo said. “Cancer is very difficult to control—you can control things like AIDS, but not cancer. I’m finding ways to fight cancer at an early stage by using probes attached to a polymer to target the cancer cells.”']",['https://knightnews.com/2012/09/ucf-nanoscientist-wins-2m-nih-award/'],0.41399744153022766,0.09008803218603134,0.053320396691560745
1039,UCF,2013-07-13,journal_data/txt/UCF/2013_07_13.txt,"['A librarian at UCF will be receiving a national award for her service to the Chinese-American Librarians Association.\nSai Deng, a metadata librarian at UCF’s John C. Hitt Library, will be recognized at the 2013 American Library Association/Chinese-American Librarians Association annual conference, UCF said. \nDeng will be receiving one of three CALA President’s Recognition Awards in Chicago for her service to the organization — an award that “recognizes and honors dedication, quality of service, and professional integrity as well as leadership and significant contributions to the goals of CALA,” UCF said.\nDeng received her bachelor’s in history education from the Hunan National University in China and her MLIS from the University of Illinois., UCF said. She was an assistant professor and metadata librarian at Wichita State University before taking the position at UCF. ']",['https://knightnews.com/2013/07/ucf-librarian-to-receive-national-award/'],0.8879031538963318,0.30967143177986145,0.0387372262775898
1055,UCF,2013-08-01,journal_data/txt/UCF/2013_08_01.txt,"['BarZapp iPhone App creator Nelson Ludlow says his new app will not stop all fake IDs, but will catch a lot.\nBarZapp, which costs $1.99 on the iTunes store, scans the barcode on IDs and verifies encoded information of the card owner. When the ID is scanned it instantly displays the card owner’s name, date of birth, ID expiration, and ID number. The app’s developer says this scanning will primarily target the authenticity of IDs and will be compatible with any ID card from all 50 states.\nLudlow realizes that underage patrons have been able to purchase IDs online from overseas in places such as China. This is exactly what his app is hoping to stop.\n“China is making a lot of high-end fake IDs that people pay 200 or 300 dollars for, and we catch a significant amount of them. If someone fiddles with a date or something in the bar code … you better do it exactly the right way,” Ludlow told the Huffington Post.\nThe app can be downloaded by anyone, but the company release states that bar owners will need to purchase a license if they intend to use the app on a company-wide scale.\nIf the embarrassment of being rejected on a fake ID isn’t enough, another feautre of the app includes being able to permanately ban an individual from the establishment.']",['https://knightnews.com/2013/08/new-iphone-app-hopes-to-stop-fake-ids/'],0.3587969243526459,0.6989546418190002,0.07294867932796478
