,date,positive,negative,neutral
49,2009-09-14,0.7136563658714294,0.15632615983486176,0.13001742959022522
290,2010-09-10,0.5096815824508667,0.26351428031921387,0.22680413722991943
864,2012-12-03,0.8296509981155396,0.09694474190473557,0.07340428233146667
1463,2014-12-11,0.45335978269577026,0.33679893612861633,0.2098412811756134
1485,2015-01-13,0.5304833054542542,0.3715384304523468,0.09797828644514084
1968,2016-09-02,0.4892885684967041,0.28078895807266235,0.22992245852947235
2042,2016-11-28,0.5202566385269165,0.26860690116882324,0.21113644540309906
2207,2017-10-06,0.7822232246398926,0.15011905133724213,0.0676577091217041
2339,2018-04-12,0.7197421789169312,0.19362761080265045,0.0866301879286766
2481,2019-01-18,0.5548323392868042,0.2356203943490982,0.2095472663640976
2491,2019-01-29,0.5117596387863159,0.35069334506988525,0.13754700124263763
2526,2019-03-22,0.5961553454399109,0.3188962936401367,0.08494841307401657
2559,2019-06-22,0.6527999639511108,0.2575379014015198,0.08966214954853058
