date,school,keyword,article
2011-10-19,LIU,China,"May 19, 2023

Sandra Elien
Have you ever considered where graduate students were living this semester? How about the number of graduate students actually dorming? Jennifer Fuoco, the director of residence life, has informed the Pioneer that there are currently 92 graduate students living on campus and that the total number of graduate students living on campus has changed over the years. Fuoco added that, “This number has changed from year to year and is currently up by six from last year at this time.”
Various factors can determine why most graduate students choose to live off-campus.  Sean Manning, a graduate student studying medical microbiology said that “since [he] lives near the school, he doesn’t see the point in living on campus.” Jessica Blumenthal, a graduate student studying social work, agreed with Manning. Blumenthal said that she doesn’t live on campus because she “lives 30 minutes from the school, so for me, it is not worth paying for housing on campus when I can live at home for free.” Although their reasons seem plausible, living on campus can also have its advantages.
Blumenthal went on to say,  “During my undergrad., I was in Maryland and paid for housing, both in dorms and in an apartment, so I already had the experience of living somewhere else.”
The director of residence life also provided a tentative explanation as to why graduate students choose to live on campus. Fuoco said, “living on campus seems to appeal most to graduate students who are enrolling in graduate coursework immediately after finishing their Bachelor’s degrees.  For students who have been out of the residence halls and away from campus life for a year or more, the idea of living in a residence hall, having a roommate, and sharing a community bathroom may no longer be something that works with their lifestyles or schedules.  Some graduate students are also completing their coursework while working full-time and may choose to live closer to their workplace.”
Though living off-campus may be suitable for someone seeking a different experience of being in another environment that is more private and confined, few graduate students agree that living on campus can be an advantage. A graduate student, who wished to remain anonymous, said that when “you live on campus, [you] meet a lot of people and don’t have to deal with all the traffic of commuting, and you get more involved with school related activities. And, living on campus also allows you to work.”
As you can see, there are many things that can influence a person’s choice in deciding whether to dorm or not.  One can agree that graduate students, although one may  think there are none on campus, do make up a significant percentage of the student population on campus. If you still unsure about whom the graduate students are, try networking through the residence halls; you bound to come across a graduate student more quickly than you would think.
Published in News
"
2011-10-26,LIU,China,"May 19, 2023

Chantell Moore
C.W. Post students were able to express their Post pride with a Pep Rally on Friday, October 21st, at 7 p.m. in the gym of the Pratt Recreation Center. Sponsored by The Association for Campus Planning (ACP), the Pep Rally had a number of events for students to enjoy.
The night included the 1st, 2nd and 3rd place winners of the talent show giving an encore of their winning performances. Homecoming banners were proudly displayed, clubs were acknowledged, and the Student Dance Association and Pioneerettes dazzled the crowd with their own performances. And, last but not least, students showed their Post pride to the football team before the big homecoming game. What’s not to love about pep rally?
In addition to the performances, there were also free food and drinks offered to the crowd, along with some green and gold pompoms and foam fingers to cheer with. And, ACP didn’t stop there. It also threw free C.W. Post t-shirts into the crowd and had a D.J. blasting music throughout the event to keep the students pumped up.
Sally-Ann Gaughan, a junior early childhood education major, was surprised by this year’s pep rally. “It was better than I thought it would be. It had more school spirit. It was just awesome.”
Anna Smith, a freshman with an undeclared major, also enjoyed pep rally, saying, “I liked it and thought it was really good. The music was also really good, too.”
This year’s Pep Rally did just what it set out to do: get students pumped up for the big Homecoming game, and allow them to let loose and have some fun.
Published in News
"
2011-11-30,LIU,China,"May 19, 2023

December 1st
General Education in the 21st Century Faculty Discussion Group Meetings: ”General Education in the 21st Century” (facilitated by Prof. E. Lichten)
Hunt Room, Winnick House
12:30 – 1:30 PM
 
Department of Media Arts Lecture Alan Clary, Senior Producer MTV, and C.W. Post Alumnus
 
Humanities Room 027
12:45 – 2:00 PM
 
Keyboard Club Concert Stephanie Watt, Director
Great Hall
8:15 PM
 
December 2nd
Meeting the Special Needs of Our Students
Lorber Hall, Room 104
11:00 AM – 1:00 PM
 
Department of Music Junior Recital – Chelsey Johnson, Flute, and Stephanie Drew, Soprano
Great Hall
5:30 PM
 
Department of Music Junior Recital – Cloe SanAntonio, Soprano
Great Hall
8:15 PM
 
December 3rd
Free Financial Counseling for Prospective & Current Students at LIU
Hillwood Cinema
9:00 AM 
 
December 4th
C.W. Post Holiday Concert
Tilles Center
7:30 PM
 
December 5th
Department of Music Convocation – duoJalal Katherine Lockwood, Viola & Yousif
Sheronick, Percussion
Hillwood Recital Hall
12:30 PM
 
C.W. Post Madrigal Singers and Merriweather Consort
Great Hall
8:15 PM
 
December 6th
Department of Music Crafts Fair
Hillwood Commons Lobby
12:30 PM
 
December 7th
C.W. Post Jazz Ensemble, T.K. Blue, Director
Hillwood Recital Hall
8:15 PM
Published in Campus Events
"
2011-12-14,LIU,China,"May 19, 2023

December 14th
WCWP General Membership Meeting & Holiday Party
Pioneer Room
12:30 pm
 
December 20th
Advanced Visions 8: High School Artists of Excellence
Hillwood S.A.L Gallery
Running: December 20th to January 18th
 
Events Over Winter Break
January 7th
College Affordability & Financial Aid Seminar
Humanities Hall Room 119
9:00 am
 
Youth Camp Open House
Top of Commons
10:00 am
 
January 9th
Open House for the Dietetic Internship
Life Science Building Room 242
11:00 am to 1:00 pm
 
Upcoming Dates to Remember:
December 21st
Fall 2011 Term Ends
December 27th
Winter Term Begins
December 31st
New Years Holiday- No Winter Classes
January 10th
Winter Term Ends
January 17th
Spring 2012 Term Begins
Published in Campus Events
"
2012-10-10,LIU,China,"May 18, 2023


Cristina Foglietta
Staff Writer
Conversations Helping and Teaching Stu¬dents, C.H.A.T.S., a program created in 2009, is in the process of becoming an official club at LIU Post. In C.H.A.T.S., an American student and an international student are paired as partners so the two can learn about each other’s cultures and become friends. This gives the internationals students the opportunity to improve and practice their English. 
The offices of International Student Services and Religious Life created C.H.A.T.S. in 2009 and act as co-sponsors for the organization. This semester, C.H.A.T.S. has begun the process of becoming an official club by creating an executive board and attending three Student Government Association meetings. The new executive board consists of five students: Alize Margulis, Rika Tatsukawa, Arti Jain, Terry Chang and Serena Oditt, who will attend the Student Government Association meetings to represent C.H.A.T.S. Father Ted, who is in charge of the Newman Catholic Club, and Jeanette Murray, who works at International Students Services, advise the students. Three coordinators oversee the organization Murray, as well as Trica Figuero and Dr. Leslie Bai. 
“Make another friend; you always need a friend,” said Figuero. C.H.A.T.S. was created to try to build up the connection between international and Americans students. It also serves to improve international students’ command of the English language, allow international students to learn more about American culture, and permit American students to learn about different cultures. This may lead to inviting their partner home for Thanksgiving, and even visiting their partner’s country, said Bai. “International students feel intimidated and lonely. If they find someone who knows American life, they can meet through C.H.A.T.S. first and then become friends later on their own,” said Bai. 
All the C.H.A.T.S. partners are the same gender and are partners for one year. The partners usually meet once a week for about an hour. When, where, what you do and for how long you meet are entirely up to you and your partner. There are also monthly group events for everyone who is involved in C.H.A.T.S. One of the first events this semester was International Friendship Night, which was held on September 20 in the Chapel. The event consisted of games, dancing, food and international trivia. The next event is a presentation on exploring New York on October 11 at 12:45 p.m. in the Chapel. There is an Inter¬national Education Week Dinner planned for November 12 at 7 in the Tilles Center and a farewell party on December 6 at 12:45 p.m. in the Chapel. “The events are open to everyone. We are always encouraging and welcoming visitors and new members, if interested,” said Bai. 
There is an application form which helps with the pairing process. Students fill out their major, hobbies and if they have a preference of what type partner they would like, said Bai. She said last fall there were 50 pairs, last spring there were 39 pairs, and there are currently 27 pairs. However, students join throughout the semester. Students, faculty and staff are all members of C.H.A.T.S. The staff members who are involved in C.H.A.T.S. are Trica Figuero, Dr. Leslie Bai, Jeanette Murray and Nadia Hernandez, who all work at International Students Services. 
“The biggest headache now is there are always more international students then American students,” said Bai. Many international students are waiting for a partner. Bai said new international students are their first priority but returning international students are also waiting. There is a lack of male American students. Many American students are needed and males are needed the most right now, said Figuero. “We have included staff members, and some domestic students take two partners,” said Figuero, to try to solve the problem of not having enough American members. “We try to recruit students at (club) fairs, but it is always hard to get them to commit,” said Bai. 
Bai said many show interest in C.H.A.T.S. while they are recruiting but then they say they are too busy. “Some people are afraid of the commitment; time is an issue,” said Figuero. The coordinators say the group meeting and weekly partner meetings are not mandatory. The events are held so that everyone who is involved in C.H.A.T.S. can get together and do some sort of activity. As long as you are spending individual time with your partner, you do not have to attend the events. C.H.A.T.S. is extremely flexible. “It’s not something to be fearful of or stress out about; just try it” said Figuero. They said they want more American students to learn from this experience. “You don’t have to do something extra; you can bring your partner to something you go to already,” said Bai. 
Being a member of C.H.A.T.S., and acquiring knowledge about another culture, will enhance your resume and work experience as well, said Figuero. Clubs can also pick up partners. Every club on campus has to do a certain amount of hours of community service and earn points for it. If you are on another club on campus and need to earn community service points, you can earn them by joining C.H.A.T.S. If there are a few partners per club, they will give you about half of the points needed. “Internationalization, we want more students to open up, even make our campus a little different,” said Figuero. 
Rika Tatsukawa, a senior Public Relations major from Japan, has been a member of C.H.A.T.S. since September 2011. Tatsukawa was partners with Arti Jain, a junior English Education major, last year. The partners are continuing to work together through C.H.A.T.S. this year as well. “At first, I didn’t expect her to be such a good friend and now I can’t image campus life without her,” said Tatsukawa. She said that she meets, texts and messages her partner often. “I meet Arti at her house a lot, her mother makes Indian food which I love,” said Tatsukawa. She said she went to her C.H.A.T.S. partner’s house for Thanksgiving, her birthday and Christmas. She also said she has met most of her family. “Now I don’t think of her as a partner; I just think of her as one of my friends,” said Tatsukawa. She said that she and Arti have similar feelings to be kind to others and common sense. 
Taksukawa said that C.H.A.T.S. has made her more compassionate to others, especially foreigners. “If I go back to Japan and see foreigners, I want to take care of them and help them because now I know how they feel. Taksukawa thinks that American and inter¬national students can learn a lot from each other. “I wish American students can learn from International students. In the future, it can help them with their work if they know that culture,” said Taksukawa. She said she taught her partner how to say hello in Japanese, “Konnichiwa,” and thank you, “Arigato.” 
Alize Margulis, a junior International Studies major has been part of C.H.A.T.S. since she was a freshman. “I joined C.H.A.T.S. because I thought it was the best way to learn about other cultures and customs,” said Margulis. Her first C.H.A.T.S. partner was Winny Wang, a graduate student from China studying Science Research. She said she found similarities between Wang’s culture and her own. “Winny almost always boils water and drinks the water as such; whereas I would boil water but I would drink it only if I had diffused a tea bag,” said Marguilis.
Last year, Marguilis and her former partner, Kotona Uzumaki, a Business major from Japan, were C.H.A.T.S ambassadors. “We spoke at various C.H.A.T.S. events and were nominated and received certification for Outstanding C.H.A.T.S. Partners of the Year 2012,” said Marguilis. She said her past two partners have become her really close friends. “Kotona, who was studying abroad in the U.S. for one year was in two of my classes , and once we became C.H.A.T.S. partners, we went to various club events on campus and explored off campus too,” said Marguilis. She said she feels she taught her partner how to be comfortable in her home when inviting her over for holidays and dinner. Marguilis said her two past partners taught her many phrases in Chinese and Japanese. She said she and Uzumaki would see shows in the city and at the Tilles Center as well as spend time in her neighborhood. Marguilis still keeps in contact both of her C.H.A.T.S. partners through Skype and e-mail. “I’m hoping to travel to Asia one day, so I know I will be able to explore their countries with them too!” she said.
This year Marguilis is partnered with a student from China named Shuai Shuai, but she has not met her yet. She said she wishes more American students joined C.H.A.T.S. “LIU Post provides this opportunity through the C.H.A.T.S. program, but I feel not enough domestic students are committed or interested in becoming a partner. I understand many students have busy agendas, but how complicated is it to take one hour per week out of your time to meet with some one?” said Marguilis.
She said she has truly enjoyed her experience as a member of C.H.A.T.S. “Inter¬national friends have certain values that we as Americans don’t. I am not bashing Americans, but we should embrace other cultures and be open to learning about them, especially in this globalized business world that we live in today,” said Marguilis.
Published in News
"
2012-10-17,LIU,China,"May 18, 2023


Erin Mei
Staff Writer
LIU Post was offered a special opportunity to display President Lincoln’s only surviving handwritten draft of the emancipation Proclamation in the Tilles Center of Performing Arts at the “First Step to Freedom: Abraham Lincoln’s Preliminary Emancipation Proclamation” exhibit. The final version of the Emancipation Proclamation, which went into effect on January 1, 1863, was destroyed in a fire in Chicago in 1871. The draft is the only remaining copy, which led to the abolishment of slavery and the freedom of slaves. The New York State Legislature purchased the draft in 1865 days after Lincoln passed away.
LIU Post is the only Long Island exhibitor of this rare document while it goes on a state-wide tour to mark the 150thanniversary of one of the nation’s greatest accomplishments. LIU Post and the Tilles Center for the Performing Arts are pleased and honored to join with the New York State Education Department and SUNY College of Old Westbury in presenting these national treasures to the community,» said Dr. Paul Forestell. Along with Lincoln’s draft, a speech delivered by Dr. Martin Luther King, Jr. on the centennial anniversary of the signing of the Emancipation Proclamation is also on display next to the draft. 
Students who have seen the historical document expressed their admiration for it. “I think it’s great we we’re able to see a part of history in the Tilles Center,” says Mitch Mark, senior Psychology major. “It’s almost like reliving a part of history and it’s really special.” Matt Aronberg, an Information Studies graduate student says, “It’s amazing how a piece of paper was able to change so much of our history and to make our country the way it is now.”
At the opening ceremony held in the Hillwood Commons Lecture Hall during Common Hour, Dr. Forestell, Dr. Steinberg, Dr. John B. King, Jr., Andrew P. Jackson and Robert Tilles reminded visitors that freedom and equality hasn’t been reached yet. Robert Tilles explains to those in attendance the segregation on Long Island. “We have pockets of poverty. We drove along the road between the high and low performing [school] districts, and you see people across the street here look at people across the street there saying, ‘how come they get the best education and how come we get the worst education?’”
Both historical documents were on display for the public with free admission on October 15 and 16 from1 pm to 9 pm. The exhibit was offered in partnership with LIU Post, LIU Votes and the Tilles Center of Performing Arts.
Published in News
"
2012-11-28,LIU,China,"May 18, 2023


Amanda Bernocco
Staff Writer
	Hurricane Sandy and the nor’easter that followed caused LIU Post to close for a total of 11 days, including weekends. In order for students to complete their fall 2012 courses in full satisfaction with the New York State Education Department requirements, missed classes will have to be made up, according to Beth Carson, who works in Registrar. 
	New York State mandates a specific amount of contact (instruction) hours, explains Carson. For a three credit course, there must be 2,250 minutes of contact hours not including out of class work.
	The rest of the fall semester’s academic calendar has been revised as well. Make-up classes for the hurricane will be scheduled on Fridays, Saturdays and during common hour. It will be up to the professor to determine which days and times will be used. Wednesday, December 12, will be a mandatory make-up day for classes. 
	Classes that were cancelled due to the nor’easter will be made up as follows: evening classes cancelled Wednesday, November 7, will be made up on Saturday, December 15. Classes that were cancelled on Thursday, November 8 (2pm and later), will be made up on Thursday, December 13. Classes that were cancelled on Friday, November 9, will be made up on Friday, December 14. Faculty will be responsible to confirm all make-up sessions, times and locations with their students.  
	Final exams will now be held from Monday, December 17, until Friday, December 21. 
	The extra classes have been reported to add stress on some students. Jacob Maitland, junior business major, said, “I’ve had two rescheduled classes and one that really did me in.” Because of some scheduling issues, his parents are visiting him the week after Thanksgiving instead of during the break. His law class was rescheduled for a Saturday when his parents would be visiting. He said he reacted with “a lot of beeps, hash tags and stars.” The class is also expecting an exam that day. Maitland said that it was too personal to reveal his professor’s name; however, the professor allowed him to reschedule the exam for a later date so he could spend the extra time with his parents. 
	“Students should speak with faculty regarding any conflicts that they have with scheduled make-up classes,” Carson said. She added that if there are additional concerns made by the student that cannot be resolved by the faculty then they should speak with their chairperson or dean. 
Some students understand the need to make-up classes. “It was a whole entire week of classes, that’s a lot of days missed,” said Joe Nicastro, junior criminal justice major. He added that it’s better than extending the semester. 
	Natalie Post, freshman finance business major, said, “Mine didn’t bother me, but if I had a Friday class, I might be mad.” She normally works during common hour and did not mind missing one day of work but still referred to it as money coming out of her pocket. 
Softball players Kaci Hopkins and Nicole Hagenan, both criminal justice majors, were relieved that they did not have any rescheduled classes that interfered with practice. Their Earth Science class was rescheduled for common hour. “I’d rather have it at common hour because people have jobs and practices to go to,” Hopkins said.
Other universities fulfilled their missed days differently. St. Joseph’s College eliminated finals week to have more classes and Stony Brook University professors were just told to consolidate the course material and added no make-up days. 
“We can’t speak to how other colleges are choosing to fulfill their contact hour obligations. Additionally, not all Long Island colleges were closed for the same lengthy period that LIU Post was due to the consecutive storms,” said Carson. 
Published in News
"
2013-11-20,LIU,China,"May 18, 2023

By Alex Billington
Staff writer
With rumors of major changes coming to LIU Post within the next six months, the semester’s first Town Hall meeting, held by the Student Government Association (SGA), was a necessity, both to dispel and clarify all the speculations.
The Town Hall meeting on Wednesday, Nov. 13, was an open forum, which allowed Dr. Jackie Nealon, the university’s new chief of Staff; Dr. Abby Van Vlerah, the new dean of Students; and Alerie Tirsch, the director of Student Life, to answer questions from attending students about a wide range of topics, such as campus life and the rumored changes.
There have already been some big changes since the new President, Dr. Kimberly R. Cline, took charge of LIU on July 1, including the opening of a new student run clothing store and the restructuring of certain administrative areas of the school, including Admissions and Academic Advisement.
On the subject of rumors, Nealon quickly squashed the question that a Shake Shack was coming to the campus.
There has also been an overwhelming worry around campus that tuition would be raised, which could mean added financial strain for many students. However, Nealon stated that Cline has promised no more than a two percent increase in tuition until 2020, compared to the average of over six percent.
The Apple Store that is rumored to be opening in Hillwood is not going to be an Apple store. However, it will be a tech store that is licensed to sell Apple products, a rare affiliation that only a few academic institutions can claim to have, stated Nealon.
This tech store is also going to have a tech support bar, something students can take advantage of if they are having any kind
of computer problems. The Student Art Gallery is will be possibly used as a shared space, perhaps with another student run business similar to the clothing store. The Center for Student Information (CSI) is going to be used for another purpose, possibly another student run business, but no plans are set in stone as yet, which means no more printing in CSI, something that could raise concern among commuter students who use CSI for their printing needs.
“I often use the printing facility in CSI as a quick option as I am passing through Hillwood on my way to class. I hope that there will be an alternative printing facility that is convenient,” said Andreas Olsen, a graduate Political Science major and commuter student, who attended the Town Hall meeting.
With the Gaming Room already moved to the upstairs study lounge, there was worry among students that
the Recreational room, also located upstairs in Hillwood, would be made into something else, therefore diminishing the amount of study space in Hillwood. However, Nealon assured students that there are plans to revamp the Recreational room, making it a better facility for students.
“There is already limited space for commuters to study during common hour; allocating space for this seems essential for a commuter school, ” said Kristina Renberg, a senior Public Relations major and commuter student.
An interesting discussion of proposed student run businesses for Hillwood was also held. One hundred percent of the profits from these businesses, according to Nealon, will go straight back to the students, with 50 percent going to scholarships and 50 percent to the school’s capital fund, which will be spent on other improvements for students.
For the students who live on campus, a hot topic at the Town Hall meeting was the Winnick Dining Hall, and the major question was, “Will the food change and get any better?” Van Vlerah said, “Paul Carroll, the director of operations for Aramark FoodSservices, is willing to work with students to cater to their needs. We encourage students to take to resources like the SGA food committee to help communicate what it is they want.”
Brianna Pisano, a freshman and member of SGA, who attended the meeting stated, “Dr. Nealon often reassured the students of their worries by explaining that they want to expand access to study resources and entertainment all around campus rather than just in Hillwood.”
The Town Hall meeting, which was held in the Cinema during common hour, didn’t have a large attendance. However, for students it was an interesting and necessary meeting that began to bring clarification on a range of topics.
Published in News and _Front Page
"
2014-10-28,LIU,China,"May 18, 2023

By Caroline Nickolaus
Staff Writer
As The Pioneer reported on Sept. 30, the LIU Post equestrian team set out to complete a daunting mission—raise enough money to rescue a slaughter- bound miniature horse, and make him the team mascot. The team held a bake sale during common hour in Hillwood Commons, posted flyers throughout campus seeking donations, and even created a web page on gofundme.com so that others could donate money to pay for the purchase and future expenses of the miniature horse.
After a lot of hard work and dedication, the girls were finally financially able to travel to the horse auction located in New Holland, Pennsylvania and choose which lucky horse would be coming home with them for another chance at life as their team mascot.
The mission took place on Oct. 13. Hope, a sweet palomino mare, caught the riders’ attention right away. Two of the three team captains, Cristina Bakos, a senior Speech Pathology/Pre-Med major, and Alex Diez, a junior Biology major, as well as one of the fundraisers, Christina Cepeda, a junior Psychology major, brought the mini horse to her new home in Bakos’ backyard barn in Nesconset, where she will have a much more exciting life with the other mini horses—and a donkey—already living there.
All of the money raised by the team will be put towards the many expenses needed to properly care for any horse, including veterinary and farrier appointments (hoof trimming), board, feed, wormer, shavings, and clothing. Hope had a warm welcome to the LIU Post equestrian team when she made her mascot debut at the annual Homecoming Football Game on Saturday, Oct. 18. For such a tiny equine, Hope handled the loud, crazy football game quite well. She tried her best to not get too overwhelmed.
“She was calm at homecoming, but would sometimes get startled with sudden, loud noises like popping balloons or the loud music, but eventually she got accustomed to the all the noise,” said team member Colleen Dreyer, a senior Public Relations major and the team’s Treasurer.
The day at homecoming was a success, which even included raising more money to care for Hope in the future. The equestrian team raised $1,110 through their “Go Fund Me” account, which is linked on the team’s Facebook page. To donate money to help Hope, you can go to www.gofundme.com/save- a-pony, or email christina.kotarski@my.liu.edu or christina.cepeda@my.liu.edu.
The next on-campus horse show at the North Shore Equestrian Center will be on Nov. 9, at 8 a.m. Hope, the mini mascot, will be there to show support. The event is open to the public.
Published in News
"
2015-10-27,LIU,China,"May 18, 2023

By Margaret Pepe
Assistant Features Editor
Halloween is only days away, and with all the excitement, you may have forgotten to get a killer costume, or make plans with your friends. Each year trends change and different costumes become popular, new haunted houses open along with different parties that attract people.
There are several events being held in the New York City to celebrate Halloween. This year’s events include:
Webster Hell
Attend the Halloween Parade “After Party,” hosted by Webster Hall; all four floors of Webster Hall, with guest appearances by Suga Ray, Sean Sharp, and more. There will be a “Virgin Sacrifice,” on an unsuspecting guest, and a costume contest with a prize of $5,000 dollars. Tickets are available on Webster Hall’s website.
Candle Light Ghost Tours of Manhattans Most Haunted House
Take a 50-minute tour of the Merchant’s House in Manhattan.
This tour reveals the “dark past” of the Merchant family, and how they’re still “haunting” their house years later. The Merchant’s House is located on 29th East 4th Street between Bowery and Lafayette Street. This tour is available on Mondays and Thursdays through Sundays, from noon to 5 p.m. until Oct. 30.
Village Halloween Parade
Roughly 50,000 people take to the streets in a parade displaying their creative costumes. The parade is open to anyone interested in attending, but anyone who would like to walk in the parade must be in costume and makeup. The Halloween Parade runs up Sixth Avenue to 16th Street in Manhattan, from 7 to 11 p.m. on Oct. 31.
Dogs Parade
For those who missed the dog parade in the city on Oct. 24, it will be happening again on Oct. 31 in Tompskins Square Park at 12 p.m. Dress your fluffy friend up, or go see how everyone else dressed up their dogs.
Halloween Adult Scavenger Hunt
Who says scavenger hunts are just for kids? Starting at Slattery’s Midtown Pub, located on 8 East 36th Street in the city, this scavenger hunt starts at 7 p.m. and lasts until 10 p.m. Tickets are $25. Winners will receive tickets to Shake Rattle and Roll, The Big Quiz Thing, Quiet Clubbing, and more.
Crypt Tour
Take a tour of the crypt at The Catherdral Church of St. John the Divine. The tour is available on Oct. 31, from 4 to 5 p.m., for ages 12 and up. Tickets are $20 with a student ID.
Dia De Los Terribles
Experience “Day of the Dead” rituals, photo galleries, live music, and — if you’re legal — an open tequila bar at the Wythe Hotel. The part will be taking place on Oct. 31, starting at 8 p.m. and lasting until 2 a.m. Tickets are $20.
Magic
If Halloween wasn’t weird enough for you already, go to a magic show. Watch magicians pull rabbits and doves and my soul out from their hats! The magic shows will be taking place at The Players Theatre, located at 115 McDougal Street in the city. The show will run every Monday at 8 p.m. until Dec. 28. Tickets are $15.
Tickets for these events can be purchased online, if not free. These are just some of the things that you can enjoy this Halloween!
Published in Features
"
