date,school,keyword,article
2010-10-13,LIU,report,"May 19, 2023

By Max Caster
Staff Writer
This fall season the Student Health and Counseling Center is offering flu shots for all C.W. Post students 18 and over. The vaccinations have been available since October 1st and will continue for as long as supplies last. Students must fill out a release and proof of age to receive the 12 dollar shot.
“We’re charging what we pay. We don’t make any money,” explained Bill Milford, the Director of Student Health and Counseling. “Our objective is to make sure the students who want it can get it.”
The true flu season spans from November to February, but the Health Center is getting a jump on the illness. The Centers for Disease Control and Prevention (CDC) recommends that people with health risks get the flu vaccine in October. All healthy citizens are urged to get it in November.
The Health Center will conduct a traveling flu shot clinic in early November. The clinic will visit the Winnick Student Center and Hillwood Commons during Common Hour to give the injections.
Students who are squeamish around needles are in luck. There is a variation of the syringe that pushes the vaccination through the skin using carbon dioxide. “It’s not like a booster shot where it hurts afterwards” said Nurse Sylvia Barton. She went on to add, “You’re going to feel something or there’s something wrong with your neurological system.” According to the waiver, the side effects to the flu shot are “tenderness at the site of injection, fever, chills, headaches or muscular aches.”
The Center will begin Flu Prevention week on October 25th. Later this month, the Center will have a depression screening on October 7th, Alcohol Awareness Day on the 12th and Domestic Violence Prevention Day on the 19th.
Along with the flu shot, the Health Center provides the C.W. Post community with primary medical care, a gynecologist, free counseling sessions, nutritional guidance and much more. Also offered is blood testing for all sexually transmitted diseases. “If you’re sexually active, you should know where you stand,” Barton said.
The Student Health and Counseling Center is located in room 154 of the Life Science Building and is open from 8am to 8pm during the semester.
Published in Uncategorized
"
2010-10-21,LIU,report,"May 19, 2023

Letter to the readers,
Not only is the season changing, there ís a new air on campus.  It’s not that fresh cool breeze that slips through your window screens at night either.  Students are a little rambunctious and more energetic than usual this week.  You might have even seen some familiar faces- former students or faculty (cough, cough alumni.)  The athletic teams, especially the football team, have more adrenaline pumping through their veins because this is just any weekend for Post.  It’s Homecoming weekend!!
This is the one weekend that current and past Postonians take the most pride in. Essentially it’s the one time of the year when the entire school really comes together.  Students gather at the pep rally on Friday night.  The residence halls compete for the best and most creative skit, athletic teams are introduced for the seasons, a DJ provides the music and suddenly you are caught up with the crowd that’s singing some song you don’t even know.  But you sure as hell are having a fun time!  Then Saturday comes and everyone watches the football game on Hickox field.  There’s tailgating in the Pratt parking lot, families of students come from all over the states, alumni return to play in athletic games or just to come and enjoy the day with their alma mater!
If you’re a freshmen, than you have to experience this for yourself.  Trust us, this is not an event to miss at Post.  But before we get too carried away, lets introduce the sixth edition of our student newspaper.  Many interesting articles this week; one focuses on the increase of tuition, while one of our editors discusses the two primary candidates for New York governor.  In sports, both the boys and girls cross-country teams traveled to sunny Florida and came back with a few record-breaking times.
As for our arts and entertainment section of Loomings, we are still looking for anyone interested in writing book, movie or game reviews.  Please email us at  HYPERLINK “mailto:cwpstpnr@gmail.com” cwpstpnr@gmail.comÖdonít forget, we are still looking for that 50th email to give away that $500 prize!
From your staff of the Pioneer, Happy Homecoming and good luck Pioneers!
Published in From the Editors
"
2010-10-22,LIU,report,"May 19, 2023

1. It would be cool if you guys can take pictures ofr random students around campus. I know  I would feel good seeing myself in the paperhave a good feeling to see myself in a paper. It creates some sort of a celeb/student status – . kinda like  make an on campus gossip section. I don’t know, it’s just an idea. The 1st edition was great, like all the rest and near future printed papers. Real professional!
Peace 
A. Wellington
2. Hi Pioneer staff,
If I could change things I’d have articles based more on world news, not just issues that effect the average frat boy. Many students aren’t aware of activities on campus, so doing articles on those clubs might be a good idea at the beginning of the year. However, more detailed articles on our government and current events would be great. Also, while I feel like it’s important that the arts section be expanded and worked upon, the combination of Loomings and the paper is a poor choice. The magazine was beautiful and the picture quality suffers when artwork is printed on newsprint. There is also even less attention on the arts on campus now that there is no publication. It’s too bad that Loomings is understaffed.
Thanks.
Sincerely,
E. Amaral
3. Hello,
I would like to see recaps of professional sports teams in the newspaper. Something about the Jets, Giants, N baseball teams, basketball teams, etc. I think it would be a nice touch to the paper and would grab a bigger audience.
Ps: Tthis is Ppaul from broadcast 25 and I told you I would e-mail you!
Sent via BlackBerry by AT&T
4. I would like to see more movie reviews in the paper!
R. Cassidy
5. To “The Pioneer”,
Hello. Recently I read the first the first issue of The Pioneer and saw the ad in the back about “what you’d like to see”; so here I go! I am a currently enrolled Art student at the C.W. Post campus. I would love to do a comic strip per issue of the newspaper on campus life, commuter life and general college life. I think readers would really enjoy “seeing” this in their campus paper. I plan on making it some-what humorous and personal to the school. Please let me know if this is a possibility and I will send some comic strip ideas. Also, if there is ever any need for illustrations or photographs I would love to get involved with that too. 
Thank you for your time!
P. Stewart
6. Im just worried that maybe im so late to send this email 😀
I like the Pioneer a lot. It gives me a lot of opportunities.
To be honest, I know the Pioneer recently because I am an international students and also I did not pay attention to what is going on to the school hahahaha
however, i had a change to be interviewed during the chuseok story.
It was the first time to be in an article and i was so happy with my friends hahaha and we all laughed at my picture.
As an international student, it is easier to read the Pioneer because it is easy to relate to in comparison to the new york times.
In addition, if the Pioneer will add articles about the International students, a lot of them will pay attention! at least I hope so!
S. Yoo
Published in Letter To
"
2010-10-27,LIU,report,"May 19, 2023

Coming off a tough overtime loss to first place St. Thomas Aquinas College by a score of 2-1, the Pioneers came out focused and determined for their next games at Molloy College (3-11) and Mercy College (6-6-2).
C.W. Post won in a 4-1 rout against the last-place Molloy Lions. Later on in the week, the Pioneers faced off against Mercy College (6-6-2), but lost in an exciting double overtime match-up.
“We played well both games,” said forward Rumen Kerekov. “We scored five goals in total in those games and we created many chances. Against Molloy we won convincingly, but we lost in a very unfortunate way to Mercy.”
Right from the start of the game against Molloy, the Pioneers came out energized and ready to play. The Pioneers scored two goals in the first half; one scored by freshman back Joakim Ohlson, and the other by junior midfielder David Carlsson. After these quick two goals, neither team would put up a point on the scoreboard until Molloy’s Dan Brown beat C.W. Post goalie Marco Jorgensen to make the score 2-1 in favor of Post.
Just five minutes after Molloy finally found their offense and came within one goal of tying the game, Carlsson scored his second goal of the game, and his fourth goal of the season. Post continued to pour it on when senior forward Emanuel Messina found the back of the net off a pass from Carlsson to put the game out of reach at a score of 4-1.
On Saturday, the Pioneers traveled to face Mercy College in an East Coast Conference showdown. Post took the early lead on a goal from sophomore forward Betim Bajrami, with the assist coming from Carlsson. Midway through the second half, Mercy would even up the score off a goal from Alex Cruz.
Both teams could not end the game in regulation, so overtime was needed. Neither team could find a way to win at the conclusion of the first overtime, so yet another extra period was needed. In the 104th minute, Cruz managed to give Mercy the lead on his second goal of the game, as this proved to be the final score of a thrilling battle with the Pioneers on the losing end.
“It was a tough loss, but we can still qualify for the playoffs if we beat Queens next Saturday,’ said Kerekov. “So we will definitely be pumped up for that game.”
The Pioneers next game will be at home against Nyack College (5-5) on Thursday at 2 p.m. Saturday, will be their last regular season game, which will be at home against Queens College at 2:30 p.m.
 
Published in Soccer and Sports
"
2010-11-12,LIU,report,"May 19, 2023

The C.W. Post Pioneers will not extend their season past this weekend. Post will not be involved in a PSAC Championship game. There will be no playoffs. And while the Pioneers outscored the Cheyney Wolves last week, the team may have proven why it won’t be in the postseason.
Cheyney is one of the worst teams in Division II. The team hasn’t had a winning season since 1979. Going back to 1995, the Wolves have a cumulative record of 8-161-1. Out of 151 Division II teams, the Wolves have the 134th offense. Any team should be able to stop their offense.
Go back to last week’s game. The Pioneers defeat the Wolves 63-28. Sure nine touchdowns on offense is a great stat but the defense gave up four. One of the problems with the Pioneers this year is the players’ demeanor on defense. There is no consistency from game to game. One week, the defense is all-world. The next, the squad surrenders points and puts the burden on the offense’s shoulders.
So many times this year, the Pioneers have given up easy yards. For the most part, they have been unable to stop their opponent’s rushing attack. This past week against one of the worst offenses in the nation, the Pioneers watched Cheyney run for 314 yards. Through 10 games, the Pioneers have given up 174 rushing yards per game.
Clearly that type of defense is not conducive of a playoff team. There have been so many instances this season where the defense should have or needed to come up big but fell short. As Coach Bryan Collins always points out to me, football has three phases. And while the offense has done well fighting through injuries, the special teams working through its own issues, the defense has not.
Regardless, there is room to grow for C.W. Post. The defense is full of young players. Donovan Edwards has started at cornerback as a true freshman. Sean Smith was having an excellent year before his knee injury and the vast majority of the starting defense will return next year.
But with one more game left against a solid slippery rock team, the Pioneers have an opportunity to reach seven wins and improve their record from last season. They’ll be in line to win as long as they can play a shutdown defense.
Published in Column and Sports
"
2010-11-19,LIU,report,"May 19, 2023

MLB
Texas Rangers closer Neftali Feliz was named American League rookie of the Year. Feliz, who set a rookie record with 40 saves and ran up radar guns with his lively arm.
World Champion San Francisco Giants catcher Buster Posey took the National League Rookie of the Year Award with his impressive season. After being called up in late May, the 23 year-old Posey hit .305 with 18 home runs and 67 RBI in 108 games played.
NFL
The New York Giants took on their arch-rival Dallas Cowboys at home, falling to the desperate ‘boys 33-20. Under new head coach Jason Garrett, Dallas (2-7) displayed grit and determination against a flat Giants team. New York (6-3) looks to rebound next week in Philadelphia against the Eagles.
The New York Jets recorded their second consecutive week with an overtime win over the Cleveland Browns. The Jets escaped last week’s game against the Lions with a comeback in the final minutes of regulation and quick field goal in overtime. This week was quite similar, with Santonio Holmes making a deciding catch in overtime, however this week taking it in for the score. The Jets face off against the Houston Texans on Sunday at the Meadowlands.
Philadelphia Eagles quarterback Michael Vick and company trounced the Washington Redskins on Monday Night Football 59-28. Vick, 20/28 for 333 yards also threw 4 touchdown passes while running for 80 yards and scoring two touchdowns. Former Eagle’s quarterback Donovan McNabb, current Redskin quarterback received a $78 million contract extension before kickoff completed 17/31 for 295 yards, connecting for two touchdowns and throwing three interceptions.
NHL
The New York Islanders (4-10-3) have fired head coach Scott Gordon. The team is currently enduring a 10-game losing streak that has left them at the bottom of the NHL standings. Jack Capuano, former head coach for the Islander’s AHL affilate Bridgeport Sound Tigers will replace Gordon on an interim basis according to general manager Garth Snow.
The New York Rangers (10-7-1) defeated the Pittsburgh Penguins Monday night 3-2 in overtime. Rangers’ winger Marian Gaborik returned to action after missing 12 games with a separated shoulder. The team did however lose number one goaltender Henrik Lundqvist to an lingering illness and defensemen Michal Rosival, who has a strained shoulder.
 
Published in Sports
"
2011-10-19,LIU,report,"May 19, 2023

Sandra Elien
Have you ever considered where graduate students were living this semester? How about the number of graduate students actually dorming? Jennifer Fuoco, the director of residence life, has informed the Pioneer that there are currently 92 graduate students living on campus and that the total number of graduate students living on campus has changed over the years. Fuoco added that, “This number has changed from year to year and is currently up by six from last year at this time.”
Various factors can determine why most graduate students choose to live off-campus.  Sean Manning, a graduate student studying medical microbiology said that “since [he] lives near the school, he doesn’t see the point in living on campus.” Jessica Blumenthal, a graduate student studying social work, agreed with Manning. Blumenthal said that she doesn’t live on campus because she “lives 30 minutes from the school, so for me, it is not worth paying for housing on campus when I can live at home for free.” Although their reasons seem plausible, living on campus can also have its advantages.
Blumenthal went on to say,  “During my undergrad., I was in Maryland and paid for housing, both in dorms and in an apartment, so I already had the experience of living somewhere else.”
The director of residence life also provided a tentative explanation as to why graduate students choose to live on campus. Fuoco said, “living on campus seems to appeal most to graduate students who are enrolling in graduate coursework immediately after finishing their Bachelor’s degrees.  For students who have been out of the residence halls and away from campus life for a year or more, the idea of living in a residence hall, having a roommate, and sharing a community bathroom may no longer be something that works with their lifestyles or schedules.  Some graduate students are also completing their coursework while working full-time and may choose to live closer to their workplace.”
Though living off-campus may be suitable for someone seeking a different experience of being in another environment that is more private and confined, few graduate students agree that living on campus can be an advantage. A graduate student, who wished to remain anonymous, said that when “you live on campus, [you] meet a lot of people and don’t have to deal with all the traffic of commuting, and you get more involved with school related activities. And, living on campus also allows you to work.”
As you can see, there are many things that can influence a person’s choice in deciding whether to dorm or not.  One can agree that graduate students, although one may  think there are none on campus, do make up a significant percentage of the student population on campus. If you still unsure about whom the graduate students are, try networking through the residence halls; you bound to come across a graduate student more quickly than you would think.
Published in News
"
2011-10-26,LIU,report,"May 19, 2023

Chantell Moore
C.W. Post students were able to express their Post pride with a Pep Rally on Friday, October 21st, at 7 p.m. in the gym of the Pratt Recreation Center. Sponsored by The Association for Campus Planning (ACP), the Pep Rally had a number of events for students to enjoy.
The night included the 1st, 2nd and 3rd place winners of the talent show giving an encore of their winning performances. Homecoming banners were proudly displayed, clubs were acknowledged, and the Student Dance Association and Pioneerettes dazzled the crowd with their own performances. And, last but not least, students showed their Post pride to the football team before the big homecoming game. What’s not to love about pep rally?
In addition to the performances, there were also free food and drinks offered to the crowd, along with some green and gold pompoms and foam fingers to cheer with. And, ACP didn’t stop there. It also threw free C.W. Post t-shirts into the crowd and had a D.J. blasting music throughout the event to keep the students pumped up.
Sally-Ann Gaughan, a junior early childhood education major, was surprised by this year’s pep rally. “It was better than I thought it would be. It had more school spirit. It was just awesome.”
Anna Smith, a freshman with an undeclared major, also enjoyed pep rally, saying, “I liked it and thought it was really good. The music was also really good, too.”
This year’s Pep Rally did just what it set out to do: get students pumped up for the big Homecoming game, and allow them to let loose and have some fun.
Published in News
"
2011-11-16,LIU,report,"May 19, 2023

Events @ Post
Wednesday November 16th to Tuesday November 22nd
 
Wed Nov. 16
Sigma Delta Phi Epsilon Informational
Location: Hillwood Lobby
12:00 pm to 3:00 pm 
 
Wed Nov. 16
Department Of Music Junior Recital:
Christine Mistretta, Clarinet and Ashley Staib, Cello
Location: Great Hall
5:30 pm 
 
Wed Nov. 16
Graduate Open House
Location: Tilles Atrium
6:30 pm to 8:30 pm 
 
Wed Nov. 16
Omega Phi Beta Informational
Location: Hillwood Room 106
9:00 pm to 10:30 pm 
 
Thurs Nov. 17
Nobel Laureate Dr. James Watson on “Finding the Double Helix”
Location: Humanities Room 119
12:30 pm 
 
Thurs Nov. 17
Department of Music Junior Recital
Alexander Seifts, Cello and Lauren Murray, Viola
Location: Great Hall
5:30 pm 
 
Thurs Nov. 17
Adult Student Open House
Location: Tilles Patrons Lounge
6:30 pm 
 
Thurs Nov. 17
Kappa Alpha Phi Kurrency
Location: Hillwood Pioneer Room
8:00 pm to 10:00 pm 
 
Thurs Nov. 17
Department of Music Senior Recital
Tara Burk, Mezzo-Soprano
Location: Great Hall
8:15 pm 
 
Thurs Nov. 17
Movie- 30 Minutes or Less
Location: Hillwood Cinema
9:00 pm to 11:30 pm 
 
 
Sun Nov. 19
Sigma Delta Phi Epsilon Information
Location: Hillwood Room 115
8:00 pm to 10:00 pm 
 
Mon Nov. 21
Department of Music Student Performance Convocation
Location: Hillwood Rectial Hall
12:30 pm 
 
Mon Nov. 21
Department of Music Junior Recital
Nicholas Hall and Matthew Nobile, Percussion
Location: Hillwood Recital Hall
5:00 pm 
 
Mon Nov. 21
Meet The Greeks
Location: Hillwood Fishbowl
7:30 pm to 10:30 pm 
 
Mon Nov. 21
Sigma Delta Phi Epsilon Jeopardy
Location: Hillwood Pioneer Room
8:00 pm to 10:00 pm 
 
Mon Nov. 21
C.W. Post Orchestra, Maureen Hynes, Conductor
Location: Hilwood Recital Hall
8:15 pm 
 
Tues Nov. 22
Student Government Association Meeting
Location: Hillwood Top of Commons
6:30 pm to 7:30 pm 
 
Tues Nov. 22
Sigma Delta Phi Epsilon Taboo
Locatin: Hillwood Pioneer Room
7:30 pm to 10:00 pm 
 
Tues Nov. 22
Department of Music Senior Recital
Andrew Cordero, Baritone
Location: Hillwood Recital Hall
8:15 pm  
Published in Campus Events
"
2011-11-30,LIU,report,"May 19, 2023

December 1st
General Education in the 21st Century Faculty Discussion Group Meetings: ”General Education in the 21st Century” (facilitated by Prof. E. Lichten)
Hunt Room, Winnick House
12:30 – 1:30 PM
 
Department of Media Arts Lecture Alan Clary, Senior Producer MTV, and C.W. Post Alumnus
 
Humanities Room 027
12:45 – 2:00 PM
 
Keyboard Club Concert Stephanie Watt, Director
Great Hall
8:15 PM
 
December 2nd
Meeting the Special Needs of Our Students
Lorber Hall, Room 104
11:00 AM – 1:00 PM
 
Department of Music Junior Recital – Chelsey Johnson, Flute, and Stephanie Drew, Soprano
Great Hall
5:30 PM
 
Department of Music Junior Recital – Cloe SanAntonio, Soprano
Great Hall
8:15 PM
 
December 3rd
Free Financial Counseling for Prospective & Current Students at LIU
Hillwood Cinema
9:00 AM 
 
December 4th
C.W. Post Holiday Concert
Tilles Center
7:30 PM
 
December 5th
Department of Music Convocation – duoJalal Katherine Lockwood, Viola & Yousif
Sheronick, Percussion
Hillwood Recital Hall
12:30 PM
 
C.W. Post Madrigal Singers and Merriweather Consort
Great Hall
8:15 PM
 
December 6th
Department of Music Crafts Fair
Hillwood Commons Lobby
12:30 PM
 
December 7th
C.W. Post Jazz Ensemble, T.K. Blue, Director
Hillwood Recital Hall
8:15 PM
Published in Campus Events
"
