date,school,keyword,article,article_neg,article_pos,article_neu,paragraph_neg,paragraph_pos,paragraph_neu,sentence_neg,sentence_pos,sentence_neu
2009-02-12,AU,study,"Expansion of AU's national prominence and improvements in alumni relations are extremely important to the university's continued growth, President Neil Kerwin said during a Kennedy Political Union event Monday.
""We need to find ways to engage alumni in the light of the university, we need to serve their needs as they progress through life, needs for career assistance, needs for lifelong learning,"" he said. ""We simply need to increase the outreach that we undertake with our alumni.""
Kerwin has been president of AU since 2005 and has been closely involved with the university since he first graduated from AU in 1971. Before his presidency, Kerwin served as the dean of the School of Public Affairs and then as the university's provost until he took over the presidency from Ben Ladner.
Kerwin discussed the need for AU to improve its reputation.
""We need professional approaches to telling this institution's story,"" he said. ""We need to make sure that when people hear the name American University they don't ask 'Gee, where is that?'""
In an effort to better market AU to the community at-large, the university is in the process of completing comprehensive market research and study. When the study is completed, AU will roll out a new marketing campaign, with the university's Web site as its centerpiece, Kerwin said.
""It will certainly have as its anchor the new Web site, which we expect to launch in March,"" he said. ""The Web is the future and a lot of the marketing we do will be fundamentally linked to that capacity.""
Kerwin said he has an optimistic vision for AU, despite the economic difficulties many universities currently face. He described the current economic crisis as extremely dangerous and worrisome, but maintained that the university was in good financial standing.
""I'm very proud of the financial condition that we find ourselves in today,"" he said. ""I'm very pleased that we have been able to develop the kind of reserves that allow us to say with confidence that this is not an institution that is confronting freezes in either hiring or salary.""
AU is financially stable, partly because 81 percent of the university's annual budget is paid through student tuition dollars while only half of one percent - totaling $2 million - comes from the schools endowment funds, The Eagle previously reported.
AU has dealt with criticism in the past for its small endowment, but it has been a benefit during this difficult economic time, during which students will continue to pay tuition costs, The Eagle previously reported. Other colleges have lost millions of dollars as their investments have decreased in value along with the global stock markets.
The night before this event, Kerwin attended an informal question-and-answer session with students in the McDowell Formal Lounge. 
Following Kerwin's speech, he took questions for an hour. Students took the opportunity to confront Kerwin with what they viewed as AU's faults. 
One student, a senior in the College of Arts and Sciences' Audio Technology program, told Kerwin the program was ""embarrassing at best"" and that it was unfair for him to have to pay full tuition.
Another student discussed how SPA advisers had not helped her when she transferred from the Washington Mentorship Program. The student, who became emotional at times, said poor communication caused her to have to spend an extra semester at AU.
Throughout the speech and subsequent question and answer session, Kerwin acknowledged that the university had faults and said he hoped many would be fixed in the near future.
""You'll see during the next couple of years a serious effort to remove some of the inefficiencies, some of the frustrations that you've [students] told us about,"" he said. ""We know that making your life as simple as we can with administrative services is critically important, so that you can devote the time and attention you need to develop as scholars and people.""
",0.0,0.109,0.891,0.046,0.07,0.884,0.07,0.104,0.825
2009-03-05,AU,study,"On Feb. 26, AU Abroad sent an e-mail to students to unveil its two newest programs - both of which are in India. Students now have the opportunity to study at Fergusson College in Pune or at Manipal University in Manipal. 
With more than 1,500 different recognized dialects and 24 official languages, India is the most multicultural country in the world - a fact many foreigners may find daunting, according to Ethan Merritt, an AU Abroad adviser. 
""I have never been more overwhelmed in travels abroad than when I spent time in Delhi,"" he said. ""Thousands of people are all around you, all speaking different languages and going different places.""
But after recently returning from India, Merritt and AU Abroad Director Sara Dumont said they found this high-scale diversity to be the most beautiful part of the country.
""What you get in India is a sense of what diversity really means,"" Dumont said. ""You could travel 50 miles in any direction and be in a totally different culture than where before. That's what makes it so important for Americans to be able to study there.""
Pune's Fergusson College is east of Mumbai, according to Merritt. Pune is small city compared to Mumbai, but it is known for its reputation as a young, vibrant cultural hub, housing multiple universities and India's National Film Archives and Institute.
Pune is not considered a tourist destination, according to Merritt. The Alliance for Global Education runs Fergusson's program. The Alliance is trying to limit the amount of students involved to 20, according to Dumont. Abroad students at Fergusson will live in homestays with a family, and have the option to be as involved with the family as they would like.
The second abroad program in India is held at Manipal University - one of the country's top five universities, Dumont said.
The world-renowned university is very international, and boasts degree-seeking students from more than 50 different countries. While Manipal is known for its medical and engineering curriculums, the university's Cultural Studies, Communications and International Politics departments run the study abroad program - a perfect fit for AU students, Merritt said. Manipal has a tropical climate, and is miles away from the beach. Its campus has a thriving community feel where all students and most faculty live on campus.
The two new India programs fill a void in AU Abroad, Dumont said.
",0.0,0.053,0.947,0.0,0.04,0.96,0.003,0.072,0.925
2009-03-05,AU,study,"Though some colleges have begun creating three-year bachelor's degree programs in an effort to save students money, there has not been a huge amount of interest in the possibility of similar programs at AU.
A majority of undergraduate programs at U.S. universities are meant to be completed in four years, but with the economy now in a recession, the three-year bachelor's degree might soon become viewed as a widespread option for cutting costs, according to USA Today.
Marla Boren, senior academic counselor in AU's College of Arts and Sciences, said AU offers several combined bachelor's and master's degree programs that reduce the total amount of time a student is in school. Boren has not yet seen an increase in the number of students interested in graduating early, but the recession may change this, she said.
Jesse Boeding, director of undergraduate programs in the Kogod School of Business, said some students save money by graduating early in order to stop paying tuition and enter the workforce sooner.
""Whether you stay four years or three years, you're going to have to pay for the credits in some way,"" she said. ""But all of the overhead expenses of room and board and travel expenses and things like that are mitigated by re-sequencing your coursework."" 
The amount of Advanced Placement and International Baccalaureate credits students now come into college with have made it fairly common for them to be a semester or two ahead. Boeding said she knows of approximately 10 Kogod students who currently plan to graduate early.
Ryan Kim, a sophomore in the School of Public Affairs, said he will be graduating this December to save money and get a head start on graduate school. He left high school two years early to attend De Anza Community College in Cupertino, Calif., before he transferred to AU. 
""I am concerned with not getting the full 'college experience,' but hopefully attending grad school will help to offset those concerns,"" Kim said in an e-mail. 
Early graduation might interfere with study abroad or internship opportunities. Therefore, students must make tradeoffs and decide which aspects of their college career are most important to them. 
Kristen Velit, a freshman in CAS, said she would only consider the possibility of an early graduation if she could still study abroad.
""I don't think missing the [typical college experience] would be that much of a disadvantage, but I really want to go abroad and if I wasn't able to because I was going to be graduating early, that would be a disadvantage that would overshadow it,"" she said. 
Studying abroad, being involved on campus and being able to explore different disciplines through a minor or second major can provide advantages in the job market that students who graduate early may not be able to take advantage of, Boeding said. 
""I think the primary [disadvantage] is sometimes students rush through school and it becomes a check-the-box mentality,"" she said. 
Karim Abdallah, a freshman in Kogod, said he thinks it is a smarter idea to stay in school for the entire four years.
""Well, seeing how the workforce is going these days, it's better to stay in school until the crisis is over,"" he said.
In the near future, AU is unlikely to instate any undergraduate programs specifically designed to be completed in three years, Boeding said. Since the university is an accredited institution, it cannot cut down the number of credits in its bachelor's degrees to make them three-year programs. 
""I think that AU has a structure that allows students to graduate early if they want to,"" Boeding said.
",0.119,0.078,0.803,0.073,0.091,0.836,0.043,0.115,0.842
2009-04-09,AU,study,"Many AU students praised President Barack Obama's recent promise to ease tense relations between Cuba and the United States.
Obama announced last week that he is searching for a ""new strategy"" for the United States to use in its relations with Cuba, especially regarding travel and trade, according to The Washington Post. He will likely reduce restrictions on Americans' ability to travel to Cuba before the mid-April Summit of the Americas in Trinidad and Tobago.
""I think it's definitely a good step forward in foreign policy, and not just in travel issues,"" said Taline Kevonian, a second year graduate student in the School of International Service.
While many Americans enter Cuba through Mexico or Canada, many more will likely visit the island if restrictions are loosened, she said.
""A lot of straight-edge people don't want to go through Mexico or Canada because the government says it is illegal,"" Kevonian said. ""But they will say, 'OK, the government isn't against Cuba, so I can go [if restrictions are lifted].'""
Katie Shankle, a junior in SIS, said she definitely opposes the embargo on Cuba yet has concerns about the process and implications of lifting the restrictions. She spent the fall 2008 semester in Havana, Cuba, studying with AU Abroad's enclave program.
""The Cubans want the embargo lifted,"" Shankle said. ""They are a poor country and need money, and the cheapest country to trade with is the United States.""
But from a historical perspective, she said lifting restrictions would alter a country where there are cars from the 1950s and buildings from before the Cuban Revolution; where there are no McDonald's restaurants on Cuban street corners and no real Chinese food restaurants.
""What I am sad to see is the Americanization of a place that is frozen in time,"" Shankle said. ""Cuba will look at the last days of what it's been like for 50 years.""
Cuba's infrastructure may also not be able to support American tourism, since the nation is very different from typical American tourist destinations and situations like power outages are common, she said.
Lifting travel restrictions may eliminate some problems Shankle said she faced in Cuba.
""When we were there, the discussion was on whether the program would survive with the restrictions,"" she said.
Americans do not have access to banks, credit cards or means of cashing checks while in Cuba, Shankle said.
The AU students who travel there could only travel outside of Havana for education purposes and could only buy education or art-related items, she said.
""We had to be very cautious bringing back T-shirts because technically we're not allowed to,"" Shankle said.
They could not have an internship or stay with a Cuban family and the classes they could attend were limited, she said.
""The United States wants to keep us in a pocket of Havana and doing exactly what they specify in classes with chosen Cuban teachers and American students,"" Shankle said.
Easier travel would come at a cost, she said.
""I'm grateful I got to see Cuban government as a closed government, pre-whatever happens before the embargo is lifted,"" Shankle said. ""It's still untouched so it's incredibly unique. It's a glimpse of a closed society and what those peoples' lives are like.""
",0.05,0.342,0.608,0.0,0.0,1.0,0.046,0.083,0.872
2009-08-13,AU,study,"Confining your studying routine to the familiar shelter of Bender Library or Mary Graydon Center is a dangerous move. As an AU student, it's easy to develop the same plight as Princess Jasmine in ""Aladdin"" and remain within the palace grounds. Studying on campus is rather convenient, but beyond the quad dwells a whole new world and there's no evil Sultan keeping you from experiencing it. Hop on your magic carpet, or Metrobus or rail of your choice, and explore the plethora of alternative studying locales around D.C. at your disposal. The following places serve as a basic springboard for further off-campus studying adventures with easiest transportation routes from the AU/Tenleytown area. 
5) Sticky Fingers, 1370 Park Rd., N.W.
Best transportation route: Columbia Heights Metro, H4 bus. 
A few steps from the 14th Street core of Columbia Heights rests vegan sweet haven Sticky Fingers, an ideal spot for morning studying. Modern in its design, Sticky Fingers is a hotspot for the socially and politically conscious, as the establishment strictly abides to vegan and animal rights conditions and standards. Also a staple are killer pastries, which there's no shortage of here. From their famous sticky buns to delectable cupcakes, brownies and muffins, it's easy to flirt between sugar rush and diabetic shock. Once you're all amped up on sugar, though, Sticky Fingers has a dozen or so tables for studying or working purposes.  
4) Ebenezers Coffeehouse, 201 F St., N.E.
Best transportation route: Union Station Metro
Nestled on a quiet corner in northeast D.C. a few blocks from Union Station, Ebenezers Coffeehouse is the perfect spot for a day when you want to get far off campus. The building was purchased by the National Community Church in 2002 and extensively renovated before its 2006 opening. Not to worry, though - there's no trace of religion in the coffee. All profits of the fair trade coffeehouse go towards community outreach projects around the Capitol Hill neighborhood through the National Community Church. Aesthetically, Ebenezers has the sophisticated, sterile ambiance of a Starbucks, its exposed brick and eclectic seating arrangements make for a lively coffeehouse. Its barren basement is used for concerts and dance classes nearly every night. During the day, however, it makes for an excellent, expansive space to spread out your books and papers and dive headfirst into your work. 
3) SoHo Café, 2150 P St., N.W.
Best transportation route: Dupont Circle Metro, N buses
A hop, skip and jump away from the Circle resides SoHo Café, a quaint coffeehouse with ample pizzazz. Featuring bold colors and unique décor lining the walls, SoHo Café is an ideal destination for writing papers. The seating dynamic is tight and clustered, making it rather difficult to spread out, but ideal for getting down to business on your laptop. The café has recently acquired a liquor license, sporadically rendering it a bar hangout spot on weekend nights. During weekdays, however, SoHo boasts a fairly subdued work environment - a quick, easy retreat off campus for those in search of an afternoon studying session with a jolt of caffeine. 
2) Steam Café & Lounge, 1700 17th St., N.W.
Best transportation route: Dupont Circle Metro, N buses
Steam Café & Lounge is irrefutably the most accommodating place to study off campus, if only for its unique hours of operation. During the week, Steam is open from 7 a.m. to 1 a.m. and to 3 a.m. on weekends, which is ideal if you've got a full day of studying ahead of you. The accommodating nature extends to the kitchen, too. Steam has an extensive menu that entails selections from every meal of the day, served from open to close - yes, all-day breakfast. The standard seating isn't particularly comfortable, but Steam attains its charm through the large windows that boast pleasant Dupont Circle vistas.  
1) Tryst Coffeehouse/Bar/Lounge, 2459 18th St., N.W.
Best transportation route: Woodley Park-Zoo/Adams Morgan Metro, H4 bus
Undoubtedly the most textbook ""coffeehouse"" in terms of personality, style and setup, Tryst is a fully functioning bar, café and lounge. With a haphazard seating arrangement composed of plush armchairs, dining room tables and everything in between, Tryst exudes a busy, yet welcoming atmosphere with delicious meals and myriad caffeinated beverage options, each served with Tryst's signature side of animal crackers. Studying and working in groups can be difficult given the helter-skelter seating organization and consistently popping business. The clientele ranges from students and locals to families lost on their way to and from the zoo, so it can get quite loud at times. For those that require silence to study, look elsewhere; for those who like boisterous work environments it doesn't get much better than this.
You can reach this staff writer at thescene@theeagleonline.com
",0.0,0.07,0.93,0.012,0.097,0.891,0.056,0.159,0.785
2009-08-13,AU,study,"If you're an incoming freshman, you've probably already maxed out your credit card at Bed, Bath and Beyond to buy a new bedspread, alarm clock, trendy-looking lamp - and anything else you could have sworn you needed to go away to college. Your grandmother probably bought you a ""how-to-navigate-D.C."" travel book, equipped with Metro maps and tips on where the popular tourist spots are. But leave the fanny pack at home, dear newcomer - you're not a tourist here. D.C. is your new home for the next four years, but don't let that intimidate you. The Eagle's annual guide issue makes a great cheat sheet; we're here to prove that there is life outside of the National Mall.
Once you're settled in your dorm room, grab some of your new friends and do some exploring. Your options are certainly not limited to campus events (though those can be pretty cool). The Eagle has mapped some of the coolest spots in D.C. - for everyone from political activists to arts enthusiasts and all those in between. We've got places for you to study, museums to visit, restaurants and sports events, on campus and across D.C. 
So please, explore neighborhoods outside of Tenleytown. Places like Columbia Heights, Petworth, Bethesda and Cleveland Park have some cool things to do. Find a coffee shop to call your own, hang out at a park - and let The Eagle tell you how. 
Of course, by the end of this semester, you'll be an old pro at navigating the Metro. Come parents' weekend, you'll be able to give mom and dad the most ultimate tour of the monuments. But everyone has to start somewhere. D.C. may seem like a big, confusing place at first. A few things to remember though, stand to the right and walk on the left of the Metro escalator, there is no J Street and take note of which airport your flight leaves from (yes, that actually happens). And buses aren't scary.
Oh, and make sure you go to your classes amidst all the excitement that the city provides. Those can be interesting, too. I swear.
Welcome to AU and good luck!
Jen Calantone
Editor-in-Chief
",0.0,0.109,0.891,0.095,0.166,0.739,0.033,0.174,0.793
2009-08-13,AU,study,"If Ronald Reagan could see AU's campus today, he would surely say, ""It's morning again at American."" As always, the start of a new school year has AU students feeling renewed, reinvigorated and reengaged.  If you've got issues, we want to hear about them.
",0.0,0.174,0.826,0.0,0.286,0.714,0.0,0.181,0.819
2009-10-12,AU,study,"With the words of hope and spirituality the Dalai Lama brought to AU this past week, there also came the question of religion and the younger generation. As a group coming to adulthood when so much of the status quo has been questioned, are we a group able to follow faith blindly?
Our generation is one that accepts greater sexual freedom. We understand that being gay is not a decision, but rather part of a person. We desire to be colorblind. And we also face the question of whether or not religion is compatible with our modern beliefs. I’ve found that often, it feels as though being religious means being hypocritical. One cannot deny that adhering strictly to religious observances is increasingly difficult. It seems unfair for a Jewish girl in college to have to turn down a night out with friends because a restaurant can’t ensure her plate hasn’t touched meat — not to mention most restaurants within a college budget probably can’t. Being part of a certain faith should make one feel like they are part of a group, not alienate them from others. Yet many students who practice Judaism do not strictly keep kosher and consider themselves highly religious.
One could also point out that this generation’s beliefs contradict those of our religions. Christianity, for example, encourages followers to sacrifice their own well-being in order to ensure the wellbeing of others. To give without expectation is to practice faith; to accept and forgive others is to do the work of God. However, the church does not recognize gay marriage; thus, we are asked to not accept our friends in gay relationships. We are asked, in a sense, to stand against the well-being of our friends. 
When religions are morally opposed to groups of people, one must wonder if we can stand as one united group of people, hoping to do the best for everyone. It has long been true that religion has been the cause of most wars in history. One could even argue that religion is behind the wars of our political parties. Is there any hope for young Americans to practice a faith and practice what we feel is right?
I would like to think so. We are of a different mindset than many of our parents, as they are of our grandparents. There was once a time where your wedding kiss was supposed to be your first. Social norms have changed a lot since then, but religion has remained a constant — an unchanging facet of life that holds us in common with our ancestors. 
This is why it’s no surprise that religion will follow us through graduation — if faith and morality made it through the ‘70s, it can make it through anything. We will have religion as long as we take faith as it takes us: as a whole, overlooking some of our lesser characteristics.
The fact that we can practice religion that we may not agree with 100 percent gives me great hope. It shows that we have open minds; while we may not agree with all parts, we stand for what the whole stands for. The fact that our generation still practices religion — 81 percent of freshmen students at UCLA, according to a university study, shows that we are comfortable being ourselves, despite how our beliefs may be different. If our generation can keep this open-mindedness and welcome the fact that other people have different opinions, we may be in a much better place come 20 years.
Kristen Boghosian is a senior in the School of Communication and the School of Public Affairs and The Eagle’s managing editor for The Scene.
",0.036,0.168,0.796,0.051,0.11,0.838,0.053,0.186,0.761
2009-11-12,AU,study,"Many AU students have never heard of the College Level Examination Program — a College Board-administered test that can accelerate education at a lower price. 
The tests, more commonly referred to as CLEP exams, are catered to students who feel they have already mastered the material they would have to cover at their university. Students who take the exams have generally acquired their college-level knowledge from independent studies, advanced high school courses and on-the-job training and cultural pursuits, according to CollegeBoard.com.
The cost per credit hour at AU is $1,148. Therefore, if students pass a CLEP exam — which carries a $72 price tag — in place of a three-hour credit course, they will save $3,372. 
The exams cover 32 topics, according to CollegeBoard.com, but AU only accepts five of them as replacements for general education courses, according to Jamie J. Wyatt, assistant director of General Education. These subjects include American government, general chemistry, introduction to macroeconomics, introduction to microeconomics and introduction to sociology. The only CLEP testing center at a D.C. college is the Catholic University of America, according to the College Board Web site. 
Students must achieve a score of 75 out of 80 or higher in order to obtain the general education credit, according to the “Exam Equivalencies” undergraduate advising document. Once students have submitted their scores, the exams are forwarded to their corresponding departments for review, Wyatt said. The department faculty members then decide if the test was rigorous enough to prove the students have a firm handle on the material, thus exempting them from taking the course. 
“It takes motivation and focus to prepare for a CLEP exam. Many students would prefer not to take an examination without formal instruction,” Executive Director of CLEP Ariel Foster said. “In short, they are ‘not for everyone.’”
CLEP was established in 1967, according to Foster, and despite any financial and logistical benefits the exams may offer students, they are not well known among the AU student body. Questions about CLEP exams almost never reach Wyatt. 
“As long as I’ve been in this office, I’ve never gotten any articulation about a CLEP exam,” she said. 
In addition to testing students, College Board offers free CLEP exams to Active Duty and Reserve military personnel. Military veterans may also seek reimbursement from exam fees, according to the College Board Web site. The exam also appeals to working adults who want to obtain a degree, international students who wish to demonstrate their knowledge overseas and people changing careers.
Kristianna George, a freshman in the Kogod School of Business, said she is not familiar with the CLEP exams and would have been interested in taking them in order to save money. 
“I’ve heard about them, but I don’t really know what they are and I’ve never taken them,” she said. 
Kelsey Cadden, a sophomore in the School of International Service and the School of Public Affairs, said she had heard of getting course credits for Advanced Placement and SAT II examinations, but never for CLEP. However, she said if she had known about them, she might have tried taking one for physics, a class she currently enrolled in but also took in high school. 
“I think AU students like to take classes for their major instead of [general education courses] which have nothing to do with what they’re studying,” Cadden said.
",0.0,0.11,0.89,0.0,0.028,0.972,0.011,0.089,0.9
2009-11-12,AU,study,"The planned Women’s Resource Center has ignited some debate on campus about the need for such a center.
On one side, students argue that the center will fill a void in the administration, the responsibility for which has previously fallen on a paid Student Government official and several volunteer student activists, namely the staff of Women’s Initiative. In opposition, others point out that this costly expenditure will, in some cases, create services that are already available on campus.
THOSE IN FAVOR
Former WI directors met with current WI staff Nov. 9 to discuss the debate on campus. Vanessa Mueller, former director of WI, whose term ended in spring 2008, led the meeting.
Mueller said one of the main benefits the WRC would offer is a paid professional staffer to be available to students with personal concerns.
“For example, one of the big issues our year was a lot of the [work study employees] were reporting awkward situations bordering on sexual harassment, and it was a concern because we didn’t know who we should be reporting it to,” she said. “Greek life has a person. Athletics has a person. [The Office of Multicultural Affairs] has a person. GLBTA has a person. ... There’s a clearly delineated person of contact in every one of these situations except this one.”
Mueller also recounted incidents in which students reported sexual assault to her as the WI director, though she had no formal training in rape-crisis counseling.
“[Victims] show up at your office at two in the morning because you’re there all the time,” Mueller said. “I think it’s very easy if it hasn’t happened to you to say, ‘oh there’s no need for this center.’ I can tell you there’s a need for this center here.”
The center would also ideally provide a resource library and advocacy for female professors in ensuring equal consideration for tenure, according to Mueller. 
Mueller said that she, personally, had begun to set aside $100 from each of her paychecks for the Women’s Resource Center.
“I’ve put [the money] in a fund,” Mueller said. “... And it will stay there until I have something to donate it to ... I think that there are very few students and very few groups who have been so dedicated to one single thing for so long on this campus. And when it comes true I will happily earmark this money over to the center.”
Current SG President Andy MacCracken also spoke in favor of the WRC.
“Women’s resource centers have been introduced on campuses across the country,” MacCracken said. “We’re actually pretty far behind on that curve ... You look at the data, and it’s very clear that women have some issues that tend to gravitate towards that gender ... a women’s resource center would aim to address those needs by creating a place to go [for those needs].”
THOSE OPPOSED
Robert Ruszczyk, a junior in the School of Public Affairs, said he would not support the creation of a women’s resource center as it is currently proposed.
“Mostly, it’s because from what I’ve seen the people who are setting up the WRC are aiming for it to be only a women’s resource center,” Ruszczyk said. “It’s not opened up to the general student body, and the amount of money that is being spent on it can be spent elsewhere.”
Though the voices of the opposition exist on campus, the movement against the WRC is largely fragmented in comparison with the consolidated voice of the WI. Ruszczyk attributed the lack of organization to fear of being mislabeled by opponents.
“If we organize against it, we’re labeled sexist and chauvinistic when we’re really not,” Ruszczyk said.
Zach Lancet, a sophomore in the College of Arts and Sciences, said he felt the WRC would not offer anything new to students at AU.
“We already have a lot of resource centers all around campus, and it seems like we’re just throwing money at these problems, not even defining what is actually going to go on there,” Lancet said. “In every bathroom there’s a label that says if you’ve been sexually assaulted or sexually harassed you can call a certain number, you can call Public Safety, you can call your boss, you can call the Counseling Center ... Overall, I just don’t think it’s necessary, and I think it’s a waste of funding.”
HOW IT HAPPENED 
Former SG President Joseph F. Vidulich, Mueller and former SG Chief of Staff Joseph Pavel first put forth a formal proposal for the women’s center in September 2007. 
This proposal cites the goals of the center as services and programming that fall under the four categories of “Support, Empowerment, Education and Advocacy.” It references three-pages worth of other institutions with similar centers, including two Patriot League institutions. The proposal also relates the creation of a women’s center to the mission statement of the Office of Campus Life. 
The proposal listed a few reasons why the resource center was necessary. First, it suggests that the well-attended programming put on by WI in the past could be further improved “if there were university-employed professionals who could focus exclusively on these tasks.” Next, it highlights the interest in a center demonstrated previously by both students and faculty. It then says that students often feel uncomfortable reporting sexual assault and other issues to the Student Health Center or Counseling Center and that the WRC would offer a “safe place for students to come for information and referrals.” It then addresses the fact that under the Cleary Act, AU reported only one sexual assault in the 2005-2006 school year, going on to say that student interest in such events as the Take Back the Night campaign demonstrate an ongoing desire to “address those sexual assaults that do not occur on campus or occur on other university campuses” outside the limits of the Cleary Act.
The voting to include funding for the WRC in the fiscal year 2010-2011 budget passed in 2008, according to MacCracken.
“That all happened before my term started,” MacCracken said. “My job now, as I see it, is to identify a space [for the WRC] and make sure that there’s follow-through and not just that it gets done, but that it gets done in the right way.”
Mueller said that funding for the center would take effect in May 2010 and that she hoped the facility would be ready for students next fall.
",0.078,0.042,0.88,0.097,0.087,0.816,0.036,0.047,0.916
