date,school,keyword,article,article_neg,article_pos,article_neu,paragraph_neg,paragraph_pos,paragraph_neu,sentence_neg,sentence_pos,sentence_neu
2009-03-05,AU,conservative,"As the crowd streamed out of Ward 1 last Thursday, shouts for ethnic pride and gay rights rang through the air while faint voices sang ""This Land is My Land."" Former Rep. Tom Tancredo, R-Colo., had just given his talk about assimilation against the ""cult of multiculturalism,"" and some students had been stifling and hushing their reactions to his words all night.
The AU chapter of the national organization Youth for Western Civilization invited Tancredo to speak on campus, and the event drew both interest and protest.
YWC started on campus last semester through the efforts of Kevin DeAnna, a senior in the School of International Service who also helped found the national organization. 
""I started it here and found some other people who agreed with its goals,"" DeAnna said.
YWC chapters also exist at several other campuses across the nation, according to the group's Facebook page.
The group's Facebook page also displays its mission statement.
""The purpose of Youth for Western Civilization is to form a right wing youth movement,"" the page said. ""Youth for Western Civilization educates, organizes and trains activists on campuses across the nation to create a subculture that promotes the survival of Western Civilization and pride in Western heritage.""
Protest organizers referenced the Facebook page during a preliminary organizational meeting prior to Tancredo's speech.
""The language on the Facebook group is flawless,"" said Bianca Jones, Inter-cultural Liaison of Black Student Alliance, who came to the meeting representing herself and not the BSA.
The AU YWC Facebook group's description said the group's purpose is to educate about and promote pride in Western heritage and incite debate among its members on ""issues of vital important to Western Civilization.""
Josh Jacobs, a freshman in SIS, said he thinks the YWC is not racist on its Facebook page or elsewhere.
""I'm Jewish, our vice president is Hispanic, our president is an international student and we have multi-ethnic and multi-religious members,"" Jacobs said.
Even with diversity within the group, one can still show pride in the group's collective Western heritage and identiy, Jacobs said. 
""We hold that you should not be proud of your biology. There is nothing special about being born white, black, or Hispanic. It's a skin color,"" he said.
""I felt the need to join the Youth for Western Civilization group in order to see what the group and some of their members stand for,"" said Nafiza Jelassi, a senior in SIS and the Kogod School of Business who is an Egyptian-born Muslim.
Jelassi said she felt the group directs its attitudes solely towards white Americans.  
""I want to disprove their stereotypes of people who don't fall into their understanding of who's an American by getting to know them and letting them get to know me,"" she said.
""It is important for Muslims to not only be open to others but to help people understand what we stand for,"" she said. ""[YWC] is very new to our campus and perhaps some of the members may benefit learning from AU's diversity,"" she said.
DeAnna discussed the YWC's mission and views in an e-mail interview.
""We are opposed to radical multiculturalism, mass immigration, racial preferences and attempts to move curriculum away from Western Canon,"" DeAnna said in the e-mail. ""We are a nonpartisan conservative youth group that is concerned about the far left climate on American college campuses and are trying to push the debate back to the center.""
Vitus Van Rij and Amanda Patino, freshmen in SIS, helped to start and lead the group with DeAnna this year.
""The reason I was attracted to the group was because of the sort of hypocrisy I found on the leftist movement,"" Patino said. ""There's this idea that we're all equal and whatnot, but at the same time there's nothing unifying about their actions ... there are plenty of other people trying to tear our country apart and they don't need our help doing it.""
She said she helped DeAnna start AU's YWC chapter last semester, but they did not plan any events until this semester.
""[Tom Tancredo's talk] was our first main event,"" DeAnna said. ""It went well ... It was to open a debate on immigration and assimilation and announce our presence on campus ... We got our message out, the lecture was well attended by both sides.""
Some students wore black clothing and carried signs to protest of the event, but some came to support Tancredo's message and join forces with YWC.
Since Tancredo's lecture, YWC's Facebook group has increased its membership.
""I met a number of new members,"" DeAnna said. ""I don't exactly have a formal roster right now ... [but] it's certainly growing ... and I expect that growth will continue.""
Jacobs said he joined YWC a few weeks ago.
""The group offers a good alternative perspective on ... a very pro-multicultural campus,"" he said.
Jacobs is involved in College Republicans as well as in YWC, and several other YWC members are also affiliated with College Republicans, including College Republicans Vice President Luke Kraus and David Lindgren, a freshman in SIS.
Though College Republicans and YWC hold certain ideals in common, Lindgren said YWC needs to exist separate from a partisan organization.
""I am a member of the College Republicans,"" he said. ""And although certain parts of the Republican ideology align with that of the YWC, I feel YWC focuses and seeks to promote a greater understanding of Western culture and the harm of multiculturalism in American society that college Republicans do not address.""
YWC's message is for both those who associate themselves with Republicans and Democrats, Lindgren said.
""Specifically addressing the point of multiculturalism, an individual does not need to be a Republican or Democrat to understand the challenges multiculturalism poses and the problems associated with seeking to differentiate cultures,"" he said.
The purpose of the group's opposition to multiculturalism is to unify, according to DeAnna.
""America has a lot of different kinds of people here,"" he said in the e-mail. ""Something has to hold us together.""
Tancredo's talk expressed the group's goal to be as inclusive as possible, DeAnna said.
""[Tancredo] stated that people - regardless of race, religion or background - can become part of this country and identify proudly with American history and as part of the American people,"" he said in the e-mail.
",0.049,0.073,0.878,0.0,0.123,0.877,0.016,0.083,0.901
2009-03-05,AU,conservative,"Being at AU for four years now, I'm no stranger to rolling my eyes when another misguided ""progressive"" colleague, seemingly unaware or indifferent to the eugenics, racism, social planning and contempt for individual freedom synonymous with the word's history, proceeds to attack conservatives for being both ""mean"" and ""stupid."" Watching progressive ignorance embarrass itself can be fun, but the absurdity of Jacob Shelly's most recent column simply cannot be exaggerated, largely for the same reason infinity cannot be exaggerated.
First and foremost, Shelly shows his own ""meanness"" and ""stupidity"" when he throws all substance and seriousness to the wind by willfully embracing an ignorant caricature of former President Bush's term in office. Surely, our 43rd president's term in office was filled with failings, and we should be honest about what they are and what they are not. Seeing the federal response to Hurricane Katrina, our economic hard times and the war in Iraq as the result of President Bush being one-big meany-pants hardly is the mark of someone whose accusations of ""stupidity"" can be taken seriously.
Many of Shelly's assertions also go a long way in disqualifying him from making stupidity calls. For one thing, President Obama is hardly ""wildly popular."" His approval rating is about average for a president within his first 100 days, according to Gallup polls taken of presidents going back to Eisenhower. For another, the stimulus is hardly ""wildly popular."" At the end of January, CNN reported support for the stimulus dropped nearly 12 points in a week, finishing off at about a 51 percent approval rating. This of course says nothing of the more than 30,000 phone calls the offices of Sens. Snowe, Specter and Collins against the stimulus bill from their constituents, forcing them to shut off their office phones. 
While it's clear Shelly is titillated by the stimulus (even with the contraceptives funding removed, curiously enough), I'd love to know one ""poor"" person that will actually be aided by the stimulus, unless of course he means those 1.2 million additional recipients of Medicare as a result of the stimulus, which could even include Wall Street CEOs. Then again, seeing as the Dow has lost nearly 20 percent of its value since Election Day, nearly half of it coming since Obama's inauguration, they may need our tax dollars after all. 
Shelly should also be more concerned about making sure the provision in the stimulus to override governors' decisions to refuse stimulus money is actually constitutional before he starts questioning the motives of those against the money. And, given Shelly's logic that any governor refusing stimulus funds is clearly plotting a presidential run, he might want to talk to Gov. Phil Bredesen, D-Tenn., who is considering turning down stimulus money.
Fiction can be fun, or ""awesome"" as Shelly alludes. But without facts, the only person left sounding mean and stupid is Shelly himself.
William J. Haun
Senior, School of Public Affairs and former president, AU College Republicans
",0.119,0.0,0.881,0.044,0.13,0.826,0.098,0.094,0.808
2009-03-05,AU,conservative,"Some of your readers may recall a letter that I previously sent to your paper in reply to an Alex Knepper column. In it, I take him to task on the straw man that he sets up, which stated that liberals cared less about victims of bigotry in non-Western countries than about the comparatively less severe discrimination in the West. Apparently, he has revived this canard in his latest column. 
I once more reiterate that crimes east of the Prime Meridian do not mitigate the crimes to its west, and it's more practical to address problems at home than those abroad. If Knepper says he supports the plight of victims of bigotry in Muslim countries, then I recommend that he donate his time and/or resources to human rights organizations (most of them run by leftists) that advocate for them (such as Human Rights Watch), instead of crassly appropriating their cause to score cheap political points against liberals. 
He also makes another erroneous point in regards to ""victimhood"" and ""identity politics."" First, no minority advocacy organization wants to perpetuate victimhood as conservatives want to caricature them. They are simply about transforming victimhood into empowerment. 
Second, identity politics is a fact of life in the U.S., let alone the world. Identity politics is but a simple acknowledgment of the fact that people are categorized into groups beyond their control. The identity of each group is shaped by the forces around it, and if those forces involve past discrimination, then that cannot simply be abandoned as easily as some say it should.
Barnaby Yeh 
Senior, School of Public Affairs
",0.105,0.043,0.852,0.068,0.0,0.932,0.057,0.047,0.896
2009-04-09,AU,conservative,"The national teenage birthrate has increased for the second year in a row following a previous 14-year trend of steady decreases.
The rate at which unmarried women who gave birth rose by seven percent between 2006 and 2007, according to the Centers for Disease Control National Center for Health Statistics. The same report showed Texas, New Mexico and Mississippi - all states that traditionally vote conservatively - had the three highest number of teen birth rates. In Mississippi, there were 68.4 births for every 1,000 girls aged 15-19. The report did not cover how many pregnancies were terminated.
The consensus among many experts is that nobody is certain as to what is causing the sudden rise in unplanned pregnancies, although authorities on both ends of the ideological divide have voiced their opinions.
""With any kind of contraceptive there's a risk involved,"" Karin Thornton, AU's associate Catholic chaplain, said in response to the report. The Roman Catholic Church and the federal government both advocate for abstinence-only programs. Under President Barack Obama, the programs could receive significant funding cuts, according to The Washington Post.
Critics of these programs argue that abstinence-only programs do not always provide a complete and effective education.
""I think it's pretty clear from a number of independent research studies that abstinence-only education is not particularly helpful to students,"" said Women's Initiative Director Ashley Evans. 
Evans said that although she supports a person's right to abstain, she also emphasized the need to get all the information.
""'Abstinence-plus' programs would be a more comprehensive solution,"" she said.
While she said she supports a complete education, Thornton said she did not know about other programs outside of her area.
""I don't know the matter of the education is because I haven't listened to their particular plan,"" Thornton said.
Evans and Thornton chose not to comment on the CDC's report, but were happy to share their views on the general topic.
Parents have a role in their children's actions, said Rebecca Hsieh, a graduate student in the School of Public Affairs' Justice, Law and Society program.
""I feel that's where parents really need to intervene and talk with their kids and realize what they're going through because it's ultimately the kid's decision,"" she said.
Women's Initiative will host ""I Heart the Female Orgasm,"" a sex-education presentation put on by authors Dorian Solot and Marshall Miller, on April 24.
While the program is part of a national movement, Evans said she encourages men to attend, calling the event ""the climax of the year.""
",0.047,0.0,0.953,0.0,0.039,0.961,0.022,0.08,0.898
2009-08-13,AU,conservative,"If Ronald Reagan could see AU's campus today, he would surely say, ""It's morning again at American."" As always, the start of a new school year has AU students feeling renewed, reinvigorated and reengaged.  If you've got issues, we want to hear about them.
",0.0,0.174,0.826,0.0,0.286,0.714,0.0,0.181,0.819
2009-09-10,AU,conservative,"As I watched Ted Kennedy laid to rest at the end of August, I found myself thinking about 1987. That was the year Kennedy castigated Reagan Supreme Court nominee Robert Bork. During Bork's hearings, Kennedy said, ""Robert Bork's America is a land in which women would be forced into back-alley abortions, blacks would sit at segregated lunch counters, rogue police could break down citizens' doors in midnight raids, schoolchildren could not be taught about evolution, writers and artists could be censored at the whim of the government."" In retrospect, many people think Kennedy's speech was the beginning of the end for Bork. Critics also charge that the harshness of his words caused of our current culture war. Maybe so. As recently as Aug. 28 of this year, The New York Times ran an editorial stating as much.
Whether or not he caused it, Kennedy certainly was on the right side of the culture war. Like all good progressives, he battled social conservatives who seek to suppress anything they personally find un-Christian, immoral or inconsistent with traditional American values. It is a struggle that still rages today.
The current Virginia gubernatorial race is rife with culture clash. The Washington Post recently reported on Republican candidate Bob McDonnell's college thesis for Regent University (Pat Robertson's school). In said thesis, McDonnell writes that working women are ""detrimental"" to families. He argues that government should prefer married couples to ""cohabitators, homosexuals or fornicators.""  He also calls a 1972 Supreme Court decision legalizing contraception for unmarried couples ""illogical."" He wrote that at age 34. McDonnell is starting to look like George Allen, a Virginia Republican whose 2006 Senate re-election campaign was eventually derailed when he was caught using an ethnic slur.
The Democratic National Committee has released a statement on this issue and its wording sounds familiar. It makes reference to ""Bob McDonnell's preferred Virginia,"" and pundits are already describing Democratic attacks on the thesis as ""Borking"" McDonnell. ""Borking"" is the term Republicans created for when Democrats show their backwards-looking nominees and candidates for what they really are. This entire episode illustrates why despite Democratic struggles, the Republican Party is far away from returning to power. And why? Perhaps because the GOP is a party made up of white men looking out for the interest of white men.
The problem for Republicans is that the number of white men in America continues to decline. Women outnumber them today, and in just a few decades there will be no racial majority in America. The election of a black man who campaigned on the change undercuts the decades-old GOP strategy of appealing to certain white, male fears. There are still plenty of scared white men. They are the armed nuts you see at town halls, and they would love to live in Robert Bork's America. But let us always remember Ted Kennedy. As we look around at our country as it exists now, not in a Republican fantasy of yesteryear, let us realize something. We don't live in Robert Bork's America. We live, mostly, in the America of Ted Kennedy's dreams.
Nick Field is a sophomore in the School of Public Affairs and a liberal  columnist for the Eagle.
",0.0,0.206,0.794,0.077,0.127,0.797,0.057,0.057,0.886
2009-10-12,AU,conservative,"Clarification Appended
It’s always tough to talk about abortion. It’s a divisive issue on which many good people vehemently disagree. This is true at American as it is across America. On our campus, the Students For Life and Students For Choice organizations both thrive. Both are big; both are active. The abortion debate plays out articulately and passionately, to the credit of all involved. 
This newspaper has no plans to take sides in this struggle, especially because there is diversity of opinion among our editorial board. However, we are supportive of advancing honest and open discourse on this issue, which is why we appreciate the panel discussion AU Students For Choice hosted this past week.
Clearly, “Exposing Fake Clinics” was a pro-abortion rights affair. Wednesday’s panel featured representatives from Planned Parenthood, NARAL, the National Abortion Federation and the Feminist Majority Foundation. It’s safe to say none of these organizations advocate overturning Roe v. Wade or supporting Sarah Palin for president in 2012. Still, social conservatives can and should learn from them. The panel exposed disturbing misinformation campaigns on the part of anti-abortion rights activists, which undermine the anti-abortion cause and embolden pro-abortion rights activists. More importantly, they are harmful to American women, pro-life and pro-choice alike.
According to a Sept. 21 press release from Feminist Majority Foundation, many anti-abortion crisis pregnancy centers in this country use “misinformation, fear and shame tactics to coerce and intimidate women out of considering abortion as an option.” Some call condoms a “con job,” completely misrepresenting their effectiveness in preventing pregnancy and disease. Additionally, some CPCs distribute pamphlets that claim abortion leads to an increased risk of breast cancer. The World Health Organization refutes this claim completely.
To be fair, pro-abortion rights organizations can also be guilty of stretching the truth and omitting information harmful to their cause. This should go without saying. But no serious activist on either side of this issue would justify bad behavior by pointing to more bad behavior. In fact, most activists on both sides of this issue would probably agree on a few things.
Given that abortion remains legal in this country, women should be able to access a wide range of accurate information on this sensitive topic. Social conservatives should stop their scare tactics and misinformation. Social liberals should be honest about abortion’s physical and emotional consequences. Abortions are not a walk in the park. They can be gruesome and they raise troubling moral and ethical questions for an increasing number of Americans, including an increasing number of young people.
This issue is divisive and emotional. For many, gray area simply does not exist. But this is all the more reason why our campus and our country deserve an honest, substantive debate. The abortion argument should never be reduced to competing smear campaigns. Precisely because we cannot render this culture war unnecessary, America must fight it fairly. 
Clarification: The term ""pro-abortion"" was inappropriately used several times in this editorial and should have been ""pro-abortion rights."" This version of the editorial has been changed to reflect this.
",0.219,0.067,0.714,0.193,0.159,0.649,0.129,0.094,0.777
2009-11-12,AU,conservative,"PHILADELPHIA — Libertarians are a diverse bunch. Some of them wish they could abolish government entirely. Others just want its power reduced. But what unites them is their shared belief that the state should be substantially smaller and do drastically less. 
Here at AU, the libertarians have a club. AU Students For Liberty is a small operation. I’m told that fewer than 20 students attend regular meetings or events. Still, there are few diehards, most of whom I met this past weekend when I traveled with AUSFL to the 2009 Students For Liberty Mid-Atlantic Conference. The event took place at Drexel University, smack dab in the middle of the Cradle of Liberty itself — Philadelphia. The journey I took there and back again is something I won’t forget soon. It taught me about an alternative governing philosophy, but it also gave me a glimpse at what it’s like to be part of a political counterculture.
Our odyssey began last Friday with a Chinatown bus ride. On the way from D.C. to Philly, I got a primer on libertarian philosophy and policy from a few members of AUSFL. For two hours, I asked hundreds of questions and took furious notes. The young libertarians explained their core principles of nonaggression and self-ownership. They argued that taxation is slavery. They dismissed the entire idea of slicing up the economic pie, saying the solution is simply to make that pie bigger. 
Throughout the conversation, I had several realizations about libertarians. First, many of them don’t love Ron Paul. True libertarians want government out of their lives in every respect, so they don’t understand Paul’s pro-life stance or his opposition to gay marriage. They say the state shouldn’t be involved in any of this.
Second, libertarians disagree amongst themselves — a lot. In fact, it seems to me, based on my little exposure, that there is greater diversity of thought within the libertarian movement than within the conservative or progressive movements. There is a great libertarian debate over just how tiny government should be. A few of them like public education, but most don’t. Many think the government should run the justice system, the military and the police force, but some don’t.
As I learned talking to AU and Drexel students at a mixer late Friday night, there are two main camps within the libertarian movement: the minarchists and the anarcho-capitalists or anarchists. The former advocate extremely limited government. The latter, at least ideally, prefer no government at all.
Learning about anarcho-capitalism shocked me, as I imagine it would shock many people. Certainly, I am familiar with the argument that limited government means more freedom. I get it. It’s compelling. I can conceive of a scenario in which America reverts to the traditions of the Founding generation and structures government simply to provide justice, defense, security and maybe a limited form of welfare. That transformation, which is what minarchists want, would be radical, but it could happen.
What I found unbelievable was that anarcho-capitalists think the Founders’ government was way too big. They have so much faith in capitalism, so much faith in free exchange, that they literally wish for a world where markets make the rules. They philosophically and practically think the state is a problem. Its abolishment, they argue, is the rational endgame of the liberty movement. 
These are radical views. They fly in the face of the Founders’ intent. They’re outside the mainstream of American politics. I think they’re insane and an overwhelming majority of Americans — nearly everyone — would reject them outright. 
The students I talked to know this. They’ve faced reality. None of them wear rose-colored glasses. The minarchists understand government will always be bigger than they’d like and the anarcho-capitalists know they’ll never have the government-free society of their dreams.
At Saturday’s conference, the students and the speakers made mention of these realities. The presenters — college professors, organization leaders and authors — spoke of setting small goals and pushing for incremental change.
I left the conference early, but I stayed long enough to get the gist. I saw Irena Schneider, a sophomore in the School of Public Affairs, give an impassioned speech in her capacity as Mid-Atlantic Director. I saw Eagle columnist Alex Knepper realize he was the moderate in the room. And most importantly, I saw a group of earnest political activists enjoying each other’s company, which is always cool. 
The Students For Liberty may have unconventional views about government, but they’re well within the mainstream as far as how to have a good time. I hardly knew any of them before last weekend, but everyone was accommodating and appreciative of an Eagle writer tagging along.
I had many personal firsts last weekend. I made my first visit to Philly. I ate my first Philly Cheesesteak. And for the first, and likely last time, I saw an apartment full of libertarians sing “Don’t Stop Believing” at the top of their lungs.
“...Some will win, some will lose/Some were born to sing the blues.” 
Sounds like libertarian economics to me.
",0.0,0.222,0.778,0.009,0.154,0.837,0.061,0.185,0.754
2010-03-04,AU,conservative,"Democrats aren’t doing half bad right now. So far 2010 actually isn’t looking nearly as dire as it was just after pseudo-Republican Scott Brown won the Kennedy seat in Massachusetts.
If Democrats keep up the hard work and continue to ignore tea partiers—radical conservatives and ultra-liberals like they have been—they might just survive this year. Nevertheless, here’s a little advice.
Dear Democratic Strategists,
You’re doing alright. Behind all the tea party crazy talk and “Washington is broken” nonsense, the news cycle seems to be trending your way.
Predicting the news cycle is a difficult thing to do. Sometimes it’s rough for Democrats, sometimes it hits the GOP where it really hurts. 
This is supposed to be a rough year for Democrats. President Barack Obama’s policies haven’t sailed through as smoothly as we hoped. Hardly anyone’s happy with Congress, and it consists mostly of Democrats. So it’s all bad news for the Democratic Party, right?
I’m not so sure. Look at the news from Tuesday just this week, for example.
The leading headline in the Wall Street Journal was “Deal Near on Banking Rules,” one of the Democrats’ key policy items. Point for us.
Let’s look at others. “Tea Party Holds Risks for GOP.” Minus one for Republicans.
“Fed Void Clears Path for Obama,” “Manufacturing Shows Strength,” “Bailout Update: AIG’s repayment means U.S. is close to getting back half of its IOUs.” Point, point, point for Democrats.
And then there’s darling Sen. Jim Bunning, R-Ky., holding up unemployment benefits for millions of Americans.
“One Senator Holds Up Bill, in New Level of Gridlock,” proclaims the WSJ. And then Tuesday evening: “Deal Reached to End Senator’s Holdout.” Point.
“Well that’s just one paper!” conservatives might protest (never mind the fact that the Wall Street Journal typically leans right). Sure, but The Washington Post’s headlines tell the same story.
Oh, and see that cover story in the Metro section? It exposes Republican Gov. Bob McDonnell of Virginia as the hypocrite he is, lobbying for education funding from the Recovery Act he’s been lobbying against since last year. Point.
So the media momentum has shifted left a bit. But we can’t just sit back and be passive, can we? “We can’t let Republicans control the agenda and the message!” say paranoid political strategists on the left.
Well, maybe not completely. But lately they’ve done a good job digging themselves into a hole without your help, Democrats.
So, let ‘em talk.
The Tea Party is a joke. Every time Sarah Palin, Rush Limbaugh or Glenn Beck opens their mouth, people ridicule them across the political spectrum. Ron Paul? Not much of a threat when the Republican establishment still loathes him. Let them talk.
The “Party of No” is still just saying “no,” as evidenced by Bunning’s ignorant protest of the unemployment bill. If all the public hears is “no,” let ‘em talk.
Finally, the stimulus bill is working, the economy continues to improve and Obama is working hard to find solutions to our debt problem.
Meanwhile, Republicans continue to pan his economic proposals, as if they weren’t going home to hypocritically take credit for the stimulus. Let ‘em talk; it’s only hurting them. 
So Democrats, for now I think you should just ride the wave. Let the Republicans screw up their own messaging—you just focus on getting things done. The people will notice. You act, let them talk.
Alex Priest is a junior in the School of Communication and Kogod School of Business and a liberal columnist for The Eagle.
",0.05,0.079,0.871,0.11,0.305,0.586,0.102,0.083,0.815
2011-11-08,AU,conservative,"Just as one might wake up with a hangover after New Year’s, the government wakes up with a hangover at the beginning of a new fiscal year, said Heritage Foundation economic expert Alison Fraser.
Comparing the fiscal year to New Year’s Day, Fraser spoke about the current state of the economy at an AU College Republicans event Nov. 1
“Our hangover for the federal government is our debt,” she said. 
Fraser spoke to an audience of around 15 students in the University Club. Her organization, the Heritage Foundation, conducts conservative public policy research.
Fraser also discussed specific economic problems facing the United States and potential solutions to these problems.
“We are seeing a dramatic increase in the size and scope of our debt,” she said.  
America’s debt will only get worse with the direction the United States is headed in now, she said.  
“Our lesson learned, if any, from the EU’s experiences is that we are just a couple of years behind having to deal with the same issues,” she said.  
After explaining the issues, Fraser talked about solutions that the Heritage Foundation has supported in the past.  
“I would do it all on the spending side without raising taxes,” she said. “Rather than taxing the rich, I would rather take away their benefits,” referring to Social Security and Medicare.
Taxes make economic growth more difficult, she said.
“We’ve got to do this in a way that makes everyone’s future brighter,” Fraser said.
Fraser encouraged the students in attendance to talk to their parents and grandparents about these issues over Thanksgiving. 
She challenged students to ask them, “What are you going to do to help me?” 
“A lot of these solutions are going to rely on us having a conversation,” she said. 	
The solutions Fraser proposed seemed to resonate with many of the students at the event.  
“I really think she made a lot of sense,” said Ella Davis, a sophomore in the School of Public Affairs. “She had some really good ideas for the economy in the long term.”  
Charles Merrick, a sophomore in the College of Arts and Sciences, had a different opinion. 
“I generally liked the speech,” Merrick said. “I didn’t necessarily agree with things, but they made their points well.”  
Merrick said he was invited to the event by some of his Republican friends and attended because of his interest in economics.  
“It’s important to be open to other opinions,” he said.  
  rzisser@theeagleonline.com
",0.0,0.064,0.936,0.0,0.0,0.0,0.025,0.091,0.884
