date,school,keyword,article,article_neg,article_pos,article_neu,paragraph_neg,paragraph_pos,paragraph_neu,sentence_neg,sentence_pos,sentence_neu
2010-01-16,Georgetown,China,"January 16, 2010 by Nick Troiano Leave a Comment 
Like me, you might get a good laugh when a friend wakes up after a long night out only to realize that he left a tab open at the bar and ran up a bill he can’t afford. Our leaders in Congress seem to have done much the same thing. But it’s much less funny when you consider that we will be the ones paying for their drunken spending.
In 2008, the federal government’s obligations – that is, the money it has promised citizens who qualify for programs including Medicare, Social Security and veterans’ benefits – ballooned to $56.4 trillion. Each individual’s share of that bill is $184,000. Having maxed out the national credit card, members of Congress are now seeking a higher national debt limit as they go out on yet another binge. Before they do, it’s about time young people said something.
Over the last decade, our government has turned steady surpluses into monstrous deficits, doubling the national debt, which now exceeds $12 trillion. In 2009 alone, our budget deficit hit a record $1.4 trillion. We had to borrow about 40 cents on every dollar we spent. And the $383 billion we paid in interest on the national debt is enough to have covered the entire war in Afghanistan to date. At the same time, our representatives failed to address what the Government Accountability Office predicts to be a $62 trillion long-term fiscal gap created by unfunded liabilities in programs including Medicare, Medicaid and Social Security. The consequences of this recklessness will soon be magnified.
Consider that, within the next 10 years, the amount of money our federal government brings in will barely be enough to pay for mandatory spending on our main entitlement programs and debt interest – and that spending won’t even include the other main functions of government, from defense to education. As the red ink continues to rise, our dollar will decline, and we will be at the mercy of foreign creditors like China, who will determine interest rates and own an even greater stake in our country.
Two things are clear. First, our current fiscal path is dangerous and unsustainable. Second, as the GAO recently wrote, “the longer action to deal with the nation’s long-term fiscal outlook is delayed, the larger the changes will need to be, increasing the likelihood that they will be disruptive and destabilizing.” Now is the time to act.
On Jan. 20, the Senate is expected to vote on a measure to raise the federal debt limit – or the amount of money our government can borrow to pay its bills – by some $1.8 trillion. It will be the fifth such vote in less than two years and an opportune time to hold our leaders accountable. We must demand that they begin taking action to address our fiscal challenges – from re-establishing budget controls to managing entitlement spending. But it seems the regular order of our current legislative process, marked by institutionalized partisanship and myopia, is ill-equipped to handle such a task.
A proposal by Sen. Kent Conrad (D-N.D.) and Sen. Judd Gregg (R-N.H.) – to be offered as an amendment to the debt increase bill – will solve that problem by creating a bipartisan fiscal commission. Comprised of 18 members – legislators equally divided between chambers and parties, the Treasury secretary and a presidential appointee – the commission would study the problems before us and make recommendations that would be fast-tracked for a vote in Congress. The commission model has been effectively employed before, most notably under President Reagan in 1983 when Social Security’s solvency was successfully extended through a series of reforms.
Young people have the most to lose from continued inaction and should urge their senators to support this proposal. No longer can we accept more of the same bipartisanship – or Republicans trading their tax cuts to Democrats for their spending programs – as we dig ourselves deeper into debt. Being good stewards of our nation and the American dream requires making tough choices and working together in a sensible and productive manner.
As Thomas Jefferson often noted, one generation passing trillions of dollars of debt on to another is not just irresponsible – it is also immoral. Our elected officials have no right to squander the security and prosperity of citizens not yet enfranchised or not yet even born. It’s time for the millennial generation to organize and take a stand on this issue – not just for ourselves, but for our own posterity.
Nick Troiano is a junior in the College and the co-chair of MillennialDEBT, an online campaign for an entitlement and budget task force. “
",0.0,0.261,0.739,0.14,0.103,0.758,0.099,0.122,0.778
2010-01-16,Georgetown,China,"January 16, 2010 by Sam Harbourt Leave a Comment 
At rare moments in American history, the stars align in favor of events so dramatic that they would seem absurdly contrived if manufactured by a novelist or a Hollywood screenwriter. Take, for example, the coinciding deaths of Thomas Jefferson and John Adams – former adversaries-turned-confidants – on the nation’s 50th anniversary. Or consider the living allegory that was the Scopes trial, or even red-baiting Richard Nixon’s journey to China in 1972.
Enter Perry v. Schwarzenegger.
This week in San Francisco, oral arguments began in a case that – if ultimately appealed to the U.S. Supreme Court – could make same-sex marriage legal in all 50 states. The case is made even more distinctive by the team that is representing the plaintiff. Ted Olson – arguably the most successful Republican attorney in America and the man whose argument in Bush v. Gore delivered the White House to George W. Bush – has joined with his liberal adversary in that case, David Boies, to challenge California Proposition 8, which outlaws gay marriage.
Despite its transformative potential, the case has elicited criticism from some gay rights organizations and skepticism from a myriad of legal scholars. Many believe Olson and Boies are reaching too far, too fast.
At best, commentators approach the case with ambivalence, almost as if they are already preparing themselves for an inevitable setback. Given the bitter disappointment of the gay rights community in the aftermath of Prop 8’s passage and the ballot defeat of gay marriage in Maine, this impulse is understandable.
Yet I refuse to believe that gay rights supporters do not feel, at some level, excited about the potential of the case. This exhilaration does not have to be rejected as irrational or unrealistic. For several reasons, Perry is just what the marriage equality cause needs.
First of all, the legal prognosis for the case is not as dire as many analysts suggest. If Perry is ultimately taken all the way to the Supreme Court, recent casework has set a clear precedent for the Court to decide Perry in the plaintiffs’ favor. The task at hand is to make the justices feel comfortable about striking down laws in as many as 45 states. Having a staunch conservative leading the case, especially one so admired as Olson, is the best way to do so.
But even if the dire outlook of the case proves accurate, Perry is still laudable. The marriage equality movement is at a crossroads. The state-by-state strategy has largely run its course, achieving full equality in only five states and Washington, D.C.
Each rendition of statewide voting on same-sex marriage reinforces the notion that it is acceptable to subject gay rights to majority rule. Continuing to rely on this limited strategy poses greater risk than the road taken by Perry. Issues of equality before the law belong in the courts, not at the voting booth.
The case’s greatest political potential may lie in the imagery provided by Olson’s involvement. Every conservative who reads or hears about the case will take notice that the attorney who made Bush’s presidency a reality is carrying the banner of gay marriage.
One of the most pernicious characteristics of American society is that many people live completely isolated from those who disagree with them politically. Sometimes all it takes to disrupt herd mentality is one person of a similar political disposition voicing disagreement. Not all – or even many – conservatives are likely to be immediately swayed by Olson’s role. But all conservatives will have some thinking to do.
Furthermore, the case provides a platform for Olson to begin to break down rigid ideological identities and provide a new vocabulary for the discussion of gay marriage. Many Americans conform to pre-set categories, like “social conservative,” and are not even cognizant of the language to identify themselves as conservatives who support gay marriage. Just last week, however, Olson penned an essay for Newsweek entitled, “The Conservative Case for Gay Marriage.”
On the other side, members of the gay rights movement must not consider themselves immune to the herd mentality of their conservative opponents. Perry should be a wake-up call that there is potential to find supporters in unlikely places. Doing so will require the recognition that walking lock step with the Democratic Party is not the most viable strategy to advance marriage equality. Vigorously supporting the rare Republican candidate who supports gay marriage should be a priority of gay rights organizations.
The legal journey of Perry v. Schwarzenegger may last for much of this new decade. In the meantime, however, it can provide just the shot in the arm the marriage equality movement needs to regroup, redouble its efforts and fundamentally reshape American political discourse.
Sam Harbourt is a senior in the School of Foreign Service. He can be reached at harbourtthehoya.com. THE PRAGMATIC PROGRESSIVE appears every other Friday.”
",0.094,0.117,0.789,0.064,0.122,0.814,0.049,0.094,0.857
2010-02-05,Georgetown,China,"February 5, 2010 by Amr Leheta Leave a Comment 
On Tuesday Robert Kimmitt, former deputy secretary of the Department of the Treasury under President Bush, discussed the general employment trends as well as the global economic environment in a lecture in the Rafik B. Hariri building.
At the lecture, “Operating at the Intersection of Business, Finance and Government,” which was organized by the Distinguished Leaders Series, Kimmitt commented on the numerous jobs he has held in his life and how this has become a trend among working-age people in the United States.
“Your generation doesn’t have a concept of a single employer,” he said. “The average American worker . will have 10 different employers in the first 20 years in the workforce.”
He identified this as an accelerating change in employment habits in the United States that is based on flexibility, mobility and education.
“[The McDonough School of Business’] focus on leadership and [willingness] to operate at that intersection between business, finance and government sets you apart,” Kimmitt said.
He proceeded to discuss the growing involvement of government in business decisions, focusing on the role of the G20 in world politics, particularly since the Asian Financial Crisis in 1997.
Kimmitt referred to the World Economic Forum recently held in Davos, Switzerland, and the G20 meeting held in Washington, D.C., in November 2008 during his discussion of the international economic situation.
“The global imbalances are principally three: the twin deficits in the United States, both fiscal and trade, the misaligned currency in China and low-demand growth in Europe and Japan,” he said.
He added that deficit reduction in the United States is imperative for improving global conditions, as the country accounts for 25 percent of the world economy. He cited this as the most significant challenge facing economic improvement and job reaction.
“Deficit reduction [is very important] to relieve pressure on economic growth,” Kimmit said.
He concluded the lecture by offering advice to graduating students about to enter the workforce, and later answered a number of questions regarding U.S. business relations with China and the European Union, among others.”
Hoya Staff Writer
",0.0,0.115,0.885,0.0,0.0,1.0,0.028,0.095,0.877
2010-02-09,Georgetown,China,"February 9, 2010 by Kendra Jones Leave a Comment 
*As world leaders assembled in Copenhagen, Denmark, in December for the UN Climate Summit, three Georgetown students were also in attendance. One of them was Jessica Robbins (SFS ’12), a Science, Technology and International Affairs major with a concentration in energy and environmental studies. In addition to her course load, Jessie is an intern for Earth Policy Institute, a member of Delta Phi Epsilon and involved in the International Relations Club and its upcoming North American Invitational Model UN Conference, for which she is the director of registration. *
 
**What motivated you to go to the Copenhagen climate conference?**
 
I expected it to be a true turning point in international climate change, and I wanted to be there to study it and examine it and be there as closely as I could. I was ready to participate as a civil society [member], which is just voluntary participation by average citizens. Just to be a part of this was important to me.
 
**Did you travel alone to the conference or was it a group effort? How long did you stay?**
 
I left Dec. 10, 2009 and flew to Copenhagen with three other undergraduates: Julia Shindel [COL ’10], Olivia Chitayat [COL ’10] and Kathryn Padgett [SFS ’11] . We have a project that came out of this conference, and the project is not going to look at what happened at the conference, specifically with the policy, but will look at it holistically. The final product will be a documentary. We have already completed one panel, which was composed of people from Georgetown that went to the conference. Another panel is planned for the spring, most likely in March after the documentary comes out. We are also working on a blog, bluegrayandgreen.blogspot.com. This published everything that we did there from day-to-day events to things that we saw as well as bigger issues. Some of the things we saw were marches and activists, and a lot of pre-emptive arrests were made while we were there. Copenhagen is known to not be too friendly to civil society due to riots in previous years, so it was really intense and at times violent. Kathryn was able to see Al Gore speak, which was a highlight of the trip.
 
**What is significant about the Copenhagen conference?**
 
It’s not significant for its outcome, which was a nonbinding treaty that the [UN Framework Convention on Climate Change] said that [it] would take note of, but wasn’t adopted wholeheartedly as hoped. The accord was not that strong. But it is significant because of the attention that it got. Heads of state got together, which is major. It shows that climate change is important to everyone. President Obama demanded to meet with [the] Chinese delegation when he heard that things were not going as planned, and he took action. This conference gave climate change the attention it truly deserves.
 
**Describe your experience at the conference.**
 
It was an overwhelming, exciting, exhilarating, intense experience. It was easy to feel insignificant there because there were so many people, as well as the scope of the conference. The negotiations were closed to the public, so it was hard to tell what was going on even if you were there. The people who were involved in those negotiations had to feel comfortable talking freely, so that’s why it had to be private.
 
**What was your favorite part of the conference?**
 
It was really incredible. The people that I met, such as students from around the world, Africans who saw this final decision at the conference as life or death, really made the experience memorable. I remember in particular an old Indian guy who wrote poems about climate change. Just those kinds of experiences changed my viewpoint. Coming in as a Georgetown student, I had a narrow perspective, and I didn’t realize how easy I have it. I can return to my home easily, but some people who were there have to go back to their places and worry if it will still be there in the coming century because it might be underwater by then. I came into it as a student, but meeting people who took the conference as something emotional for them, as something that could truly affect their own life, opened my eyes. It was inspiring. Beyond the negotiations, it was nice to be able to just talk to people. It was incredible-the amount of dialogue that occurred- just talking and learning about each other.
 
**What did you do at the conference?**
 
It’s a pretty formal meeting. We watched a working group go over a document and they looked at the text very carefully to make sure that everything was how it should be, focusing on even the minute details such as using words like “shall” or “should” and which is the best to use. Many of the big decisions were made by the bigger nations. Some of the bigger issues were finance, transparency and targets. With finance, the concern was, “Who will pay and how much?” The [European Union] pledged money, and the [United States] hadn’t made a big pledge because they didn’t want to give money to China, since they thought China truly didn’t need it. In the end, everyone wanted to put forth as little as possible and still get the best deals. Finally, the [United States] decided to pledge a lot; [Secretary of State] Hillary Clinton came forward and said she would propose a fund, and although it wasn’t [clear] how much would be contributed, it was still a huge step.
Transparency was with regard to how much control and knowledge people would have about the use of the money being put forth. China didn’t want to let inspectors in or have people poking around their factories, and China is known to give accurate reports. With targets, people wanted to know who would commit and to what. Late Friday night, people began to run out of time for bargaining. The first week and a half I didn’t know what they were doing. We were able to get together, but the big open meetings were empty in substance because it was kind of a repeat of things that were already known.
 
**If you could change one thing about the conference, what would it be?**
 
I wouldn’t change too many things. In a perfect world, it would have been more open to interests of countries it represented, such as those most affected but who had the least political platform. If these were involved, their input would have been great. Usually the bigger countries with more influence such as the [United States] and China were most involved in the negotiations, while all of Africa was shut out. The most tragic result of the conference was that these countries had no say. I think that people [were] too caught up in the little details. As a whole, people were too ambitious, and this led to a weak agreement. We need feasible actions to reverse deforestation and establish better technology benchmarks to increase energy, and these would be beneficial to both the environment and the economy. I think they got hung up on the hard things so they couldn’t formalize an agreement.
 
**Do you think the conference was a success or failure?**
 
Both. It was a failure because it didn’t produce a strong agreement as hoped. However, the dialogue and attention from heads of states all around the world made it a success. The fact that it failed spurs people on to try harder. I think if we did get an agreement, it might have gotten people to feel complacent, as if they were off the hook. More things need to be fixed on a smaller scale, and I think people are starting to realize that. The situation isn’t hopeless, but we’re running out of time.
",0.0,0.065,0.935,0.023,0.13,0.847,0.054,0.126,0.821
2010-04-20,Georgetown,China,"April 20, 2010 by Matt Joseloff Leave a Comment 
Examining communism’s grasp on post-war Poland, last night former House Speaker Newt Gingrich (R-Ga.) screened his new film that recounts Pope John Paul II’s pilgrimage to the country and the visit’s role in restoring Polish national identity.
Addressing a packed auditorium in the Intercultural Center, Gingrich said the film, “Nine Days That Changed the World,” offered a powerful demonstration of religious faith’s power over tyranny. The Catholic Students Association sponsored the event along with the College Republicans.
“I think the concept of freedom through faith is central to the original reason that Georgetown was founded. It’s essential to the establishment of the United States. I think it is central to the struggle going on today in Cuba and China and Iran and Russia, and so many places around the world,” Gingrich said.
The documentary interviews Polish academic, political and religious leaders who discuss their memories of the visit. The sources’ emotions often bleed into the interviews, offering additional evidence of the visit’s mark on Polish hearts and minds,
While the event was co-hosted by College Republicans and featured a former Republican congressman, Melinda Reyes (SFS ’12), co-president of the Catholic Students Association, stressed that the event was nonpartisan.
“Anyone at the event would note that there was no mention of anything related to [Gingrich’s] career as speaker or his political affiliations. It was focused entirely on the role of John Paul II,” Reyes said.
Reyes added that the College Democrats were initially sponsors of the event, but they removed their sponsorship before the screening.
History professor Andrzej Kaminski said that John Paul II mixed intelligence and stubbornness with an ability to listen to his adversaries. This ability made the pope a particularly powerful force against the communist rule, he said.
“It really said a lot about the faith of the Polish people and how it united them,” Stephen McDonald (SFS ’13) said. “It showed the events from people who were actually there. [The emotion] added to it, because it’s difficult to look at those sorts of things without the emotional aspect to it.”
Reyes said at the screening that the film’s message tied closely to Georgetown’s Catholic identity.
“It is a good reminder of what role our faith as a Catholic university, and on an individual level, can have in international affairs,” she said. “There’s something inherent in faith that leads you to yearn for freedom and vice versa, and I think John Paul II really embodied that.”
*Click here for the preview to the Gingrichs’ Monday appearance on campus, featuring an audio recording of Eamon O’Connor’s interview with the couple.*
",0.0,0.091,0.909,0.0,0.282,0.718,0.034,0.112,0.854
2010-10-01,Georgetown,China,"October 1, 2010 by Richard Rinaldi and Elizabeth Rowe Leave a Comment 
World Bank Group President Robert Zoellick unveiled a new research plan and slogan for the World Bank in Gaston Hall on Wednesday morning before an audience of students and faculty.
School of Foreign Service Dean Carol Lancaster introduced Zoellick to a less-than-full Gaston, though more students trickled in throughout the lecture.
In her introduction, Lancaster noted the importance of Zoellick’s role in world affairs, especially in the buildup to the World Bank meetings set to take place in Washington, D.C., Oct. 8 to 10.
The World Bank, according to its mission statement, seeks to reduce poverty worldwide by furthering what their website characterizes as sustainable and inclusive globalization.
Zoellick invoked George Bernard Shaw, playwright and co-founder of the London School of Economics, at the outset of his speech. “If all economists were laid end to end, they would not reach a conclusion,” he quipped.
“Economics has contributed significantly to how we understand our world,” Zoellick said. “But economics doesn’t always get it right.”
Zoellick emphasized the need for a global economic dialogue.
“One of the things we’re trying to do more broadly at the [World] Bank is capture [much] of the knowledge and experiences we have from people in the developed world but broaden the set of people asking these questions and how we think about them,” Zoellick said.
He added that he believed the need for an economic agenda that includes the input of people from across the globe was accentuated by the pressures of today’s economic crises.
“Indeed, [economics] can get things spectacularly wrong,” he said, pointing to the 2007 subprime mortgage crisis as an example of just how flawed economics with a limited scope can be.
Zoellick framed his argument and the basis of the World Bank’s new strategy in the history of development economics and its recent failures, which he attributed to too narrow a focus in the field.
For example, he said, in the 1950s,
economists believed that all emerging markets needed was an injection of capital and even today, China and India have serious concerns regarding agriculture and infrastructure even though they are becoming market leaders. He also cited the likely failure to meet many of the Millennium Development Goals, quantitative measures adopted by world leaders in 2000 to eradicate world poverty by 2015.
These shortcomings, Zoellick said, require a radical re-examination of some of the most basic principles of development economics, including a better understanding of “economic transformation,” a push for inclusive development, and a comprehensive plan to deal with economic risks.
The speech also revealed a new slogan for the World Bank’s research: “Open Data, Open Knowledge, Open Solutions.”
The bespectacled Zoellick became markedly more animated after he had finished his prepared remarks, and he responded first to a question from Lancaster about the “revolutionary” nature of his speech, which advocated a fundamentally different and ostensibly controversial open-source approach to developmental economics.”
",0.0,0.0,1.0,0.067,0.0,0.933,0.074,0.023,0.903
2010-10-08,Georgetown,China,"October 8, 2010 by Amr Leheta Leave a Comment 
In a brief yet personal account of her experience immersed in Pakistani flood recovery over the summer, Morial Shah (SFS ’13) shed light on the victims’ suffering to an audience in McShain Lounge Thursday evening.
“In the last week, 250 villages – 1,400 homes – were evacuated,” she said.
Shah spoke at a panel discussion sponsored by the International Relations Club that aimed to address where Pakistan stands since floods first began to ravage the Indus Valley in July. Today, flooded areas remain in the region, a sign of political and economic tension in the South Asian nation, according to Ambassador Howard Schaffer, former diplomat, former deputy assistant secretary of state for South Asia and a senior counselor in the School of Foreign Service.
“The devastation could not have happened in a worse time or in a worse place,” he said.
Schaffer highlighted the perceptions of the civilian government and the military in response to the disaster. According to him, the incompetence of the civilian government in responding to the floods has weakened support for the Asif Ali Zardari administration, and the military response has generally been more effective.
Schaffer concluded that the military wants no authority as the insurgency in the country increases in tempo. Forces would prefer to let civilians take the blame for any failures, he added.
oderated by Paula Newberg, director of Georgetown’s Institute for the Study of Diplomacy, the panel also featured Allan Jury, director of the U.N. World Food Program’s U.S. relations office, who provided information on the ongoing humanitarian relief efforts. He emphasized that the level of response varies in different areas of the country, especially as the WFP seeks to overcome three challenges: logistics, funding and security.
“It’s a massive logistical problem,” he said. The WFP has banded with other U.N. organizations, non-governmental organizations and the Pakistani government in successfully distributing food to 6 million people. It is expected that 7 million will be reached by the end of October.
aggie Ronkin, School of Foreign Service professor and a scholar from the American Institute of Pakistan Studies, spoke on the humanitarian situation in Pakistan as a result of the flooding.
“Flood waters destroyed the health care infrastructure,” she said. Ronkin also stressed the loss of vast agricultural lands and products, the increase of petty crimes, as well as problems of sanitation, disease and a lack of access to clean water – problems that existed in some areas well before the disaster.
“Food is needed for 8.2 million,” she said. “Water is needed for 7 million.”
Ed Dunn, foreign service officer on the State Department’s Pakistan Desk, rounded off the discussion with a talk on how the United States has contributed to the relief efforts in the wide-reaching disaster. The Pakistani floods have affected more people than the 2004 tsunami, the 2005 earthquake in Kashmir and the 2010 Haiti earthquake combined, according to Dunn.
Twenty-eight U.S. military helicopters as well as a number of civilian helicopters are currently carrying out the relief efforts. The U.S. government has also been working with private enterprises as well as on-the-ground contributors from Japan, China and the United Arab Emirates. Nevertheless, Dunn stressed the need for boosted coordination.
“It is still ongoing,” he said. “We’re still doing emergency relief.”
Engaging with audience members, the panelists emphasized the need for donations and better coverage to narrow the trust deficit that Pakistanis have for Americans.
IRC Chair Eitan Paul (SFS ’12) expressed his satisfaction with the event.
“I think it’s very important to start this conversation at Georgetown,” he said, “about arguably the most serious humanitarian crisis in the world today. It was nice to have a variety of perspectives.”
Information for donations as well as a donation box was made available to guests.
The event was run by the International Relations Club and held with the support of the South Asian Society, UNICEF Georgetown and the GU Task Force for Pakistan.
Hoya Staff Writer
",0.151,0.042,0.807,0.12,0.091,0.789,0.103,0.098,0.799
2010-10-19,Georgetown,China,"October 19, 2010 by Neil Quinn Leave a Comment 
In a dramatic decrease from last year, only two students in the School of Foreign Service scored high enough on the Oct. 7 exam to place out of the SFS’s required Map of the Modern World course.
Last October, 65 SFS students tested out of Map of the Modern World, which was a significant increase from that of previous years. The high passing rate added fuel to student criticism of the changes James Reardon-Anderson, senior associate dean of the SFS and a Sun Yat-Sen Professor of Chinese Studies, made to the course when he took over the helm from Keith Hrebenak, a professorial lecturer in the SFS, beginning last fall.
Drew Peterson (SFS ’10), who chaired the working group established by the SFS Academic Council to examine the new course, said the exam result may not in and of itself be a means to judge the nature of the exam.
“It is impossible to evaluate this year’s exemption exam on the pass rate alone,” he wrote in an email, “though it does seem more fitting that [two students], rather than 65, be exempted from the School’s mandatory geography requirement.”
Student concerns about the class’s focus linger in response to Reardon-Anderson’s revisions, which placed greater emphasis on physical geography and earth science.
“The new passing rate means nothing. … The same concerns about the class still exist from last year,” said Josh Mogil (SFS ’11), president of the SFS Academic Council. “It is my perception that everyone in the dean’s office is hoping that this [student response] just goes away.”
Reardon-Anderson, however, maintains that last year’s changes were sensible shifts in the syllabus in the first place.
“I believe that physical geography is an approach to international affairs that has largely been neglected, to the detriment of students who are going out into the world,” he said.
The previous version of the course, he said, had other flaws as well.
“[The previous version] was really designed as a course in the map of the colonial and post-colonial world,” he said. “It paid virtually no attention whatsoever to North America, Europe, Russia, China and Japan. I thought that was not in the students’ best interest.”
He added that about three-quarters of student comments from the past year’s course evaluations were positive, and that he had added more specific case studies in response to the criticism.
Students’ interest in the changes to Map has faded somewhat since last year, when Reardon-Anderson’s move drew complaints that he was damaging a curricular institution and ignoring student concerns; more than 700 students joined a Facebook group named “Take Back Map of the Modern World.”
In a viewpoint in THE HOYA, Tom Zuzelo (SFS ’11) explained one of the strands of criticism.
“Judging from Reardon-Anderson’s lecture notes and his own comments,” he wrote at the time, “this survey course has been watered down and transformed into a `Rocks for Jocks’ crash course on earth sciences.”
But concerns persist among Mogil and other students in the SFS.
“It’s not about the old class versus the new class anymore,” Mogil said. “It’s about what the best Map class would be. . I look forward to addressing this issue with the deans in a cooperative and constructive way.”
The working group of students and alumni organized last year is continuing to study the changes. According to Peterson, the group is waiting for the SFS administration to distribute a survey it has prepared to the students who took the new Map course last year. If the Office of the Dean does so within the next month, the team should be able to release its final report before the next group of students begins to take the 1-year-old class next semester.
The reaction of new freshmen to the emphases they saw on the exemption exam were mostly favorable.
“I think the vast majority of what was on the test made sense,” Evan Smith (SFS ’14) said. “I think, though, that there was undue emphasis on some topics, like trade winds. . If you didn’t know the Tropic of Capricorn from the Tropic of Cancer, you were guaranteed to miss five questions.”
He added that he had heard about last year’s high pass rate but was not aware of the disputes over the curriculum.
Mary Oeftering (SFS ’14) said that she was satisfied with the test, although she added jokingly that since she planned to major in science, technology and international affairs, she might not be representative of most SFS students.
“I’m not completely aware of what was on [the exam] before, but it seemed to me that everything on there was basic, fundamental ideas that everyone going into foreign service should know,” she said.
Special to the Hoya
",0.0,0.088,0.912,0.024,0.04,0.936,0.036,0.048,0.916
2010-12-03,Georgetown,China,"December 3, 2010 by Masha Goncharova Leave a Comment 
Amid tenuous U.S.-China ties, U.S. Secretary of Commerce Gary Locke opened a policy conference on the two countries’ commercial relationship on Thursday morning in the Lohrfink Auditorium with a keynote address stressing the need for cooperation.
“We’re here to discuss how we can nurture and improve the most heavily scrutinized bilateral commercial relationship on Earth – one in which our disagreements get all the headlines,” Locke said. “The United States is the most open major economy in the world, and we are committed to forging a future in which China can take full advantage of the opportunities that come with economic liberalization.”
The discussions at this conference will serve as a preamble to the next U.S.-China joint commission on commerce and trade, which will be held later in December. Panelists at the day-long conference came seeking a deeper understanding of the underlying issues between trade agreements.
Introduced by Dr. Resat Kasaba from the Jackson School of International Studies at the University of Washington and by McDonough School of Business Dean George Daly, Locke kicked off a day-long discussion on the economic trends and trading patterns of the United States and China, two key players in the 21st century’s global political and economic arena.
Jessica Holland (SFS ’11), a regional and comparative studies major who has been actively studying Chinese relations, said Locke gave a thoughtful presentation.
“I noticed his careful use of language,” Holland said. “He was praising China’s economic growth, but he also underlined the United States’ desire for more Chinese consumption, but he said this all in a careful way and welcomed discussion from the panelists.”
The panels were divided into four topics: China’s changing economic landscape; science and technology innovation trends in China; energy and environmental cooperation; and the impact of developments in China’s commercial legal system. Each panel had three discussants and one moderator.
Professor Robert Sutter, a Georgetown visiting professor of Asian studies in the School of Foreign Service, served as a moderator for the science and technology panel.
“This conference is a very good exercise for better insights,” Sutter said. “We need a better understanding of the economic relationships because they are subject to a lot of one-way thinking. The variety of perspectives we hear from [the panelists] is very important.”
Locke urged the panelists and moderators, who ranged from professors to representatives from the U.S. Department of Commerce, to address issues such as U.S. exports in China and mutually beneficial trade on a providence-to-providence level.
“I thought that the regional focus about Cambodia and Southeast Asia was interesting, like how they adjust to this new economic norm and model. It was helpful for me that the panelists focused in on specific areas,” Gabriel Ruth (GRD) said. Ruth works for Tailored Solutions & Consulting, and she plans to go to China next summer for a global residency program.
While panelists did acknowledge the growth of trade between the two countries in the last decade, there was much discussion about the cultural challenges and the potential ability of Chinese companies to become lucrative trading partners for the United States.
Panelist for “China’s Changing Economic Landscape,” Courtney Gregoire, director of the National Export Initiative at the Commerce Department, recalled her interactions in a trip to China for the U.S.-China legal exchange.
“There was a lot of robust dialogue between us and the Chinese officials about how to administer the National Export Initiative and the free trade agreements,” Gregoire said. “While a lot of U.S. companies see the nine to 10 growth rate and are excited to trade in China, only 1 percent of small medium-sized companies are exporting, and 58 percent of those are exporting to Canada and Mexico.”
Panelist Shang-Jin Wei, professor of finance and economics at Columbia University’s Graduate School of Business, echoed Gregoire’s concerns, but from the Chinese perspective.
“China is one of the few places that will allow U.S. exports to double once every five years. The key to increase U.S. net exports is not micro, or firm-level competitiveness, but a macro, country-level savings-investment balance,” Wei said.
Overall, the conference seemed to explore the struggle with China’s changing political, social and technological trends, and how they might align with those of the United States in the future. The relationship between these two major global influences has already improved in the past decade, and Locke assured speakers and attendees of the conference that more collaboration will fuel global economic prosperity.
“As recently as 40 years ago, a commercial relationship between the United States and China barely existed,” Locke said.
“Successful engagement between the Commerce Department’s scientific agencies and Chinese research institutes, government labs and government agencies are essential parts of us creating a more integrated economic relationship.”
",0.0,0.052,0.948,0.0,0.168,0.832,0.009,0.151,0.84
2011-01-21,Georgetown,China,"January 21, 2011 by Masha Goncharova Leave a Comment 
As Chinese President Hu Jintao visited the White House Wednesday, first lady Michelle Obama stepped on stage at Howard University to encourage students to study abroad in the dignitary’s home country.
“Studying in countries like China isn’t only about your prospects in the global marketplace,” Obama said. “It’s not just about whether you can compete with your peers in other countries to make America stronger. It’s also about whether you can come together and work with them to make our world stronger.”
Obama discussed major commitments to Chinese cultural exchange as part of the 100,000 Strong Initiative announced by her husband in 2009. In her opening remarks she stated that private sector pledges would provide more than $2.25 million to support an increase in the numbers of American students who study in China by 2014.
China, which is one of the top five host countries to American students, has offered more than 10,000 scholarships funded by the Chinese government called bridge scholarships that cover all in-country costs. The 100,000 Strong Initiative aims to bolster this effort, and also expand it to included even younger students.
“[Studying abroad is] how, student by student, we develop that habit of cooperation,” Obama said.
Some students said that they were inspired by Obama’s remarks.
“As an exchange student from China to America, I have seen that cultural exchange is the only way to get closer for sure, because you learn so much more than just in books of the subtle cultural differences,” Yifei Zhao, a student from Shanghai currently studying at the Sidwell Friends High School, said. “That is part of the educational exchange: if I could express the relationship between the ways we attend class, go out, or just live, then I wouldn’t be here right now.”
Other students, however, prioritize finishing college as soon as possible above living in foreign countries.
“Maybe after I get a job I’d go abroad for a year,” Howard University student Daniel Jacques said.
Empathizing with students who feel that studying abroad is not an option for them, Obama recalled her college experience, which she felt focused on earning a degree quickly above study abroad experiences.
“Maybe [students] may feel like study abroad is something that only rich kids do, or maybe kids who go to certain colleges; they’re the only ones who do that,” Obama said.
The panel following Obama’s speech, which consisted of four high school and college students who had lived in China, sought to curb these fears and discussed the possibility of studying abroad without high costs. Panelist Lyric Carter, a junior at the Phelps Architecture, Construction and Engineering High School, went on a six-week program in Beijing partially funded by the State Department’s National Security Language Initiative for Youth.
“It encouraged me to go out and try anything now,” she said of the program.
",0.0,0.176,0.824,0.0,0.075,0.925,0.008,0.103,0.889
