date,school,keyword,article,article_neg,article_pos,article_neu,paragraph_neg,paragraph_pos,paragraph_neu,sentence_neg,sentence_pos,sentence_neu
2009-01-04,USF,China,"As coach Jim Leavitt stood on the pier in St. Petersburg he was all smiles. He was shaking hands, talking to people and getting ready to coach his fourth bowl game in as many years. There was something different about him.


This wasn’t the same guy who ran up and down the sidelines screaming at anybody within earshot during football games. Nor was it the guy who admitted to being the worst interviewee in the Big East Conference earlier this season.


After a season of trying to dodge the media with one-word responses and podium-slapping endings to post-game press conferences, Leavitt looked happy.


In fact, as a St. Petersburg native, Leavitt was happy.


“I don’t want to sound biased, but I really like this situation,” he said.


Why wouldn’t he? His team was about to play what was realistically a home game against a 6-6 Memphis team from a weaker conference (Conference USA).


And, as fate would have it, the Bulls ran away with the St. Petersburg Bowl trophy, finishing the season 8-5 — one game worse than the 9-4 they finished in the previous two seasons.


Leavitt said he liked the St. Petersburg Bowl because everybody wants to play in Florida, and it helps with recruiting.


Well, if Leavitt wants USF to be mentioned in the same breath as Florida, Florida State and Miami — all schools that have won National Championships in the past 10 years — then the Bulls’ first trip to the St. Petersburg Bowl needs to be their last.


The game itself was a snoozer, with USF jumping out to an early lead, then trying to score enough points to make everybody forget that it allowed a Sun Bowl-record 56 points to Oregon last year.


The Bulls — victims of another midseason collapse — had every chance to play in the Orange Bowl. However, they lost three of five conference games by a total of 62 points, including a 33-point loss at home to Rutgers.


Other than the Rutgers game, and a 24-10 loss to Cincinnati on Oct. 30, the Bulls had legitimate opportunities to win three more games. That would not only have given USF its first 10-win season, it would have given the team the opportunity to play in a storied bowl game — not a scrimmage against a weak team 20 minutes from campus.


Leavitt was excited after the game, playfully boasting about USF winning “the inaugural game of two different bowls.”


That’s great, coach, but even though the Bulls won a bowl, nobody seems impressed by a team that finished with a 2-5 record in what was perceived to be a weak conference by “experts” on ESPN before the season started.


Restoring interest in the team and ensuring that the Bulls steer clear of another postseason performance at Tropicana Field starts with recruiting.


Leavitt should be awfully busy this year replacing the talent he will lose. USF is losing two starting linebackers, three safeties, a cornerback and a defensive end — not to mention the potential departure of two-time All-American defensive lineman George Selvie to the NFL draft.


On offense, the Bulls will lose nearly as much. USF was a team built to win now, but it didn’t get the job done. As players got injured throughout the season, it became obvious that depth was a real problem and contributed to the team losing five of its last seven games.


Getting talented players — a lot of talented players — to fill the roster is a must for the Bulls. If Leavitt can’t acquire more than a few talented starters next year, USF will be lucky to make the St. Petersburg Bowl.


With all the new faces, he needs to preach discipline to a program that sorely needs it. The Bulls have finished in the bottom 10 out of 119 teams in Division I football in penalties every year since joining in 1999.


The Bulls also sat three starters — junior corner Jerome Murphy, and seniors Cedric Hill (tight end) and Carlton Williams (safety) for violating team rules before the St. Petersburg Bowl.


If Leavitt’s players aren’t under control on and off the field, it will be hard to keep the Bulls competitive in the Big East.


It could also mean a return to the Rays’ home stadium.
",0.019,0.11,0.871,0.017,0.123,0.86,0.078,0.17,0.752
2009-01-05,USF,China,"YouTube is no longer just for water-skiing squirrels and pre-teen girls facing off about which of the three Jonas Brothers is the hottest. In light of record-low unemployment rates, the user-created video Web site is putting Americans back to work — in front of their webcams.


In October of 2006, youtube.com, then in only its second year, was bought by search engine giant Google for  $1.65 million. Before the buy, Google Video was YouTube’s biggest competition, allowing all its users to upload lengthy videos, whereas on YouTube uploads were limited to a length of 10 minutes unless granted a director account. This brought advertisers and viewers looking for full-length pictures like the conspiracy theory film phenomenon Zeitgeist: The Movie over to Google’s side of the fence.


Google Video used its fan base and advertising power to create an Internet super-hub for self-expression via YouTube. In early 2008, to promote this self-expression — and, of course, to generate revenue — Google created the YouTube Partner Program, a sector of Google Ads used to pay YouTube stars for their work.


According to the partnership’s homepage, “YouTube partners are independent video creators and media companies who are looking for online distribution and who meet (the partnership’s) qualifications. Becoming a partner gives you the ability to share in ad revenue from your YouTube videos.”


This may come as music to the ears of relentless vloggers and undeclared college students searching for their lot in life, but becoming a YouTube partner isn’t as simple as becoming a partner at your local food co-op. To become a partner, users must meet three qualifications: They must create original  videos suitable for representation by YouTube, own the copyrights for all video and audio used and upload videos regularly that are viewed by thousands of YouTube users.


Such exclusivity is unusual for Google Ads, as on blogspot.com anyone who wishes to add the application can. This is because Google Ads on BlogSpot are all from Google’s small business AdSense program, which doesn’t bring in nearly as much money per advertiser as YouTube, according to an AdSense support representative. Support of Google Ads on blogs typically brings in 3 to 5 cents per hit for bloggers.


The YouTube Partner Program, on the other hand, deals with the big corporate bucks. Sponsors include the likes of Sony, Verizon, LG, CBS and McDonald’s, to name a few, and their advertising dollars will be spent only in a medium in which they can reach hundreds of thousands of people. Michael Buckley of buckhollywood.com was one of the first handful of video creators to make it as a YouTube partner. His online show What the Buck?, a commentary on all things celebrity, comes out three times a week and averages more than 200,000 views an episode. Buckley told the New York Times that his show earned him over $100,000 in 2008,  the year in which his videos were most viewed.


Buckley may be a case of one-in-a-million YouTube stardom, but one doesn’t have to be a household name to gain sponsorship. Newer YouTube channels with only a few videos at 25,000 views a piece have gained sponsorship, and YouTube moderators help give potential partners a jump start by featuring some of their favorite videos of the day on the homepage.


Heather Jayne, a senior majoring in social work, is grateful for the partnership program because even if not everyone can make it big on YouTube, everyone can benefit from it.


“Everything is online now, so everyone gains from this. The people who make the videos make money, the people who make the ads make money and the people watching these videos get free entertainment,” she said.


Commenting on the press coverage of the YouTube Partner Program on his live BlogTV webcast last month, Buckley shared this sentiment with his viewers and all of YouTube:
“It’s nice to see people off of YouTube getting successful and creating positive press attention. It’s (no longer) like a viral and freakish ‘Oh! Do you believe these kids did that on YouTube!’ kind of thing anymore. It really is a great day for YouTube.”
",0.0,0.101,0.899,0.007,0.143,0.849,0.017,0.135,0.848
2009-01-06,USF,China,"America has been a great nation since its start and it developed relatively quickly. Other nations have been around for centuries yet had little influence on globalization and the world, leading one to ask how America achieved its success. The answer to that question is America became a world leader so rapidly because of the moral fabric it was based upon.


America was built with the middle class as its backbone. As a society, citizens have worked together toward insurmountable-seeming achievements. They have done so through respect, doing what is right and working for the greater good.


Many other countries have not achieved what America has because they have too much classism and greed. When the majority of society is working efficiently and cooperatively, the greatest results are seen. This can be seen in cultures such as that of ancient Rome.


America’s moral fabric could also be said to be the foundation of the country because it was the shared morality of its founders that inspired them to declare independence.


It seems, however, that this moral foundation has been crumbling over the past few decades. The respect that was once given is not there anymore. Many people feel they must get respect to give respect, but this thought is, essentially, the basis of the problem and needs to be changed.


In this time of economic crises it seems particularly important to reiterate that respect must be given before it is expected in return. This is a time unlike any most have seen before. This generation can’t relate to the Great Depression or World Wars and doesn’t seem to understand what hard times really are.


Society overcame those crises because people banded together and helped each other. The standards of decency were higher because of a stronger sense of ethical responsibility.


As a society, people have forgotten what the true source of our problems is. It is easy to look at individual situations and feel helpless, but we are only truly helpless if we give up.


Members of the younger generation don’t give their elders the respect they deserve. They neglect to remember that they owe many of the opportunities they have today to the efforts of their parents, grandparents and ancestors before them.


These days, everyone is feeling the recession and lack of health care and other public services — and it shows. People are upset about the situations they are in and take it out on everyone else. One person disrespects another, who shows dissatisfaction by disrespecting others in a vicious cycle.


People live in a “take what you feel you deserve” world instead of an “ask and receive” one. People need to remember that much of the country is struggling under the same pressures.


The irony is, when people feel wronged and deal with it as they have been doing, the injustice expands because the source has not been identified or corrected. If people are more supportive of each other and deal with problems as a group, they accomplish much more.


It is unfortunate that America’s moral fabric is deteriorating, but that situation can be reversed in an ethically sound way. It is pertinent that this country strengthen the foundations upon which it was founded. That is the only way we will overcome the current economic struggle and persevere as a nation. Let’s bring America back into the great ranks that it once held and can hold again.


Robert Gaylord is a junior majoring in civil engineering.
",0.224,0.093,0.683,0.145,0.079,0.776,0.117,0.13,0.753
2009-01-07,USF,China,"Later this month, students will be able to pay for their laundry on campus using USF Bull Bucks ― but it will come at a price.


Washer and dryer use has increased in price to $1 each, up from 75 cents.  Upon returning this semester, students were unaware of the price increase.


“Economic times over the past several years made it necessary to increase laundry prices,” said Kelly Best, associate director of Facilities and Maintenance for Housing.


The difference will help offset University costs, as well as help pay for a program that will allow students to swipe their ID cards and use Bull Bucks to pay for their laundry.


Bull Bucks are part of a program set up in May that allows students to spend electronic money on campus at places such as the dining facilities, the bookstore, the pharmacy, and on printing and copying at the Library and computer lab, said Chris Akin, associate director of Information Technology (IT).


“Students, faculty and staff can deposit funds into an electronic account for use on campus,” Akin said. “It’s kind of like a gift card.”


Before May, students could pay for laundry with a “vend stripe” on their card, Akin said.  When USF initiated the Bull Bucks program, the electronics needed to allow students to use Bull Bucks were not available. Until the equipment is up and running, coins must be used to operate the machines.


At the start of this semester, students found a sign in the laundry rooms that reads: “All machines are coin-only until further notice. Card reader scheduled to come online mid-January.”


Best said that hardware and wiring is already in place, and that the machines will be installed and programmed this semester to work with the IT department.


Money generated from laundry facilities is used to fund resident programs such as events, meetings and alcohol awareness, said Lucy Willis, associate director of business for Housing.


“One hundred percent of those costs are from laundry commissions,” she said.


One advantage of using Bull Bucks is that students will not have to worry about finding quarters to use in the machines, said Samantha McLean, a fine arts major.


“(The system) is more convenient,” said biology major Tatiana White, “because people will not have to find change.”


Students have differing views about the increased price, though.


Though McLean said she thinks people can afford the price increase, she added that the previous price of 75 cents was still too much to pay for laundry.


Chris Jenkins, a music major, said that even though people have the money for it, “people will always complain.”
",0.032,0.048,0.92,0.0,0.048,0.952,0.021,0.117,0.862
2009-01-08,USF,China,"Attacks have been waged on single mothers. The weapons of choice: Implements of destruction in the form of vacuous diatribes from self-righteous and unsympathetic pundits and politicians:


Ann Coulter wrote in her book Guilty : Liberal ‘Victims’ and Their Assault on America, “Look at almost any societal problem, and you’ll find it is really a problem of single mothers.”


Emily Yoffe of Slate magazine called out-of-wedlock births a “national catastrophe.”


Colorado State Rep. Larry Liston said during a GOP caucus lunch that covered issues regarding teen pregnancy: “In my parents’ day and age, (single mothers) were sent away, they were shunned, they were called what they are. There was at least a sense of shame. There’s no sense of shame today. Society condones it … I think it’s wrong.They’re sluts.”


While some statistics show higher crime rates among children raised by single mothers, one must not confuse correlation with causation. An innumerable amount of factors contribute to the environment in which a child is raised.


It is intuitive that more good would come from efforts put forth to mentor children, rather than attacking their mothers’ circumstances.


Single mothers are not bad parents merely by being unwed. It is unreasonable to determine a person’s value and character based on marital status — but these false characterizations and speculations are foundational to the argument that single mothers are ruining America.


Emphasizing the nuclear family’s additional parental support is one thing — admonishing single mothers is quite another.


If those so adamantly slandering single mothers put as much effort into trying to reform social welfare and education programs, perhaps our “national catastrophes” could be remedied, at least in part.
Unfortunately, all they seem to contribute is empty criticism and finger-pointing.


It serves no sustainable good to look down on mothers without husbands. Shaming those in fatherless families solves nothing. People so concerned for children’s welfare should consider supporting rather than shunning them.


Venomous words serve no purpose other than alienating and disparaging a group based on false generalizations.


A positive — and perhaps more valid generalization — would be that many single mothers want only the best for their children.
",0.133,0.113,0.754,0.134,0.0,0.866,0.124,0.085,0.791
2009-01-12,USF,China,"Since my childhood — when Nintendo 64 and Zelda were king — I’ve been working to defy the stereotype that there are no girl gamers. I love the worlds the gaming industry has been creating through the years: They have always been a welcome getaway from my own boring life. After a successful 2008 gaming year, my hopes are high for 2009. Here are my top picks for games to play this spring.


F.E.A.R. 2 (1)
I spent most of the first award-winning F.E.A.R. game screaming like a little girl, and I have high hopes for its sequel. F.E.A.R. 2 still has excessively bloody moments, frightening creatures and that dead psychic girl who makes missions both difficult and terrifying.


The story has changed and the graphics are slightly better, but overall it’s looking like more of the same from F.E.A.R. I’m not complaining — why fix something that’s working just fine anyway?


Release: Feb. 10


Consoles: PS3, Xbox 360


Street Fighter IV (2)
Capcom is boldly rehashing its 1990s fighter with an artistic twist in the long-anticipated Street Fighter IV — and it works. I haven’t gotten my hands on a preview copy, but screen captures have sold me already.


The game promises the return of beloved characters like Ryu, M. Bison and Chun-Li, but also adds some new faces. With both new and old moves — complemented by breathtaking backdrops — Street Fighter IV is guaranteed to please old fans and attract new ones.


Release: Feb 17


Consoles: PS3, Xbox 360


Sims 3 (3)
No game has me more excited for the new year than Sims 3. As a die-hard Sims fan, I’ve been pleased with each new installment in the series — and the newest version looks flawless.


The levels of customization border on the infinite, allowing each Sim to be completely unique with options ranging from a Sim’s body weight level to the paint job on his or
her car.


Neighborhoods are no longer limited and the open world of Sims 3 lets characters move freely from lot to lot, leaving more opportunities for chance encounters and events.


Sims 3 is all about unending possibilities, which is what gamers have been clambering for from the series since its birth.


Release: Feb 20


Consoles: PC


Dead Rising: Chop Till You Drop (4)
Dead Rising was released for the Xbox in 2006, but in 2008 someone at Capcom read my mind and thought that bashing zombies with a Wii remote would be the best direction for the series.


Unfortunately, sacrifices will be made in graphics, and picture-taking is no longer a part of the game thanks to the new first-person camera, but these losses are made up for with adjustable difficulty and multiple save slots.


Dead Rising: Chop Till You Drop isn’t innovative or new — it’s just fun. My recommendation: Find a park bench, fashion it as a weapon and go crazy on the undead.


Release: Feb 27


Consoles: Wii


Killzone 2 (5)
Released just in time for those finishing up the batch of 2008 first-person shooters, Killzone 2 continues the popular trend of sci-fi war games.


Players with a small budget or an Xbox will be out of luck with this PlayStation 3 exclusive. The graphics and gameplay are stunning, featuring an interactive environment complete with climate and all the conditions expected from a war-tattered planet.


Another great addition is the online multiplayer, in which up to 32 players can face off against one another. But don’t expect to splatter online friends on the front of a vehicle or defeat the story co-op right away — these features won’t be available until they distribute a patch sometime after the game’s release.


Release: Feb 27


Consoles: PS3


MadWorld (6)
Tuck the kids in early before playing MadWorld — it is not your average Wii game. MadWorld takes place in a city quarantined after a deadly virus that forces citizens to fight for their right to live.


What’s really unique about this game, though, is its art style. The cartoonish graphics are reminiscent of Sin City and are strictly black and white — except for the blood. No More Heroes needs to get its act together in its sequel or MadWorld will take its place as the most graphic, disturbing game on Wii.


Release: March 10


Consoles: Wii


Resident Evil 5 (7)
RE5 takes what was great about Resident Evil 4 — like the style and the battle system — and adds to it. Though some gamers were disappointed by the game’s Japan-only demo released last December, I feel they set their sights too high.


RE5 has enough changes to keep you interested, and the story line is phenomenal. This new installment also has a co-op mode — with main characters Chris and Sheva — where players can shotgun their way through story mode with a friend.


For fans of Resident Evil 4, this game only looks better. And gamer gals like me can look forward to the ladies of RE5 kicking some major butt.


Release: March 13


Consoles: PS3, Xbox 360


Batman: Arkham Asylum (8)
A trailer hasn’t gotten me this excited for a video game since Kingdom Hearts. It’s dark, it’s creepy and it’s Batman.


I’m not a fan of superhero games — usually because they seem poorly made and have no point — but this game looks too good to pass up. From what I’ve seen so far, the game has moved away from standard comic-book game stereotypes and is leaning more toward the feel of the Silent Hill series.


Though not much has been released on this game, there are rumors of a free-roam Gotham City, and some classic characters are expected, like the Riddler, the Joker, the Penguin and Killer Croc. For more information and rumors, check out the Eidos forums at batmanarkhamasylum.com.


Release: May 1


Consoles: PS3, Xbox 360, PC
",0.061,0.31,0.629,0.061,0.138,0.801,0.112,0.154,0.734
2009-01-13,USF,China,"South Florida senior guard Shantia Grace finally understands how challenging the Big East conference is.


“Everybody should know how hard we have to play to win in the Big East,” Grace said after Saturday’s 81-71 overtime victory over St. John’s.


The Bulls will play one of their toughest opponents of the season when they host No. 7 Louisville tonight at 7 at the Sun Dome.


Coming off the win, Grace said she is confident in USF’s ability to win two straight in Big East play, despite losing the first two conference games to Marquette and No. 1 Connecticut.


“Louisville is another top 25 team,” she said. “It will be another hard, grinding game, but we should be able to come out with a win.”


Hard, grinding games are staples in the Big East.


Including tonight’s opponent, the only team without a winning record on USF’s remaining schedule is Providence (7-9), who the Bulls play Jan. 20.


Coming off a 64-59 victory over Rutgers on Sunday, the Cardinals (16-1, 3-0) have won 11 straight games, 10 of which have been at home.


All-American senior Angel McCoughtry leads Louisville in scoring and rebounding, with
21.2 points per game and 8.7 rebounds. With her help, the team ranks in the nation’s top 30 in scoring offense.


The Bulls (14-3, 1-2) are led by Grace’s 15.9 points per game. South Florida has the third-best scoring offense in the country.


Coach Jose Fernandez said he’s hoping for USF’s offense — and a home crowd — to fuel his team to an upset.


“It’s just another (Big East team) we have to play,” he said. “We have them at home. You play better at home because that’s where you practice every day.”


South Florida guard Janae Stokes said even in light of Louisville’s success, the Bulls will not approach the Cardinals differently than any other opponent.


“We just have to stay together, play as a team and keep our heads up,” she said. “We have to keep the mind-set that nothing is going to be easy.”
",0.058,0.312,0.63,0.0,0.0,0.0,0.06,0.165,0.775
2009-01-14,USF,China,"It wouldn’t be a stretch to assume that, even as they read this article, at least some USF students are text messaging friends, logging on to Blackboard for assignments, listening to music and checking Facebook. All this activity may give off the illusion of hyper-productivity, but studies suggest that the practice known as “multitasking” might be one of the best ways to underperform.


Recent studies by the University of Michigan and UCLA have both concluded that dividing one’s attention among several different things makes the person less efficient in his or her work, and can cause considerable stress.


In November 2008, the University of Connecticut published the study “Distractions, Distractions: “Does Instant Messaging Affect College Students’ Performance on a Concurrent Reading Comprehension Task?” Researchers found that students engaging in a reading comprehension exercise while carrying on an instant message conversation took significantly longer, indicating that “concurrent IM use negatively affects efficiency.”


Researchers also found that the more students said they instant messaged in everyday life, the lower both their test scores and reported GPA were.


These instances of multitasking are counterproductive, but they are certainly not the most dangerous. A study conducted by the RAC Foundation and the Transport Research Laboratory in the U.K. shows that nearly 50 percent of people aged 18-24 text message while driving. The study also determined that texting while driving is more hazardous than being under the influence of alcohol (up to the legal limit) or marijuana.


If cell phones and the Internet are to blame for robbing the attention span of American youth, Apple’s iPhone could be a prime offender. Apple calls it “a revolutionary phone, a widescreen iPod and a breakthrough Internet device” — a description that screams multitask. Such marketing rhetoric embraces the idea that one device must be able to perform a multitude of tasks, and the 10 million iPhones sold in 2008, as reported by macdailynews.com, support the importance society places on the ability to multitask.


And it’s not only students — just ask an adult who tries to hold a phone conversation while typing an e-mail.


USF psychology professor Michael Coovert said any person — child, teen or adult — who tries to do multiple things involving the same brain functions will be hindered.


“The key issue is if the new activity — for example, phone usage — is demanding cognitive or perceptual resources that are already engaged,” he said.


However, Linda Elliott, a research psychologist for the U.S. Army stationed in Fort Benning, Ga, said the product of multitasking depends on the individual.


“Some people can manage their attention processes, process information and perform at higher levels than others,” said Elliot, whose work is concerned with improving soldiers’ multitasking ability.


“If there are several tasks that are related to a single goal — for example, navigating cross-country to a waypoint safely (in enemy territory) — it’s best not to overload a single sensory channel,” she said. “The soldier should not have to be focused on computer screens when he or she needs to be alert to surroundings.”


For this situation, she said a mechanism that vibrates in eight directions could be placed on the soldier’s belt — allowing him or her to navigate hands-free, eyes-free and even, she said, “mind free.”


Research like Elliot’s should help make jobs that require rigorous multitasking easier but doesn’t discredit studies showing multitasking’s negative effects. Whether multitasking is a counterproductive waste of time and efficiency or a useful tool that can be developed, it is something that everyone can expect to increase as technology advances.
",0.0,0.036,0.964,0.035,0.125,0.84,0.056,0.126,0.818
2009-01-15,USF,China,"Despite trailing early, No. 7 Louisville beat South Florida 76-60 at the Sun Dome on Wednesday night with the help of a late first-half surge.


“We did a very good job of breaking the press and scoring off of it,” said Louisville coach Jeff Walz. “I thought they stopped pressing us because we scored in transition.”


The Cardinals were able to force 24 turnovers on USF, but despite their success, Walz said his team did a poor job of defending against two USF players.


“Our goal was to try and keep (USF) out of the paint,” he said. “(Forward Jessica) Lawson and (forward Brittany) Denson, they rebound the ball as well as any team in the country. They absolutely owned us in the paint.”


With Lawson’s help, the Bulls cut the Cardinal’s lead to 56-50 with six minutes remaining. However, a 9-2 run allowed Louisville to pull away.


Lawson scored 16 points and grabbed 14 rebounds on her way to her second double-double of the season — and all this after being unable to practice earlier this week because of a knee injury. USF coach Jose Fernandez said he was proud of her effort.


“She didn’t practice the last two days just because she has knee swelling,” he said. “I think she’s really working hard for us down there and finishing around the basket.”


Lawson said USF’s turnovers made a major difference in the game.


“They turned us over and just got us out of our element,” she said. “I think they just scored on most of our turnovers.”


South Florida guard Shantia Grace went 6-of-7 from the free throw line en route to 15 points.


“Every loss we can learn from,” Grace said. “And for us to compete with top 25 teams is a great experience for us. It motivates us to know how good we can play and how well we can play against  top-ranked teams.”


The Bulls will see what they’ve learned from the loss when they play 8-1 Pittsburgh on the road Saturday night.
",0.0,0.115,0.885,0.068,0.136,0.796,0.063,0.136,0.801
2009-01-16,USF,China,"Actors Danny Glover and Felix Justice inspired an audience Thursday night, through the words of Martin Luther King Jr. and Langston Hughes.


The lecture was more of a performance, as both Justice and Glover fully assumed the personalities of King and Hughes. Glover used his character to connect with the audience personally, while Justice connected through the powerful words of King.


“When Felix Justice and I began this journey of coming to campuses years ago it was with the intent or engaging young men and women in this dialogue,” Glover said.


The audience found the performance engaging as the room filled with silence and awe at the words of two men. Standing ovations and applause were actions repeated throughout the entirety of the event.


Thursday night’s lecture took place in the Sun Dome. About 600 people attended the event, ULS student director Lindsey Grossman said.
“It was fun, although the turnout was not as great as we might have thought,” ULS student director Amy Bortzfield said.


After the lecture, Felix and Justice held a question and answer session. The topics varied from politics to movies, when one middle school student asked Glover what his favorite character to play.


“Overall, it went very well. I really liked the Q&A because you get more candid responses from the speakers,” Grossman said.


The topics covered in the lecture covered the major political events of King’s time period. Glover spoke about the role of young people, asking for change, in the recent presidential election.


“Change is not an event but a process,” Glover said.
Robert Gray, a senior majoring in economics said that while he wished there would have been more time with Danny Glover, he still enjoyed the event.


“They were both really good. I really liked the MLK speech that Felix did. It was neat to hear it on his birthday,” Gray said. “Also to was good to see the little kids get this experience of history that they probably wouldn’t have otherwise.”
",0.0,0.121,0.879,0.0,0.337,0.663,0.006,0.145,0.849
