,school,date,count,school_year
0,UCSD,2020-10-11,0,2020-2021
1,UCSD,2020-10-18,0,2020-2021
2,UCSD,2020-10-25,0,2020-2021
3,UCSD,2020-11-01,0,2020-2021
4,UCSD,2020-11-08,0,2020-2021
5,UCSD,2020-11-15,0,2020-2021
6,UCSD,2020-11-22,0,2020-2021
7,UCSD,2020-11-29,0,2020-2021
8,UCSD,2020-12-06,0,2020-2021
9,UCSD,2020-12-13,0,2020-2021
10,UCSD,2020-12-20,0,2020-2021
11,UCSD,2021-01-03,0,2020-2021
12,UCSD,2021-01-10,0,2020-2021
13,UCSD,2021-01-17,0,2020-2021
14,UCSD,2021-01-24,0,2020-2021
15,UCSD,2021-01-31,0,2020-2021
16,UCSD,2021-02-07,0,2020-2021
17,UCSD,2021-02-14,0,2020-2021
18,UCSD,2021-02-21,0,2020-2021
19,UCSD,2021-02-28,0,2020-2021
20,UCSD,2021-03-07,0,2020-2021
21,UCSD,2021-03-14,0,2020-2021
22,UCSD,2021-03-28,0,2020-2021
23,UCSD,2021-04-04,0,2020-2021
24,UCSD,2021-04-11,0,2020-2021
25,UCSD,2021-04-18,0,2020-2021
26,UCSD,2021-04-25,0,2020-2021
27,UCSD,2021-05-02,0,2020-2021
28,UCSD,2021-05-09,0,2020-2021
29,UCSD,2021-05-16,0,2020-2021
30,UCSD,2021-05-23,0,2020-2021
31,UCSD,2021-05-30,0,2020-2021
32,UCSD,2021-06-06,0,2020-2021
33,UCSD,2021-06-13,0,2020-2021
34,UCSD,2021-06-20,0,2020-2021
35,UCSD,2021-06-27,0,2020-2021
36,UCSD,2021-07-22,0,2020-2021
37,UCSD,2021-09-27,0,2021-2022
38,UCSD,2021-10-04,0,2021-2022
39,UCSD,2021-10-11,1,2021-2022
40,UCSD,2021-10-18,0,2021-2022
41,UCSD,2021-10-25,0,2021-2022
42,UCSD,2021-11-01,0,2021-2022
43,UCSD,2021-11-08,0,2021-2022
44,UCSD,2021-11-15,0,2021-2022
45,UCSD,2021-11-22,0,2021-2022
46,UCSD,2021-11-29,0,2021-2022
47,UCSD,2022-01-03,0,2021-2022
48,UCSD,2022-01-10,0,2021-2022
49,UCSD,2022-01-18,0,2021-2022
50,UCSD,2022-01-24,0,2021-2022
51,UCSD,2022-01-31,0,2021-2022
52,UCSD,2022-02-07,0,2021-2022
53,UCSD,2022-02-14,0,2021-2022
54,UCSD,2022-02-22,0,2021-2022
55,UCSD,2022-02-28,0,2021-2022
56,UCSD,2022-03-07,0,2021-2022
57,UCSD,2022-03-28,0,2021-2022
58,UCSD,2022-04-04,0,2021-2022
59,UCSD,2022-04-11,0,2021-2022
60,UCSD,2022-04-18,0,2021-2022
61,UCSD,2022-04-25,0,2021-2022
62,UCSD,2022-05-02,0,2021-2022
63,UCSD,2022-05-09,0,2021-2022
64,UCSD,2022-05-16,0,2021-2022
65,UCSD,2022-05-23,0,2021-2022
66,UCSD,2022-05-31,0,2021-2022
67,UCSD,2022-06-20,0,2021-2022
68,UCSD,2022-07-18,0,2021-2022
69,UCSD,2022-08-04,0,2022-2023
70,UCSD,2022-08-11,0,2022-2023
71,UCSD,2022-09-26,0,2022-2023
72,UCSD,2022-10-03,0,2022-2023
73,UCSD,2022-10-10,0,2022-2023
74,UCSD,2022-10-17,0,2022-2023
75,UCSD,2022-10-31,0,2022-2023
76,UCSD,2022-11-07,0,2022-2023
77,UCSD,2022-11-14,0,2022-2023
78,UCSD,2022-11-21,0,2022-2023
79,UCSD,2022-11-28,0,2022-2023
80,UCSD,2022-11-29,0,2022-2023
81,UCSD,2022-12-04,0,2022-2023
82,UCSD,2022-12-23,0,2022-2023
83,UCSD,2023-01-09,0,2022-2023
84,UCSD,2023-01-17,0,2022-2023
85,UCSD,2023-01-23,0,2022-2023
86,UCSD,2023-01-30,0,2022-2023
87,UF,2009-01-06,0,2008-2009
88,UF,2009-01-07,0,2008-2009
89,UF,2009-01-08,0,2008-2009
90,UF,2009-01-09,0,2008-2009
91,UF,2009-01-12,0,2008-2009
92,UF,2009-01-13,0,2008-2009
93,UF,2009-01-14,0,2008-2009
94,UF,2009-01-15,0,2008-2009
95,UF,2009-01-16,1,2008-2009
96,UF,2009-01-20,0,2008-2009
97,UF,2009-01-21,1,2008-2009
98,UF,2009-01-22,0,2008-2009
99,UF,2009-01-23,1,2008-2009
100,UF,2009-01-26,1,2008-2009
101,UF,2009-01-27,0,2008-2009
102,UF,2009-01-28,0,2008-2009
103,UF,2009-01-29,1,2008-2009
104,UF,2009-01-30,1,2008-2009
105,UF,2009-02-02,0,2008-2009
106,UF,2009-02-03,0,2008-2009
107,UF,2009-02-04,0,2008-2009
108,UF,2009-02-05,0,2008-2009
109,UF,2009-02-06,0,2008-2009
110,UF,2009-02-09,0,2008-2009
111,UF,2009-02-10,0,2008-2009
112,UF,2009-02-11,0,2008-2009
113,UF,2009-02-12,0,2008-2009
114,UF,2009-02-13,1,2008-2009
115,UF,2009-02-16,0,2008-2009
116,UF,2009-02-17,0,2008-2009
117,UF,2009-02-18,0,2008-2009
118,UF,2009-02-19,0,2008-2009
119,UF,2009-02-20,1,2008-2009
120,UF,2009-02-23,0,2008-2009
121,UF,2009-02-24,1,2008-2009
122,UF,2009-02-25,0,2008-2009
123,UF,2009-02-26,0,2008-2009
124,UF,2009-02-27,0,2008-2009
125,UF,2009-03-02,0,2008-2009
126,UF,2009-03-03,0,2008-2009
127,UF,2009-03-04,0,2008-2009
128,UF,2009-03-05,0,2008-2009
129,UF,2009-03-06,0,2008-2009
130,UF,2009-03-16,0,2008-2009
131,UF,2009-03-17,0,2008-2009
132,UF,2009-03-18,0,2008-2009
133,UF,2009-03-19,0,2008-2009
134,UF,2009-03-20,0,2008-2009
135,UF,2009-03-23,0,2008-2009
136,UF,2009-03-24,0,2008-2009
137,UF,2009-03-25,1,2008-2009
138,UF,2009-03-26,0,2008-2009
139,UF,2009-03-27,0,2008-2009
140,UF,2009-03-30,0,2008-2009
141,UF,2009-03-31,0,2008-2009
142,UF,2009-04-01,0,2008-2009
143,UF,2009-04-02,0,2008-2009
144,UF,2009-04-03,0,2008-2009
145,UF,2009-04-06,0,2008-2009
146,UF,2009-04-07,0,2008-2009
147,UF,2009-04-08,0,2008-2009
148,UF,2009-04-09,0,2008-2009
149,UF,2009-04-10,0,2008-2009
150,UF,2009-04-13,0,2008-2009
151,UF,2009-04-14,0,2008-2009
152,UF,2009-04-15,0,2008-2009
153,UF,2009-04-16,1,2008-2009
154,UF,2009-04-17,0,2008-2009
155,UF,2009-04-20,0,2008-2009
156,UF,2009-04-21,1,2008-2009
157,UF,2009-04-22,0,2008-2009
158,UF,2009-05-12,0,2008-2009
159,UF,2009-05-14,0,2008-2009
160,UF,2009-05-19,0,2008-2009
161,UF,2009-05-21,0,2008-2009
162,UF,2009-05-26,0,2008-2009
163,UF,2009-05-28,0,2008-2009
164,UF,2009-06-02,1,2008-2009
165,UF,2009-06-04,0,2008-2009
166,UF,2009-06-09,0,2008-2009
167,UF,2009-06-11,0,2008-2009
168,UF,2009-06-16,0,2008-2009
169,UF,2009-06-18,1,2008-2009
170,UF,2009-06-30,0,2008-2009
171,UF,2009-07-02,0,2008-2009
172,UF,2009-07-07,0,2008-2009
173,UF,2009-07-09,0,2008-2009
174,UF,2009-07-14,0,2008-2009
175,UF,2009-07-16,1,2008-2009
176,UF,2009-07-21,0,2008-2009
177,UF,2009-07-23,1,2008-2009
178,UF,2009-07-28,0,2008-2009
179,UF,2009-07-30,1,2008-2009
180,UF,2009-08-04,0,2009-2010
181,UF,2009-08-06,1,2009-2010
182,UF,2009-08-17,1,2009-2010
183,UF,2009-08-24,0,2009-2010
184,UF,2009-08-25,1,2009-2010
185,UF,2009-08-26,1,2009-2010
186,UF,2009-08-27,1,2009-2010
187,UF,2009-08-28,1,2009-2010
188,UF,2009-08-31,1,2009-2010
189,UF,2009-09-01,1,2009-2010
190,UF,2009-09-02,0,2009-2010
191,UF,2009-09-03,1,2009-2010
192,UF,2009-09-04,1,2009-2010
193,UF,2009-09-08,1,2009-2010
194,UF,2009-09-09,0,2009-2010
195,UF,2009-09-10,0,2009-2010
196,UF,2009-09-11,1,2009-2010
197,UF,2009-09-14,0,2009-2010
198,UF,2009-09-15,0,2009-2010
199,UF,2009-09-16,1,2009-2010
200,UF,2009-09-17,1,2009-2010
201,UF,2009-09-18,1,2009-2010
202,UF,2009-09-21,0,2009-2010
203,UF,2009-09-22,0,2009-2010
204,UF,2009-09-23,0,2009-2010
205,UF,2009-09-24,0,2009-2010
206,UF,2009-09-25,0,2009-2010
207,UF,2009-09-28,0,2009-2010
208,UF,2009-09-29,0,2009-2010
