school,date,count,school_year,month
AU,2009-02-12,0,2008-2009,2009-02
AU,2009-03-05,0,2008-2009,2009-03
AU,2009-04-09,1,2008-2009,2009-04
AU,2009-08-13,0,2009-2010,2009-08
AU,2009-09-10,0,2009-2010,2009-09
AU,2009-09-13,0,2009-2010,2009-09
AU,2009-10-12,0,2009-2010,2009-10
AU,2009-11-12,1,2009-2010,2009-11
AU,2009-12-03,0,2009-2010,2009-12
AU,2009-12-07,0,2009-2010,2009-12
AU,2009-12-10,0,2009-2010,2009-12
AU,2009-12-11,0,2009-2010,2009-12
AU,2010-01-04,0,2009-2010,2010-01
AU,2010-02-11,1,2009-2010,2010-02
AU,2010-02-12,0,2009-2010,2010-02
AU,2010-03-04,1,2009-2010,2010-03
AU,2010-03-05,0,2009-2010,2010-03
AU,2010-03-06,0,2009-2010,2010-03
AU,2010-03-08,0,2009-2010,2010-03
AU,2010-03-09,0,2009-2010,2010-03
AU,2010-03-10,0,2009-2010,2010-03
AU,2010-03-11,0,2009-2010,2010-03
AU,2010-04-12,1,2009-2010,2010-04
AU,2010-04-13,0,2009-2010,2010-04
AU,2010-05-04,0,2009-2010,2010-05
AU,2010-05-05,0,2009-2010,2010-05
AU,2010-05-06,0,2009-2010,2010-05
AU,2010-05-07,0,2009-2010,2010-05
AU,2010-05-08,0,2009-2010,2010-05
AU,2010-05-09,0,2009-2010,2010-05
AU,2010-05-13,0,2009-2010,2010-05
AU,2010-06-02,0,2009-2010,2010-06
AU,2010-06-04,0,2009-2010,2010-06
AU,2010-06-05,0,2009-2010,2010-06
AU,2010-06-06,0,2009-2010,2010-06
AU,2010-06-07,0,2009-2010,2010-06
AU,2010-06-09,0,2009-2010,2010-06
AU,2010-06-10,0,2009-2010,2010-06
AU,2010-06-11,0,2009-2010,2010-06
AU,2010-07-01,0,2009-2010,2010-07
AU,2010-07-02,0,2009-2010,2010-07
AU,2010-07-03,0,2009-2010,2010-07
AU,2010-07-04,0,2009-2010,2010-07
AU,2010-07-06,0,2009-2010,2010-07
AU,2010-07-07,0,2009-2010,2010-07
AU,2010-07-08,0,2009-2010,2010-07
AU,2010-07-09,0,2009-2010,2010-07
AU,2010-07-10,0,2009-2010,2010-07
AU,2010-07-11,0,2009-2010,2010-07
AU,2010-07-12,0,2009-2010,2010-07
AU,2010-07-13,0,2009-2010,2010-07
AU,2010-08-01,0,2010-2011,2010-08
AU,2010-08-02,0,2010-2011,2010-08
AU,2010-08-10,0,2010-2011,2010-08
AU,2010-08-11,0,2010-2011,2010-08
AU,2010-08-12,0,2010-2011,2010-08
AU,2010-08-13,0,2010-2011,2010-08
AU,2010-09-07,0,2010-2011,2010-09
AU,2010-09-08,1,2010-2011,2010-09
AU,2010-09-09,0,2010-2011,2010-09
AU,2010-09-11,0,2010-2011,2010-09
AU,2010-09-12,0,2010-2011,2010-09
AU,2010-09-13,0,2010-2011,2010-09
AU,2010-10-12,0,2010-2011,2010-10
AU,2010-11-09,0,2010-2011,2010-11
AU,2010-11-10,0,2010-2011,2010-11
AU,2010-11-11,0,2010-2011,2010-11
AU,2010-11-12,0,2010-2011,2010-11
AU,2010-12-06,0,2010-2011,2010-12
AU,2010-12-07,0,2010-2011,2010-12
AU,2011-01-11,1,2010-2011,2011-01
AU,2011-02-08,0,2010-2011,2011-02
AU,2011-02-09,0,2010-2011,2011-02
AU,2011-02-10,0,2010-2011,2011-02
AU,2011-02-11,0,2010-2011,2011-02
AU,2011-02-13,0,2010-2011,2011-02
AU,2011-03-01,0,2010-2011,2011-03
AU,2011-03-03,0,2010-2011,2011-03
AU,2011-03-04,0,2010-2011,2011-03
AU,2011-03-07,0,2010-2011,2011-03
AU,2011-03-10,0,2010-2011,2011-03
AU,2011-03-11,0,2010-2011,2011-03
AU,2011-03-13,0,2010-2011,2011-03
AU,2011-04-12,1,2010-2011,2011-04
AU,2011-05-01,0,2010-2011,2011-05
AU,2011-05-02,0,2010-2011,2011-05
AU,2011-06-01,0,2010-2011,2011-06
AU,2011-06-04,0,2010-2011,2011-06
AU,2011-06-07,0,2010-2011,2011-06
AU,2011-06-08,1,2010-2011,2011-06
AU,2011-06-12,0,2010-2011,2011-06
AU,2011-06-13,0,2010-2011,2011-06
AU,2011-07-02,0,2010-2011,2011-07
AU,2011-07-03,0,2010-2011,2011-07
AU,2011-07-05,0,2010-2011,2011-07
AU,2011-07-07,0,2010-2011,2011-07
AU,2011-07-08,0,2010-2011,2011-07
AU,2011-07-09,0,2010-2011,2011-07
AU,2011-07-11,0,2010-2011,2011-07
AU,2011-08-02,0,2011-2012,2011-08
AU,2011-08-06,0,2011-2012,2011-08
AU,2011-08-12,0,2011-2012,2011-08
AU,2011-08-13,0,2011-2012,2011-08
AU,2011-09-13,0,2011-2012,2011-09
AU,2011-10-11,0,2011-2012,2011-10
AU,2011-11-08,1,2011-2012,2011-11
AU,2011-11-09,0,2011-2012,2011-11
AU,2011-11-10,0,2011-2012,2011-11
AU,2011-11-11,0,2011-2012,2011-11
AU,2011-11-12,0,2011-2012,2011-11
AU,2011-11-13,0,2011-2012,2011-11
AU,2011-12-06,0,2011-2012,2011-12
AU,2011-12-07,0,2011-2012,2011-12
AU,2011-12-08,0,2011-2012,2011-12
AU,2011-12-09,0,2011-2012,2011-12
AU,2011-12-10,0,2011-2012,2011-12
AU,2011-12-11,0,2011-2012,2011-12
AU,2011-12-12,0,2011-2012,2011-12
AU,2011-12-13,0,2011-2012,2011-12
AU,2012-01-02,0,2011-2012,2012-01
AU,2012-01-09,1,2011-2012,2012-01
AU,2012-02-07,1,2011-2012,2012-02
AU,2012-02-08,0,2011-2012,2012-02
AU,2012-02-10,0,2011-2012,2012-02
AU,2012-02-11,0,2011-2012,2012-02
AU,2012-02-12,0,2011-2012,2012-02
AU,2012-02-13,0,2011-2012,2012-02
AU,2012-03-06,0,2011-2012,2012-03
AU,2012-03-07,0,2011-2012,2012-03
AU,2012-03-09,0,2011-2012,2012-03
AU,2012-03-10,0,2011-2012,2012-03
AU,2012-03-11,0,2011-2012,2012-03
AU,2012-03-12,0,2011-2012,2012-03
AU,2012-03-13,0,2011-2012,2012-03
AU,2012-04-10,0,2011-2012,2012-04
AU,2012-04-11,0,2011-2012,2012-04
AU,2012-04-12,0,2011-2012,2012-04
AU,2012-04-13,0,2011-2012,2012-04
AU,2012-05-01,0,2011-2012,2012-05
AU,2012-05-02,0,2011-2012,2012-05
AU,2012-05-03,0,2011-2012,2012-05
AU,2012-05-04,0,2011-2012,2012-05
AU,2012-05-05,0,2011-2012,2012-05
AU,2012-05-06,0,2011-2012,2012-05
AU,2012-05-07,0,2011-2012,2012-05
AU,2012-05-11,1,2011-2012,2012-05
AU,2012-06-01,0,2011-2012,2012-06
AU,2012-06-02,0,2011-2012,2012-06
AU,2012-06-03,0,2011-2012,2012-06
AU,2012-06-04,0,2011-2012,2012-06
AU,2012-06-11,0,2011-2012,2012-06
AU,2012-07-02,0,2011-2012,2012-07
AU,2012-07-04,0,2011-2012,2012-07
AU,2012-07-06,0,2011-2012,2012-07
AU,2012-07-09,1,2011-2012,2012-07
AU,2012-07-11,0,2011-2012,2012-07
AU,2012-08-06,0,2012-2013,2012-08
AU,2012-08-07,0,2012-2013,2012-08
AU,2012-08-10,0,2012-2013,2012-08
AU,2012-08-12,0,2012-2013,2012-08
AU,2012-08-13,0,2012-2013,2012-08
AU,2012-09-13,1,2012-2013,2012-09
AU,2012-10-11,0,2012-2013,2012-10
AU,2012-10-12,0,2012-2013,2012-10
AU,2012-10-13,0,2012-2013,2012-10
AU,2012-11-08,0,2012-2013,2012-11
AU,2012-11-09,0,2012-2013,2012-11
AU,2012-11-11,0,2012-2013,2012-11
AU,2012-11-12,0,2012-2013,2012-11
AU,2012-11-13,0,2012-2013,2012-11
AU,2012-12-07,0,2012-2013,2012-12
AU,2012-12-08,1,2012-2013,2012-12
AU,2012-12-09,0,2012-2013,2012-12
AU,2012-12-10,0,2012-2013,2012-12
AU,2012-12-11,0,2012-2013,2012-12
AU,2012-12-12,0,2012-2013,2012-12
AU,2013-01-01,0,2012-2013,2013-01
AU,2013-01-08,0,2012-2013,2013-01
AU,2013-01-10,0,2012-2013,2013-01
AU,2013-01-11,0,2012-2013,2013-01
AU,2013-01-13,0,2012-2013,2013-01
AU,2013-02-10,0,2012-2013,2013-02
AU,2013-02-11,0,2012-2013,2013-02
AU,2013-02-12,0,2012-2013,2013-02
AU,2013-02-13,0,2012-2013,2013-02
AU,2013-03-07,0,2012-2013,2013-03
AU,2013-03-08,0,2012-2013,2013-03
AU,2013-03-09,0,2012-2013,2013-03
AU,2013-03-10,0,2012-2013,2013-03
AU,2013-03-11,0,2012-2013,2013-03
AU,2013-03-12,0,2012-2013,2013-03
AU,2013-03-13,0,2012-2013,2013-03
AU,2013-04-11,0,2012-2013,2013-04
AU,2013-04-12,1,2012-2013,2013-04
AU,2013-05-01,0,2012-2013,2013-05
AU,2013-05-02,1,2012-2013,2013-05
AU,2013-05-03,0,2012-2013,2013-05
AU,2013-05-07,0,2012-2013,2013-05
AU,2013-05-08,0,2012-2013,2013-05
AU,2013-05-09,0,2012-2013,2013-05
AU,2013-05-10,0,2012-2013,2013-05
AU,2013-05-13,0,2012-2013,2013-05
AU,2013-06-01,0,2012-2013,2013-06
AU,2013-06-06,0,2012-2013,2013-06
AU,2013-06-11,0,2012-2013,2013-06
AU,2013-06-12,0,2012-2013,2013-06
AU,2013-07-02,0,2012-2013,2013-07
AU,2013-07-04,0,2012-2013,2013-07
AU,2013-07-13,0,2012-2013,2013-07
AU,2013-08-03,0,2013-2014,2013-08
AU,2013-08-05,0,2013-2014,2013-08
AU,2013-08-08,0,2013-2014,2013-08
AU,2013-08-09,1,2013-2014,2013-08
AU,2013-08-11,0,2013-2014,2013-08
AU,2013-08-12,0,2013-2014,2013-08
AU,2013-09-11,0,2013-2014,2013-09
AU,2013-09-12,0,2013-2014,2013-09
AU,2013-09-13,0,2013-2014,2013-09
AU,2013-10-10,0,2013-2014,2013-10
AU,2013-10-11,0,2013-2014,2013-10
AU,2013-10-13,0,2013-2014,2013-10
AU,2013-11-12,0,2013-2014,2013-11
AU,2013-11-13,0,2013-2014,2013-11
AU,2013-12-09,0,2013-2014,2013-12
AU,2013-12-10,0,2013-2014,2013-12
AU,2013-12-12,0,2013-2014,2013-12
AU,2013-12-13,0,2013-2014,2013-12
AU,2014-01-03,0,2013-2014,2014-01
AU,2014-01-05,0,2013-2014,2014-01
AU,2014-01-07,0,2013-2014,2014-01
AU,2014-01-08,0,2013-2014,2014-01
AU,2014-01-09,0,2013-2014,2014-01
AU,2014-01-10,0,2013-2014,2014-01
AU,2014-01-12,0,2013-2014,2014-01
AU,2014-02-11,0,2013-2014,2014-02
AU,2014-02-12,0,2013-2014,2014-02
AU,2014-02-13,0,2013-2014,2014-02
AU,2014-03-07,0,2013-2014,2014-03
AU,2014-03-08,0,2013-2014,2014-03
AU,2014-03-09,0,2013-2014,2014-03
AU,2014-03-10,0,2013-2014,2014-03
AU,2014-03-11,0,2013-2014,2014-03
AU,2014-03-13,0,2013-2014,2014-03
AU,2014-04-11,0,2013-2014,2014-04
AU,2014-04-12,0,2013-2014,2014-04
AU,2014-04-13,0,2013-2014,2014-04
AU,2014-05-11,0,2013-2014,2014-05
AU,2014-05-12,0,2013-2014,2014-05
AU,2014-05-13,0,2013-2014,2014-05
AU,2014-06-03,0,2013-2014,2014-06
AU,2014-06-06,0,2013-2014,2014-06
AU,2014-06-08,0,2013-2014,2014-06
AU,2014-06-11,0,2013-2014,2014-06
AU,2014-06-12,0,2013-2014,2014-06
AU,2014-06-13,0,2013-2014,2014-06
AU,2014-07-02,0,2013-2014,2014-07
AU,2014-07-03,0,2013-2014,2014-07
AU,2014-07-06,0,2013-2014,2014-07
AU,2014-07-07,0,2013-2014,2014-07
AU,2014-07-08,0,2013-2014,2014-07
AU,2014-07-11,0,2013-2014,2014-07
AU,2014-07-13,0,2013-2014,2014-07
AU,2014-08-02,0,2014-2015,2014-08
AU,2014-08-03,0,2014-2015,2014-08
AU,2014-08-05,0,2014-2015,2014-08
AU,2014-08-06,0,2014-2015,2014-08
AU,2014-08-12,0,2014-2015,2014-08
AU,2014-09-11,0,2014-2015,2014-09
AU,2014-09-12,1,2014-2015,2014-09
AU,2014-09-13,0,2014-2015,2014-09
AU,2014-10-11,0,2014-2015,2014-10
AU,2014-10-13,1,2014-2015,2014-10
AU,2014-11-11,0,2014-2015,2014-11
AU,2014-11-12,0,2014-2015,2014-11
AU,2014-11-13,0,2014-2015,2014-11
AU,2014-12-07,0,2014-2015,2014-12
AU,2014-12-09,0,2014-2015,2014-12
AU,2014-12-11,0,2014-2015,2014-12
AU,2015-01-05,0,2014-2015,2015-01
AU,2015-01-07,0,2014-2015,2015-01
AU,2015-01-08,0,2014-2015,2015-01
AU,2015-01-10,0,2014-2015,2015-01
AU,2015-01-11,0,2014-2015,2015-01
AU,2015-01-13,0,2014-2015,2015-01
AU,2015-02-03,0,2014-2015,2015-02
AU,2015-02-04,0,2014-2015,2015-02
AU,2015-02-12,0,2014-2015,2015-02
AU,2015-02-13,0,2014-2015,2015-02
AU,2015-03-06,0,2014-2015,2015-03
AU,2015-03-07,0,2014-2015,2015-03
AU,2015-03-08,0,2014-2015,2015-03
AU,2015-03-09,0,2014-2015,2015-03
AU,2015-03-10,0,2014-2015,2015-03
AU,2015-03-11,0,2014-2015,2015-03
AU,2015-03-12,0,2014-2015,2015-03
AU,2015-03-13,0,2014-2015,2015-03
AU,2015-04-08,0,2014-2015,2015-04
AU,2015-04-09,0,2014-2015,2015-04
AU,2015-04-10,0,2014-2015,2015-04
AU,2015-04-13,1,2014-2015,2015-04
AU,2015-05-01,0,2014-2015,2015-05
AU,2015-05-03,0,2014-2015,2015-05
AU,2015-05-04,0,2014-2015,2015-05
AU,2015-05-06,0,2014-2015,2015-05
AU,2015-05-08,0,2014-2015,2015-05
AU,2015-05-09,0,2014-2015,2015-05
AU,2015-06-06,0,2014-2015,2015-06
AU,2015-06-08,0,2014-2015,2015-06
AU,2015-06-11,0,2014-2015,2015-06
AU,2015-06-12,0,2014-2015,2015-06
AU,2015-07-01,0,2014-2015,2015-07
AU,2015-07-02,0,2014-2015,2015-07
AU,2015-07-04,0,2014-2015,2015-07
AU,2015-07-07,0,2014-2015,2015-07
AU,2015-07-09,0,2014-2015,2015-07
AU,2015-07-10,0,2014-2015,2015-07
AU,2015-07-12,0,2014-2015,2015-07
AU,2015-08-03,0,2015-2016,2015-08
AU,2015-08-04,0,2015-2016,2015-08
AU,2015-08-05,0,2015-2016,2015-08
AU,2015-08-07,0,2015-2016,2015-08
AU,2015-08-09,1,2015-2016,2015-08
AU,2015-08-11,0,2015-2016,2015-08
AU,2015-08-12,0,2015-2016,2015-08
AU,2015-08-13,0,2015-2016,2015-08
AU,2015-09-09,0,2015-2016,2015-09
AU,2015-09-10,0,2015-2016,2015-09
AU,2015-09-11,0,2015-2016,2015-09
AU,2015-09-12,0,2015-2016,2015-09
AU,2015-09-13,0,2015-2016,2015-09
AU,2015-10-05,0,2015-2016,2015-10
AU,2015-10-10,0,2015-2016,2015-10
AU,2015-10-12,0,2015-2016,2015-10
AU,2015-10-13,0,2015-2016,2015-10
AU,2015-11-12,0,2015-2016,2015-11
AU,2015-11-13,0,2015-2016,2015-11
AU,2015-12-04,0,2015-2016,2015-12
AU,2015-12-07,0,2015-2016,2015-12
AU,2015-12-08,0,2015-2016,2015-12
AU,2015-12-09,0,2015-2016,2015-12
AU,2015-12-11,0,2015-2016,2015-12
AU,2015-12-12,0,2015-2016,2015-12
AU,2016-01-06,0,2015-2016,2016-01
AU,2016-01-11,0,2015-2016,2016-01
AU,2016-01-12,0,2015-2016,2016-01
AU,2016-01-13,0,2015-2016,2016-01
AU,2016-02-11,0,2015-2016,2016-02
AU,2016-02-12,0,2015-2016,2016-02
AU,2016-02-13,0,2015-2016,2016-02
AU,2016-03-07,0,2015-2016,2016-03
AU,2016-03-08,0,2015-2016,2016-03
AU,2016-03-09,1,2015-2016,2016-03
AU,2016-03-10,0,2015-2016,2016-03
AU,2016-03-11,0,2015-2016,2016-03
AU,2016-03-12,0,2015-2016,2016-03
AU,2016-04-10,0,2015-2016,2016-04
AU,2016-04-11,0,2015-2016,2016-04
AU,2016-04-12,0,2015-2016,2016-04
AU,2016-04-13,0,2015-2016,2016-04
AU,2016-05-09,0,2015-2016,2016-05
AU,2016-05-10,0,2015-2016,2016-05
AU,2016-05-12,0,2015-2016,2016-05
AU,2016-05-13,0,2015-2016,2016-05
