school,date,count,school_year,month
CMU,2009-01-19,1,2008-2009,2009-01
CMU,2009-01-26,1,2008-2009,2009-01
CMU,2009-02-02,1,2008-2009,2009-02
CMU,2009-02-09,1,2008-2009,2009-02
CMU,2009-02-23,1,2008-2009,2009-02
CMU,2009-03-02,1,2008-2009,2009-03
CMU,2009-03-23,1,2008-2009,2009-03
CMU,2009-03-30,1,2008-2009,2009-03
CMU,2009-04-06,1,2008-2009,2009-04
CMU,2009-04-13,1,2008-2009,2009-04
CMU,2009-04-20,1,2008-2009,2009-04
CMU,2009-04-27,1,2008-2009,2009-04
CMU,2009-08-15,1,2009-2010,2009-08
CMU,2009-08-24,1,2009-2010,2009-08
CMU,2009-08-31,1,2009-2010,2009-08
CMU,2009-09-14,1,2009-2010,2009-09
CMU,2009-09-21,1,2009-2010,2009-09
CMU,2009-09-28,1,2009-2010,2009-09
CMU,2009-10-05,1,2009-2010,2009-10
CMU,2009-10-12,1,2009-2010,2009-10
CMU,2009-10-26,1,2009-2010,2009-10
CMU,2009-11-02,1,2009-2010,2009-11
CMU,2009-11-09,1,2009-2010,2009-11
CMU,2009-11-16,1,2009-2010,2009-11
CMU,2009-11-23,1,2009-2010,2009-11
CMU,2010-01-18,1,2009-2010,2010-01
CMU,2010-02-01,1,2009-2010,2010-02
CMU,2010-02-08,1,2009-2010,2010-02
CMU,2010-02-15,1,2009-2010,2010-02
CMU,2010-02-22,1,2009-2010,2010-02
CMU,2010-03-01,1,2009-2010,2010-03
CMU,2010-03-22,1,2009-2010,2010-03
CMU,2010-03-29,1,2009-2010,2010-03
CMU,2010-04-05,1,2009-2010,2010-04
CMU,2010-04-12,1,2009-2010,2010-04
CMU,2010-04-19,1,2009-2010,2010-04
CMU,2010-04-26,1,2009-2010,2010-04
CMU,2010-08-23,1,2010-2011,2010-08
CMU,2010-08-30,1,2010-2011,2010-08
CMU,2010-09-13,1,2010-2011,2010-09
CMU,2010-09-20,1,2010-2011,2010-09
CMU,2010-09-27,1,2010-2011,2010-09
CMU,2010-10-04,1,2010-2011,2010-10
CMU,2010-10-11,1,2010-2011,2010-10
CMU,2010-10-25,1,2010-2011,2010-10
CMU,2010-11-01,1,2010-2011,2010-11
CMU,2010-11-08,1,2010-2011,2010-11
CMU,2010-11-15,1,2010-2011,2010-11
CMU,2010-11-22,1,2010-2011,2010-11
CMU,2011-01-17,1,2010-2011,2011-01
CMU,2011-01-24,1,2010-2011,2011-01
CMU,2011-01-31,1,2010-2011,2011-01
CMU,2011-02-07,1,2010-2011,2011-02
CMU,2011-02-14,1,2010-2011,2011-02
CMU,2011-02-21,1,2010-2011,2011-02
CMU,2011-02-28,1,2010-2011,2011-02
CMU,2011-03-21,1,2010-2011,2011-03
CMU,2011-03-28,1,2010-2011,2011-03
CMU,2011-04-04,1,2010-2011,2011-04
CMU,2011-04-11,1,2010-2011,2011-04
CMU,2011-04-18,1,2010-2011,2011-04
CMU,2011-04-25,1,2010-2011,2011-04
CMU,2011-08-21,1,2011-2012,2011-08
CMU,2011-08-29,1,2011-2012,2011-08
CMU,2011-09-12,1,2011-2012,2011-09
CMU,2011-09-19,1,2011-2012,2011-09
CMU,2011-09-26,1,2011-2012,2011-09
CMU,2011-10-03,1,2011-2012,2011-10
CMU,2011-10-10,1,2011-2012,2011-10
CMU,2011-10-17,1,2011-2012,2011-10
CMU,2011-10-24,1,2011-2012,2011-10
CMU,2011-10-31,1,2011-2012,2011-10
CMU,2011-11-07,1,2011-2012,2011-11
CMU,2011-11-14,1,2011-2012,2011-11
CMU,2011-11-21,1,2011-2012,2011-11
CMU,2011-12-05,1,2011-2012,2011-12
CMU,2012-01-23,1,2011-2012,2012-01
CMU,2012-01-30,1,2011-2012,2012-01
CMU,2012-02-06,1,2011-2012,2012-02
CMU,2012-02-13,1,2011-2012,2012-02
CMU,2012-02-20,1,2011-2012,2012-02
CMU,2012-02-27,1,2011-2012,2012-02
CMU,2012-03-05,1,2011-2012,2012-03
CMU,2012-03-26,1,2011-2012,2012-03
CMU,2012-04-02,1,2011-2012,2012-04
CMU,2012-04-09,1,2011-2012,2012-04
CMU,2012-04-16,1,2011-2012,2012-04
CMU,2012-04-23,0,2011-2012,2012-04
CMU,2012-04-30,1,2011-2012,2012-04
CMU,2012-08-19,1,2012-2013,2012-08
CMU,2012-08-27,1,2012-2013,2012-08
CMU,2012-09-10,1,2012-2013,2012-09
CMU,2012-09-17,1,2012-2013,2012-09
CMU,2012-09-24,1,2012-2013,2012-09
CMU,2012-10-01,1,2012-2013,2012-10
CMU,2012-10-08,1,2012-2013,2012-10
CMU,2012-10-15,1,2012-2013,2012-10
CMU,2012-10-29,1,2012-2013,2012-10
CMU,2012-11-05,1,2012-2013,2012-11
CMU,2012-11-12,1,2012-2013,2012-11
