school,date,count,school_year,month
GW,2009-01-12,0,2008-2009,2009-01
GW,2009-01-15,0,2008-2009,2009-01
GW,2009-01-22,0,2008-2009,2009-01
GW,2009-01-26,0,2008-2009,2009-01
GW,2009-01-29,0,2008-2009,2009-01
GW,2009-02-02,0,2008-2009,2009-02
GW,2009-02-05,0,2008-2009,2009-02
GW,2009-02-09,0,2008-2009,2009-02
GW,2009-02-12,0,2008-2009,2009-02
GW,2009-02-17,0,2008-2009,2009-02
GW,2009-02-19,0,2008-2009,2009-02
GW,2009-02-23,0,2008-2009,2009-02
GW,2009-02-26,0,2008-2009,2009-02
GW,2009-03-02,0,2008-2009,2009-03
GW,2009-03-05,0,2008-2009,2009-03
GW,2009-03-09,0,2008-2009,2009-03
GW,2009-03-12,0,2008-2009,2009-03
GW,2009-03-26,0,2008-2009,2009-03
GW,2009-03-30,0,2008-2009,2009-03
GW,2009-04-01,0,2008-2009,2009-04
GW,2009-04-02,0,2008-2009,2009-04
GW,2009-04-06,0,2008-2009,2009-04
GW,2009-04-09,0,2008-2009,2009-04
GW,2009-04-13,0,2008-2009,2009-04
GW,2009-04-16,0,2008-2009,2009-04
GW,2009-04-20,0,2008-2009,2009-04
GW,2009-04-23,0,2008-2009,2009-04
GW,2009-04-27,0,2008-2009,2009-04
GW,2009-04-30,0,2008-2009,2009-04
GW,2009-05-11,0,2008-2009,2009-05
GW,2009-05-18,0,2008-2009,2009-05
GW,2009-06-11,0,2008-2009,2009-06
GW,2009-08-27,0,2009-2010,2009-08
GW,2009-08-31,0,2009-2010,2009-08
GW,2009-09-03,0,2009-2010,2009-09
GW,2009-09-08,0,2009-2010,2009-09
GW,2009-09-10,0,2009-2010,2009-09
GW,2009-09-14,0,2009-2010,2009-09
GW,2009-09-17,0,2009-2010,2009-09
GW,2009-09-21,0,2009-2010,2009-09
GW,2009-09-24,0,2009-2010,2009-09
GW,2009-09-28,0,2009-2010,2009-09
GW,2009-10-01,0,2009-2010,2009-10
GW,2009-10-05,0,2009-2010,2009-10
GW,2009-10-08,0,2009-2010,2009-10
GW,2009-10-12,0,2009-2010,2009-10
GW,2009-10-15,0,2009-2010,2009-10
GW,2009-10-19,0,2009-2010,2009-10
GW,2009-10-22,0,2009-2010,2009-10
