school,date,count,school_year,month
Georgetown,2010-01-16,1,2009-2010,2010-01
Georgetown,2010-01-22,1,2009-2010,2010-01
Georgetown,2010-01-24,1,2009-2010,2010-01
Georgetown,2010-01-26,1,2009-2010,2010-01
Georgetown,2010-02-05,1,2009-2010,2010-02
Georgetown,2010-02-09,1,2009-2010,2010-02
Georgetown,2010-02-19,1,2009-2010,2010-02
Georgetown,2010-02-23,1,2009-2010,2010-02
Georgetown,2010-02-24,1,2009-2010,2010-02
Georgetown,2010-02-26,1,2009-2010,2010-02
Georgetown,2010-03-02,1,2009-2010,2010-03
Georgetown,2010-03-03,1,2009-2010,2010-03
Georgetown,2010-03-04,1,2009-2010,2010-03
Georgetown,2010-03-12,1,2009-2010,2010-03
Georgetown,2010-03-15,1,2009-2010,2010-03
Georgetown,2010-03-19,1,2009-2010,2010-03
Georgetown,2010-03-21,1,2009-2010,2010-03
Georgetown,2010-03-30,1,2009-2010,2010-03
Georgetown,2010-04-09,1,2009-2010,2010-04
Georgetown,2010-04-13,1,2009-2010,2010-04
Georgetown,2010-04-16,1,2009-2010,2010-04
Georgetown,2010-04-17,1,2009-2010,2010-04
Georgetown,2010-04-20,1,2009-2010,2010-04
Georgetown,2010-04-21,1,2009-2010,2010-04
Georgetown,2010-04-23,1,2009-2010,2010-04
Georgetown,2010-04-27,1,2009-2010,2010-04
Georgetown,2010-04-29,1,2009-2010,2010-04
Georgetown,2010-04-30,1,2009-2010,2010-04
Georgetown,2010-05-05,1,2009-2010,2010-05
Georgetown,2010-05-12,1,2009-2010,2010-05
Georgetown,2010-05-21,1,2009-2010,2010-05
Georgetown,2010-06-30,1,2009-2010,2010-06
Georgetown,2010-08-27,1,2010-2011,2010-08
Georgetown,2010-08-31,1,2010-2011,2010-08
Georgetown,2010-09-03,1,2010-2011,2010-09
Georgetown,2010-09-09,1,2010-2011,2010-09
Georgetown,2010-09-10,1,2010-2011,2010-09
Georgetown,2010-09-14,1,2010-2011,2010-09
Georgetown,2010-09-17,1,2010-2011,2010-09
Georgetown,2010-09-21,1,2010-2011,2010-09
Georgetown,2010-09-23,1,2010-2011,2010-09
Georgetown,2010-09-24,1,2010-2011,2010-09
Georgetown,2010-09-28,1,2010-2011,2010-09
Georgetown,2010-10-01,1,2010-2011,2010-10
Georgetown,2010-10-02,1,2010-2011,2010-10
Georgetown,2010-10-05,1,2010-2011,2010-10
Georgetown,2010-10-08,1,2010-2011,2010-10
Georgetown,2010-10-10,1,2010-2011,2010-10
Georgetown,2010-10-14,1,2010-2011,2010-10
Georgetown,2010-10-15,1,2010-2011,2010-10
Georgetown,2010-10-19,1,2010-2011,2010-10
Georgetown,2010-10-20,1,2010-2011,2010-10
Georgetown,2010-10-21,1,2010-2011,2010-10
Georgetown,2010-10-22,1,2010-2011,2010-10
Georgetown,2010-10-24,1,2010-2011,2010-10
Georgetown,2010-10-25,1,2010-2011,2010-10
Georgetown,2010-10-27,1,2010-2011,2010-10
Georgetown,2010-10-28,1,2010-2011,2010-10
Georgetown,2010-10-29,1,2010-2011,2010-10
Georgetown,2010-10-31,1,2010-2011,2010-10
Georgetown,2010-11-02,1,2010-2011,2010-11
Georgetown,2010-11-03,1,2010-2011,2010-11
Georgetown,2010-11-05,1,2010-2011,2010-11
Georgetown,2010-11-08,1,2010-2011,2010-11
Georgetown,2010-11-09,1,2010-2011,2010-11
Georgetown,2010-11-11,1,2010-2011,2010-11
Georgetown,2010-11-12,1,2010-2011,2010-11
Georgetown,2010-11-16,1,2010-2011,2010-11
Georgetown,2010-11-19,1,2010-2011,2010-11
Georgetown,2010-11-22,1,2010-2011,2010-11
Georgetown,2010-11-23,1,2010-2011,2010-11
Georgetown,2010-11-25,1,2010-2011,2010-11
Georgetown,2010-11-27,1,2010-2011,2010-11
Georgetown,2010-11-29,1,2010-2011,2010-11
Georgetown,2010-11-30,1,2010-2011,2010-11
Georgetown,2010-12-03,1,2010-2011,2010-12
Georgetown,2010-12-07,1,2010-2011,2010-12
