school,date,count,school_year,month
LIU,2010-10-13,0,2010-2011,2010-10
LIU,2010-10-21,0,2010-2011,2010-10
LIU,2010-10-22,0,2010-2011,2010-10
LIU,2010-10-27,0,2010-2011,2010-10
LIU,2010-11-12,0,2010-2011,2010-11
LIU,2010-11-19,0,2010-2011,2010-11
LIU,2010-11-05,0,2010-2011,2010-11
LIU,2010-12-01,0,2010-2011,2010-12
LIU,2010-12-03,0,2010-2011,2010-12
LIU,2010-12-08,0,2010-2011,2010-12
LIU,2010-12-09,0,2010-2011,2010-12
LIU,2010-09-15,0,2010-2011,2010-09
LIU,2010-09-22,0,2010-2011,2010-09
LIU,2010-09-23,0,2010-2011,2010-09
LIU,2010-09-29,0,2010-2011,2010-09
LIU,2011-10-19,0,2011-2012,2011-10
LIU,2011-10-26,0,2011-2012,2011-10
LIU,2011-10-05,0,2011-2012,2011-10
LIU,2011-11-16,0,2011-2012,2011-11
LIU,2011-11-02,0,2011-2012,2011-11
LIU,2011-11-30,1,2011-2012,2011-11
LIU,2011-11-09,0,2011-2012,2011-11
LIU,2011-12-14,0,2011-2012,2011-12
LIU,2011-12-07,0,2011-2012,2011-12
LIU,2011-01-26,0,2010-2011,2011-01
LIU,2011-02-01,0,2010-2011,2011-02
LIU,2011-02-12,0,2010-2011,2011-02
LIU,2011-02-16,0,2010-2011,2011-02
LIU,2011-02-17,0,2010-2011,2011-02
LIU,2011-02-02,0,2010-2011,2011-02
LIU,2011-03-02,0,2010-2011,2011-03
LIU,2011-03-23,0,2010-2011,2011-03
LIU,2011-03-30,0,2010-2011,2011-03
LIU,2011-03-09,0,2010-2011,2011-03
LIU,2011-04-12,0,2010-2011,2011-04
LIU,2011-04-20,0,2010-2011,2011-04
LIU,2011-04-06,0,2010-2011,2011-04
LIU,2011-07-22,0,2010-2011,2011-07
LIU,2011-07-06,0,2010-2011,2011-07
LIU,2011-09-14,0,2011-2012,2011-09
LIU,2011-09-21,0,2011-2012,2011-09
LIU,2011-09-28,0,2011-2012,2011-09
LIU,2012-10-10,0,2012-2013,2012-10
LIU,2012-10-17,1,2012-2013,2012-10
LIU,2012-10-25,0,2012-2013,2012-10
LIU,2012-10-03,0,2012-2013,2012-10
LIU,2012-11-14,0,2012-2013,2012-11
LIU,2012-11-28,0,2012-2013,2012-11
LIU,2012-11-05,0,2012-2013,2012-11
LIU,2012-11-07,0,2012-2013,2012-11
LIU,2012-12-12,0,2012-2013,2012-12
LIU,2012-12-18,0,2012-2013,2012-12
LIU,2012-12-05,0,2012-2013,2012-12
LIU,2012-01-25,0,2011-2012,2012-01
LIU,2012-02-01,0,2011-2012,2012-02
LIU,2012-02-15,0,2011-2012,2012-02
LIU,2012-02-29,0,2011-2012,2012-02
LIU,2012-02-08,1,2011-2012,2012-02
LIU,2012-03-21,0,2011-2012,2012-03
LIU,2012-03-28,0,2011-2012,2012-03
LIU,2012-03-07,0,2011-2012,2012-03
LIU,2012-04-11,0,2011-2012,2012-04
LIU,2012-04-18,1,2011-2012,2012-04
LIU,2012-04-04,0,2011-2012,2012-04
LIU,2012-09-12,0,2012-2013,2012-09
LIU,2012-09-19,0,2012-2013,2012-09
LIU,2012-09-26,0,2012-2013,2012-09
LIU,2013-10-01,0,2013-2014,2013-10
LIU,2013-10-02,0,2013-2014,2013-10
LIU,2013-10-23,0,2013-2014,2013-10
LIU,2013-10-30,0,2013-2014,2013-10
LIU,2013-10-09,0,2013-2014,2013-10
LIU,2013-11-13,0,2013-2014,2013-11
LIU,2013-11-20,0,2013-2014,2013-11
LIU,2013-11-26,0,2013-2014,2013-11
LIU,2013-11-06,0,2013-2014,2013-11
LIU,2013-12-11,0,2013-2014,2013-12
