school,date,count,school_year,month
McGill,2009-01-12,1,2008-2009,2009-01
McGill,2009-01-15,1,2008-2009,2009-01
McGill,2009-01-22,0,2008-2009,2009-01
McGill,2009-01-25,1,2008-2009,2009-01
McGill,2009-01-26,1,2008-2009,2009-01
McGill,2009-01-29,1,2008-2009,2009-01
McGill,2009-02-02,1,2008-2009,2009-02
McGill,2009-02-05,1,2008-2009,2009-02
McGill,2009-02-09,1,2008-2009,2009-02
McGill,2009-02-12,1,2008-2009,2009-02
McGill,2009-02-16,1,2008-2009,2009-02
McGill,2009-02-19,1,2008-2009,2009-02
McGill,2009-03-05,1,2008-2009,2009-03
McGill,2009-03-09,1,2008-2009,2009-03
McGill,2009-03-12,1,2008-2009,2009-03
McGill,2009-03-16,1,2008-2009,2009-03
McGill,2009-03-19,1,2008-2009,2009-03
McGill,2009-03-23,1,2008-2009,2009-03
McGill,2009-03-26,1,2008-2009,2009-03
McGill,2009-03-30,1,2008-2009,2009-03
McGill,2009-04-06,1,2008-2009,2009-04
McGill,2009-08-17,0,2009-2010,2009-08
McGill,2009-09-03,0,2009-2010,2009-09
McGill,2009-09-19,0,2009-2010,2009-09
McGill,2009-09-20,1,2009-2010,2009-09
McGill,2009-09-24,1,2009-2010,2009-09
McGill,2009-09-28,1,2009-2010,2009-09
McGill,2009-10-01,1,2009-2010,2009-10
McGill,2009-10-05,1,2009-2010,2009-10
McGill,2009-10-08,0,2009-2010,2009-10
McGill,2009-10-15,1,2009-2010,2009-10
McGill,2009-10-19,0,2009-2010,2009-10
McGill,2009-10-21,1,2009-2010,2009-10
McGill,2009-10-23,1,2009-2010,2009-10
McGill,2009-10-26,1,2009-2010,2009-10
McGill,2009-11-02,1,2009-2010,2009-11
McGill,2009-11-03,1,2009-2010,2009-11
McGill,2009-11-05,1,2009-2010,2009-11
McGill,2009-11-09,1,2009-2010,2009-11
McGill,2009-11-12,1,2009-2010,2009-11
McGill,2009-11-16,1,2009-2010,2009-11
McGill,2009-11-19,1,2009-2010,2009-11
McGill,2009-11-23,1,2009-2010,2009-11
McGill,2010-01-11,1,2009-2010,2010-01
