school,date,count,school_year,month
UCSD,2008-11-03,0,2008-2009,2008-11
UCSD,2008-11-06,0,2008-2009,2008-11
UCSD,2008-11-10,0,2008-2009,2008-11
UCSD,2008-11-13,0,2008-2009,2008-11
UCSD,2008-11-17,0,2008-2009,2008-11
UCSD,2008-11-20,0,2008-2009,2008-11
UCSD,2008-11-24,0,2008-2009,2008-11
UCSD,2008-12-01,0,2008-2009,2008-12
UCSD,2008-12-04,0,2008-2009,2008-12
UCSD,2009-01-05,0,2008-2009,2009-01
UCSD,2009-01-08,0,2008-2009,2009-01
UCSD,2009-01-12,0,2008-2009,2009-01
UCSD,2009-01-14,0,2008-2009,2009-01
UCSD,2009-01-15,0,2008-2009,2009-01
UCSD,2009-01-20,0,2008-2009,2009-01
UCSD,2009-01-22,1,2008-2009,2009-01
UCSD,2009-01-26,0,2008-2009,2009-01
UCSD,2009-01-29,0,2008-2009,2009-01
UCSD,2009-02-02,0,2008-2009,2009-02
UCSD,2009-02-05,0,2008-2009,2009-02
UCSD,2009-02-09,0,2008-2009,2009-02
UCSD,2009-02-12,0,2008-2009,2009-02
UCSD,2009-02-17,0,2008-2009,2009-02
UCSD,2009-02-19,0,2008-2009,2009-02
UCSD,2009-02-23,0,2008-2009,2009-02
UCSD,2009-02-26,0,2008-2009,2009-02
UCSD,2009-03-02,0,2008-2009,2009-03
UCSD,2009-03-05,1,2008-2009,2009-03
UCSD,2009-03-09,0,2008-2009,2009-03
UCSD,2009-03-12,0,2008-2009,2009-03
UCSD,2009-03-30,0,2008-2009,2009-03
UCSD,2009-04-02,0,2008-2009,2009-04
UCSD,2009-04-06,0,2008-2009,2009-04
UCSD,2009-04-09,1,2008-2009,2009-04
UCSD,2009-04-13,0,2008-2009,2009-04
UCSD,2009-04-16,0,2008-2009,2009-04
UCSD,2009-04-20,0,2008-2009,2009-04
UCSD,2009-04-23,0,2008-2009,2009-04
UCSD,2009-04-27,0,2008-2009,2009-04
UCSD,2009-04-30,1,2008-2009,2009-04
UCSD,2009-05-04,0,2008-2009,2009-05
UCSD,2009-05-07,0,2008-2009,2009-05
UCSD,2009-05-11,0,2008-2009,2009-05
UCSD,2009-05-14,0,2008-2009,2009-05
UCSD,2009-05-18,0,2008-2009,2009-05
UCSD,2009-05-21,0,2008-2009,2009-05
UCSD,2009-05-26,0,2008-2009,2009-05
UCSD,2009-05-28,0,2008-2009,2009-05
UCSD,2009-06-01,0,2008-2009,2009-06
UCSD,2009-06-04,0,2008-2009,2009-06
UCSD,2009-09-22,0,2009-2010,2009-09
UCSD,2009-09-28,0,2009-2010,2009-09
UCSD,2009-10-01,0,2009-2010,2009-10
UCSD,2009-10-05,0,2009-2010,2009-10
UCSD,2009-10-08,0,2009-2010,2009-10
UCSD,2009-10-12,0,2009-2010,2009-10
UCSD,2009-10-15,0,2009-2010,2009-10
UCSD,2009-10-19,0,2009-2010,2009-10
UCSD,2009-10-26,0,2009-2010,2009-10
UCSD,2009-10-29,0,2009-2010,2009-10
UCSD,2009-11-02,0,2009-2010,2009-11
UCSD,2009-11-05,0,2009-2010,2009-11
UCSD,2009-11-09,0,2009-2010,2009-11
UCSD,2009-11-12,0,2009-2010,2009-11
UCSD,2009-11-16,0,2009-2010,2009-11
UCSD,2009-11-19,0,2009-2010,2009-11
UCSD,2009-11-23,0,2009-2010,2009-11
UCSD,2009-11-30,0,2009-2010,2009-11
UCSD,2009-12-03,0,2009-2010,2009-12
UCSD,2010-01-04,0,2009-2010,2010-01
UCSD,2010-01-07,0,2009-2010,2010-01
UCSD,2010-01-11,1,2009-2010,2010-01
UCSD,2010-01-19,0,2009-2010,2010-01
UCSD,2010-01-21,0,2009-2010,2010-01
UCSD,2010-01-25,0,2009-2010,2010-01
