school,date,count,school_year,month
UF,2009-01-06,1,2008-2009,2009-01
UF,2009-01-07,1,2008-2009,2009-01
UF,2009-01-08,1,2008-2009,2009-01
UF,2009-01-09,1,2008-2009,2009-01
UF,2009-01-12,1,2008-2009,2009-01
UF,2009-01-13,1,2008-2009,2009-01
UF,2009-01-14,1,2008-2009,2009-01
UF,2009-01-15,1,2008-2009,2009-01
UF,2009-01-16,1,2008-2009,2009-01
UF,2009-01-20,1,2008-2009,2009-01
UF,2009-01-21,1,2008-2009,2009-01
UF,2009-01-22,1,2008-2009,2009-01
UF,2009-01-23,1,2008-2009,2009-01
UF,2009-01-26,1,2008-2009,2009-01
UF,2009-01-27,1,2008-2009,2009-01
UF,2009-01-28,1,2008-2009,2009-01
UF,2009-01-29,1,2008-2009,2009-01
UF,2009-01-30,1,2008-2009,2009-01
UF,2009-02-02,1,2008-2009,2009-02
UF,2009-02-03,1,2008-2009,2009-02
UF,2009-02-04,1,2008-2009,2009-02
UF,2009-02-05,1,2008-2009,2009-02
UF,2009-02-06,1,2008-2009,2009-02
UF,2009-02-09,1,2008-2009,2009-02
UF,2009-02-10,1,2008-2009,2009-02
UF,2009-02-11,1,2008-2009,2009-02
UF,2009-02-12,1,2008-2009,2009-02
UF,2009-02-13,1,2008-2009,2009-02
UF,2009-02-16,1,2008-2009,2009-02
UF,2009-02-17,1,2008-2009,2009-02
UF,2009-02-18,1,2008-2009,2009-02
UF,2009-02-19,1,2008-2009,2009-02
UF,2009-02-20,1,2008-2009,2009-02
UF,2009-02-23,1,2008-2009,2009-02
UF,2009-02-24,1,2008-2009,2009-02
UF,2009-02-25,1,2008-2009,2009-02
UF,2009-02-26,1,2008-2009,2009-02
UF,2009-02-27,1,2008-2009,2009-02
UF,2009-03-02,1,2008-2009,2009-03
UF,2009-03-03,1,2008-2009,2009-03
UF,2009-03-04,1,2008-2009,2009-03
UF,2009-03-05,1,2008-2009,2009-03
UF,2009-03-06,1,2008-2009,2009-03
UF,2009-03-16,1,2008-2009,2009-03
UF,2009-03-17,1,2008-2009,2009-03
UF,2009-03-18,1,2008-2009,2009-03
UF,2009-03-19,1,2008-2009,2009-03
UF,2009-03-20,1,2008-2009,2009-03
UF,2009-03-23,1,2008-2009,2009-03
UF,2009-03-24,1,2008-2009,2009-03
UF,2009-03-25,1,2008-2009,2009-03
UF,2009-03-26,1,2008-2009,2009-03
UF,2009-03-27,1,2008-2009,2009-03
UF,2009-03-30,1,2008-2009,2009-03
UF,2009-03-31,1,2008-2009,2009-03
UF,2009-04-01,1,2008-2009,2009-04
UF,2009-04-02,1,2008-2009,2009-04
UF,2009-04-03,1,2008-2009,2009-04
UF,2009-04-06,1,2008-2009,2009-04
UF,2009-04-07,1,2008-2009,2009-04
UF,2009-04-08,1,2008-2009,2009-04
UF,2009-04-09,1,2008-2009,2009-04
UF,2009-04-10,1,2008-2009,2009-04
UF,2009-04-13,1,2008-2009,2009-04
UF,2009-04-14,1,2008-2009,2009-04
UF,2009-04-15,1,2008-2009,2009-04
UF,2009-04-16,1,2008-2009,2009-04
UF,2009-04-17,1,2008-2009,2009-04
UF,2009-04-20,1,2008-2009,2009-04
UF,2009-04-21,1,2008-2009,2009-04
UF,2009-04-22,1,2008-2009,2009-04
UF,2009-05-12,1,2008-2009,2009-05
UF,2009-05-14,1,2008-2009,2009-05
UF,2009-05-19,1,2008-2009,2009-05
UF,2009-05-21,1,2008-2009,2009-05
UF,2009-05-26,1,2008-2009,2009-05
UF,2009-05-28,1,2008-2009,2009-05
UF,2009-06-02,1,2008-2009,2009-06
UF,2009-06-04,1,2008-2009,2009-06
UF,2009-06-09,1,2008-2009,2009-06
UF,2009-06-11,1,2008-2009,2009-06
UF,2009-06-16,1,2008-2009,2009-06
UF,2009-06-18,1,2008-2009,2009-06
UF,2009-06-30,1,2008-2009,2009-06
UF,2009-07-02,1,2008-2009,2009-07
UF,2009-07-07,1,2008-2009,2009-07
UF,2009-07-09,1,2008-2009,2009-07
UF,2009-07-14,1,2008-2009,2009-07
UF,2009-07-16,1,2008-2009,2009-07
UF,2009-07-21,1,2008-2009,2009-07
UF,2009-07-23,1,2008-2009,2009-07
UF,2009-07-28,1,2008-2009,2009-07
UF,2009-07-30,1,2008-2009,2009-07
UF,2009-08-04,1,2009-2010,2009-08
UF,2009-08-06,1,2009-2010,2009-08
UF,2009-08-17,1,2009-2010,2009-08
UF,2009-08-24,1,2009-2010,2009-08
UF,2009-08-25,1,2009-2010,2009-08
UF,2009-08-26,1,2009-2010,2009-08
UF,2009-08-27,1,2009-2010,2009-08
UF,2009-08-28,1,2009-2010,2009-08
UF,2009-08-31,1,2009-2010,2009-08
UF,2009-09-01,1,2009-2010,2009-09
UF,2009-09-02,1,2009-2010,2009-09
UF,2009-09-03,1,2009-2010,2009-09
UF,2009-09-04,1,2009-2010,2009-09
UF,2009-09-08,1,2009-2010,2009-09
UF,2009-09-09,1,2009-2010,2009-09
UF,2009-09-10,1,2009-2010,2009-09
UF,2009-09-11,1,2009-2010,2009-09
UF,2009-09-14,1,2009-2010,2009-09
UF,2009-09-15,1,2009-2010,2009-09
UF,2009-09-16,1,2009-2010,2009-09
UF,2009-09-17,1,2009-2010,2009-09
UF,2009-09-18,1,2009-2010,2009-09
UF,2009-09-21,1,2009-2010,2009-09
UF,2009-09-22,1,2009-2010,2009-09
UF,2009-09-23,1,2009-2010,2009-09
UF,2009-09-24,1,2009-2010,2009-09
UF,2009-09-25,1,2009-2010,2009-09
UF,2009-09-28,1,2009-2010,2009-09
UF,2009-09-29,1,2009-2010,2009-09
UF,2009-09-30,1,2009-2010,2009-09
UF,2009-10-01,1,2009-2010,2009-10
UF,2009-10-02,1,2009-2010,2009-10
UF,2009-10-05,1,2009-2010,2009-10
UF,2009-10-06,1,2009-2010,2009-10
