school,date,count,school_year,month
York,2010-09-25,0,2010-2011,2010-09
York,2010-09-26,0,2010-2011,2010-09
York,2010-10-27,0,2010-2011,2010-10
York,2010-11-25,0,2010-2011,2010-11
York,2010-12-15,0,2010-2011,2010-12
York,2010-12-16,0,2010-2011,2010-12
York,2010-12-20,0,2010-2011,2010-12
York,2010-12-21,0,2010-2011,2010-12
York,2010-12-29,0,2010-2011,2010-12
York,2010-12-30,0,2010-2011,2010-12
York,2011-01-26,0,2010-2011,2011-01
York,2011-01-29,0,2010-2011,2011-01
York,2011-02-16,1,2010-2011,2011-02
York,2011-02-17,1,2010-2011,2011-02
York,2011-02-23,0,2010-2011,2011-02
York,2011-03-30,0,2010-2011,2011-03
York,2011-04-02,0,2010-2011,2011-04
York,2011-04-03,0,2010-2011,2011-04
York,2011-04-04,0,2010-2011,2011-04
York,2011-04-09,0,2010-2011,2011-04
York,2011-04-13,0,2010-2011,2011-04
York,2011-04-16,0,2010-2011,2011-04
York,2011-04-18,0,2010-2011,2011-04
York,2011-04-21,0,2010-2011,2011-04
York,2011-05-19,0,2010-2011,2011-05
York,2011-05-21,0,2010-2011,2011-05
York,2011-06-17,0,2010-2011,2011-06
York,2011-06-18,0,2010-2011,2011-06
York,2011-06-20,0,2010-2011,2011-06
York,2011-06-21,0,2010-2011,2011-06
York,2011-06-24,0,2010-2011,2011-06
York,2011-08-31,0,2011-2012,2011-08
York,2011-09-28,0,2011-2012,2011-09
York,2011-09-29,0,2011-2012,2011-09
York,2011-10-26,0,2011-2012,2011-10
York,2011-11-28,0,2011-2012,2011-11
York,2011-11-29,0,2011-2012,2011-11
York,2011-11-30,0,2011-2012,2011-11
York,2011-12-08,1,2011-2012,2011-12
York,2011-12-09,0,2011-2012,2011-12
York,2011-12-10,0,2011-2012,2011-12
York,2011-12-11,0,2011-2012,2011-12
York,2011-12-12,0,2011-2012,2011-12
York,2012-01-30,0,2011-2012,2012-01
York,2012-01-31,0,2011-2012,2012-01
York,2012-02-29,0,2011-2012,2012-02
