,date,positive,negative,neutral
49,2009-09-14,0.8554498553276062,0.02847675047814846,0.047572944313287735
290,2010-09-10,0.8282023072242737,0.20172154903411865,0.33256611227989197
864,2012-12-03,0.09061325341463089,0.1086525022983551,0.04800815507769585
1463,2014-12-11,0.21911680698394775,0.2757437825202942,0.10071074217557907
1485,2015-01-13,0.8450590372085571,0.6143708825111389,0.5173000693321228
1968,2016-09-02,0.8391502499580383,0.46421852707862854,0.6402342319488525
2042,2016-11-28,0.37770333886146545,0.9135482907295227,0.5795048475265503
2207,2017-10-06,0.5810015797615051,0.30642038583755493,0.03127729520201683
2339,2018-04-12,0.524944007396698,0.11244688183069229,0.009678563103079796
2481,2019-01-18,0.2972997725009918,0.7560662627220154,0.3683413565158844
2491,2019-01-29,0.8481692671775818,0.08308789879083633,0.10136976838111877
2526,2019-03-22,0.3947660028934479,0.04330601915717125,0.015623586252331734
2559,2019-06-22,0.9720845818519592,0.1845751255750656,0.28928589820861816
